Identifier, Size, 0D1, 0D2, 0D3, 0D4, 0D5
DR_0182, 1071.0, , , , , 
DR_0183, 2979.0, , , 400:1:0.0152672:0.166667;400:1:0.0437956:0.142857, 600:3:0.101695:0.153846, 
DR_0184, 407.0, , 300:3:0.222222:0.222222, , , 
DR_0186, 594.7, 300:3:0.144231:0.2, , , , 
DR_0187, 447.7, , , , , 
DR_0189, 118.3, , , , , 
DR_0190, 258.3, 700:1:0.0413437:0.136364, , , , 
DR_0191, 1755.7, , , 400:1:0.0425532:0.131148, , 
DR_0192, 187.3, , , , , 
DR_0195, 478.0, , , , , 
DR_0196, 730.3, 300:3:0.171053:0.230769;300:3:0.318841:0.318841;600:1:0.0546875:0.15, , , , 
DR_0197, 454.3, 700:3:0.0633484:0.151515, , , , 
DR_0198, 408.0, , , , 400:3:0.510638:0.510638, 
DR_0200, 326.3, 700:3:0.0514706:0.125, , , , 
DR_0201, 372.7, , , , , 
DR_0203, 514.7, 100:3:0.199313:0.285714, , , , 
DR_0204, 512.7, , , , , 
DR_0205, 324.0, , , , , 
DR_0207, 248.0, , , , , 
DR_0209, 614.0, , , , , 
DR_0210, 250.0, , , , , 
DR_0211, 721.3, , , 300:1:0.0555556:0.181034;400:1:0.00537634:0.0495868, , 
DR_0212, 71.3, , , , , 
DR_0214, 43.7, , 300:1:0.0784314:0.166667;300:1:0.0535714:0.145455, 300:3:0.112782:0.152318;300:3:0.122137:0.167785, , 
DR_0216, 81.3, , , , , 
DR_0219, 907.3, , , , , 
DR_0220, 466.0, , , , , 
DR_0222, 1311.3, , , , , 
DR_0223, 529.3, , , , 400:1:0:0.128205, 
DR_0226, 541.3, 300:3:0.0870968:0.25, , 300:1:0.091954:0.152174;300:1:0.0277778:0.133333, 600:3:0.2:0.2, 
DR_0227, 255.7, , , , , 
DR_0229, 938.0, , , , , 
DR_0230, 228.3, , , , , 
DR_0234, 66.3, , , , , 
DR_0235, 921.0, , , 400:1:0.0659341:0.146667, 600:3:0.105263:0.105263, 
DR_0236, 93.7, , , , , 
DR_0238, 438.7, , , , , 
DR_0240, 469.0, , , , , 
DR_0241, 118.3, , , , , 
DR_0243, 1280.7, 100:3:0.178571:0.313901;100:3:0.176895:0.233945;700:3:0.0898204:0.123288, 100:3:0.347222:0.380769;100:3:0.30137:0.30137;100:3:0.2:0.2;300:3:0.243243:0.243243;300:3:0.202532:0.202532, 100:3:0.263889:0.263889;100:3:0.158273:0.241379;300:3:0.212329:0.212329;300:3:0.0963855:0.167702, , 
DR_0245, 105.3, , 300:3:0.206897:0.206897, , , 
DR_0247, 111.3, , , , , 
DR_0248, 435.0, , , , , 
DR_0249, 406.7, , , , , 
DR_0250, 1131.7, , , , , 500:1:0.00429185:0.317343
DR_0253, 178.0, , , , , 
DR_0256, 987.0, , , , , 
DR_0257, 2150.3, , , , , 
DR_0258, 532.0, , , , 700:3:0.169014:0.169014, 
DR_0259, 363.0, , , , , 
DR_0260, 305.7, 600:1:0.0501931:0.137931, 500:3:0.15625:0.15625, , , 
DR_0264, 1394.3, 300:1:0.0635452:0.192308;300:3:0.097561:0.208333;400:1:0.0528169:0.164179, , , , 
DR_0267, 953.7, , , 400:1:0.025974:0.142857;400:1:0.025974:0.142857, , 400:3:0.0864198:0.129412;400:3:0.0993789:0.1625;400:3:0.0949367:0.139535;400:3:0.101266:0.141176;400:3:0.115385:0.139535;400:3:0.103896:0.131868;400:3:0.133333:0.183908;700:3:0.14094:0.158537
DR_0268, 679.0, , , , , 
DR_0269, 346.0, 700:3:0.0472441:0.214286;700:3:0.0962963:0.1875;700:1:0.0268456:0.1875;700:1:0.0379747:0.3125;700:3:0.0745342:0.176471, , 400:1:0.015873:0.238095;400:1:0.0393701:0.214286;400:1:0.0451128:0.307692, 400:1:0.0666667:0.176471;700:3:0.230769:0.230769, 
DR_0271, 225.0, 300:3:0.189922:0.189922, 400:3:0.15:0.15;300:3:0.15:0.15, 600:3:0.150685:0.150685, 300:1:0:0.168317, 
DR_0273, 197.3, , , , , 
DR_0276, 176.7, 100:3:0.0840909:0.252874, 200:3:0.2:0.2, , , 
DR_0277, 83.3, , , , , 
DR_0279, 22.3, , , , , 
DR_0280, 832.0, , , , , 
DR_0281, 236.0, 300:3:0.100478:0.183908, 300:1:0.0666667:0.152778;300:3:0.156863:0.156863, 400:3:0.164706:0.164706, , 
DR_0282, 728.3, , , , , 
DR_0283, 149.7, , , , , 
DR_0286, 344.7, , , , , 
DR_0287, 2159.7, , , 300:1:0.0294118:0.1375, , 
DR_0288, 502.0, , , , , 400:1:0.0454545:0.134146
DR_0290, 893.3, , , , , 
DR_0291, 225.0, , , , , 
DR_0294, 369.0, , , , , 
DR_0295, 391.0, , , , , 
DR_0297, 381.3, , , , , 
DR_0299, 164.7, , , , , 
DR_0300, 595.7, , , , 400:1:0:0.230769, 
DR_0302, 1202.7, , , , , 
DR_0303, 134.0, , , 300:3:0.0913978:0.142857, , 
DR_0306, 264.0, , , , , 
DR_0307, 1315.3, 700:1:0.0278373:0.142857, , , , 
DR_0309, 726.7, , , , , 
DR_0311, 456.7, , , , , 
DR_0315, 159.0, , , , , 
DR_0317, 315.3, , , , , 
DR_0318, 226.7, , , , , 
DR_0325, 716.3, , , , , 
DR_0326, 351.3, , , , , 
DR_0327, 792.0, 100:3:0.245847:0.275281, 200:3:0.166667:0.166667;200:1:0.0416667:0.197531;200:3:0.375:0.375;200:3:0.206897:0.265306, 300:3:0.178862:0.190476;200:3:0.135135:0.191781;100:3:0.224138:0.224138, 700:3:0.1875:0.1875, 
DR_0329, 653.0, , , 400:1:0.0465116:0.136364, , 
DR_0330, 1153.0, , , , , 
DR_0331, 60.7, , , , , 
DR_0332, 842.0, , , , , 
DR_0334, 973.3, , 500:3:0.25:0.25;200:3:0.214286:0.214286, , 400:1:0:0.121212, 
DR_0335, 884.7, , , , , 
DR_0336, 964.7, , , , , 
DR_0337, 470.7, , , , 700:3:0.25:0.25, 
DR_0340, 229.0, 600:3:0.392308:0.392308, , 600:3:0.141176:0.181818;300:3:0.133333:0.272727, , 800:3:0.410959:0.410959
DR_0341, 97.7, , , , , 
DR_0342, 83.7, , 200:3:0.230769:0.230769;200:3:0.4:0.4, , , 
DR_0343, 342.7, , , , , 
DR_0345, 382.7, , , , , 
DR_0346, 1145.3, , , , , 
DR_0348, 503.3, , , 300:3:0.132231:0.165217;300:3:0.180328:0.180328, 100:3:0.0925926:0.208333, 
DR_0349, 1562.7, , , , , 
DR_0350, 862.0, , , , , 
DR_0353, 1431.7, , , , , 
DR_0355, 122.7, , , , , 
DR_0357, 151.3, , 200:3:0.139241:0.238806, 200:3:0.206897:0.206897, , 
DR_0358, 663.7, , 300:3:0.195652:0.195652, 300:3:0.106145:0.168675, , 
DR_0360, 79.7, , , , , 
DR_0362, 609.3, , , , , 
DR_0363, 1256.3, , , 400:1:0.0148515:0.125, , 
DR_0364, 735.3, 700:3:0.131387:0.216216;700:3:0.131387:0.148649;700:3:0.0729927:0.135135;700:3:0.0827068:0.148649;700:3:0.115385:0.22973;700:3:0.131783:0.162162;700:3:0.131579:0.196429, , 400:1:0.0469799:0.174603;400:1:0.0472973:0.129032;400:1:0.0272109:0.112903;400:1:0.0268456:0.131148;400:1:0.0285714:0.140351;400:3:0.0797101:0.140351, 400:1:0.131579:0.155172;400:3:0.162162:0.162162;400:3:0.162162:0.162162;400:3:0.117647:0.125;400:1:0.0909091:0.178571;400:3:0.151515:0.151515;400:3:0.137931:0.163265, 
DR_0366, 205.7, , , , , 
DR_0367, 177.7, 300:3:0.140449:0.218341;300:3:0.0718563:0.158416;300:1:0.0446927:0.178295;300:1:0.04:0.155405, 100:3:0.114754:0.12766;100:3:0.316667:0.316667;300:1:0.0877193:0.149606;300:3:0.2:0.204819;400:3:0.132075:0.156627;400:3:0.145455:0.172043, 300:3:0.172619:0.172619;100:3:0.10119:0.170886;100:3:0.236025:0.246479;300:3:0.179487:0.183206;300:3:0.108974:0.157025, , 100:3:0.178571:0.255663;400:1:0.0672269:0.135889
DR_0369, 169.0, , 400:1:0.111111:0.142857, , , 
DR_0372, 1141.0, , , , , 
DR_0373, 860.7, , , , , 
DR_0375, 325.0, , , , , 
DR_0378, 154.7, , , , , 
DR_0379, 1275.3, 600:3:0.855524:0.855524, , , , 
DR_0380, 281.7, , , , , 
DR_0382_2, 550.7, , , , , 
DR_0383, 362.7, , , , , 
DR_0386, 770.3, , , , , 
DR_0388, 332.3, , , , , 
DR_0389, 160.7, , , , , 800:3:0.0129032:0.0130293
DR_0390, 1058.0, , , , , 
DR_0392, 786.0, , , 400:1:0.0321285:0.173077, 700:3:0.130435:0.130435, 
DR_0393, 813.7, , , , , 
DR_0395, 687.3, , , , , 
DR_0397, 765.3, , , , , 
DR_0399, 776.0, , , , , 
DR_0400, 1200.3, 700:1:0.0189573:0.130435;700:3:0.107143:0.222222;800:3:0.173913:0.173913, , 300:3:0.148148:0.6, , 
DR_0401, 319.7, , , , 100:3:0.121212:0.188679, 
DR_0403, 373.0, 100:1:0.0286624:1, 400:2:1:1, , , 
DR_0405, 1817.3, , , , , 
DR_0406, 486.3, , , , , 
DR_0408, 355.0, , , , , 
DR_0409, 366.3, , , , , 
DR_0410, 269.3, , , , , 
DR_0411, 491.7, , , , , 
DR_0412, 731.7, , , , , 
DR_0413, 154.7, , , , , 
DR_0414, 453.3, , , , , 
DR_0415, 1224.3, , , , , 
DR_0416, 224.3, , , , , 
DR_0417, 258.7, , , , , 
DR_0418, 210.3, , , , , 
DR_0419, 301.0, , , , , 
DR_0420, 1773.3, , , , , 
DR_0421, 313.7, , , , , 
DR_0422, 674.0, , , , , 
DR_0423, 525.3, , , , , 
DR_0424, 543.0, , , , , 
DR_0425, 669.3, , , , , 
DR_0426, 472.3, , , , , 
DR_0427, 652.7, , , , , 
DR_0428, 415.3, , , , , 
DR_0429, 614.3, , 200:1:0.0909091:0.220994;200:1:0:0.228571;200:1:0:0.15, 200:3:0.214876:0.214876;200:3:0.097561:0.171429;200:3:0.166667:0.205882;200:3:0.19708:0.325;200:3:0.0927152:0.153846, , 
DR_0430, 1163.3, , , , , 
DR_0431, 596.7, , , , , 
DR_0432, 491.3, , , , , 
DR_0433, 704.7, , , , , 
DR_0434, 871.0, , , , , 
DR_0435, 495.7, , , , , 
DR_0436, 1000.3, , , , , 
DR_0437, 229.3, , , , , 
DR_0438, 314.0, , , , , 
DR_0439, 420.7, , , , , 
DR_0440, 496.3, , , , , 
DR_0441, 373.0, , , , , 
DR_0442, 920.3, , , , , 
DR_0443, 1046.7, , , , , 
DR_0444, 845.7, , , , , 
DR_0445, 533.0, , , , , 
DR_0446, 281.7, , , , , 
DR_0447, 486.0, , , , , 
DR_0448, 152.7, , , , , 
DR_0449, 586.7, , , , , 
DR_0450, 691.3, , , , , 
DR_0451, 1092.7, , , , , 
DR_0452, 303.3, , , , , 
DR_0453, 449.3, , , , , 
DR_0454, 647.0, , , , , 
DR_0455, 625.0, , , , , 
DR_0456, 576.0, , , , , 
DR_0457, 316.0, , , , , 
DR_0458, 1853.3, 300:3:0.27381:0.387097;300:3:0.195402:0.285714;400:3:0.107843:0.25;400:1:0.0377358:0.285714;400:3:0.122642:0.27027;200:3:0.059322:0.2;400:3:0.100775:0.2;600:1:0.0775194:0.25;600:1:0.0657895:0.151515, , 300:3:0.310345:0.4;400:3:0.230769:0.4;300:3:0.321429:0.333333;300:3:0.228571:0.228571;300:3:0.0833333:0.2;600:3:0.133333:0.142857;400:3:0.106383:0.285714, 100:3:0.666667:0.666667, 800:3:0.319149:0.319149;800:3:0.148148:0.212121;800:3:0.113208:0.113208;800:3:0.142857:0.146341;800:3:0.0967742:0.113208
DR_0459, 606.0, , , , , 
DR_0460, 1533.0, , , , , 
DR_0461, 611.7, , , , , 
DR_0462, 662.3, , , , , 
DR_0463, 2286.7, , , 400:1:0.060241:0.144928, , 
DR_0464, 1454.0, 100:1:0:1;400:1:0.0612245:0.140845;300:1:0.118056:0.163121;400:1:0.04:0.136986;300:3:0.143836:0.23913;300:3:0.140741:0.2;400:3:0.146154:0.146154;300:3:0.189394:0.195122, 500:3:0.981651:0.981651;300:1:0.136364:0.152;300:1:0.142857:0.203252;300:3:0.173913:0.173913;300:1:0.08:0.167939;300:3:0.151515:0.20354, 300:3:0.21875:0.268817;300:3:0.14:0.221053;300:3:0.141414:0.2;300:3:0.244681:0.244681, , 700:3:0.0672269:0.127273;400:3:0.138756:0.138756
DR_0465, 551.7, 300:3:0.0966387:0.178947;100:3:0.188341:0.254386, 100:3:0.166667:0.278571;100:3:0.216667:0.216667, 300:3:0.109375:0.147239;100:3:0.171875:0.171875;300:3:0.18254:0.18254;100:3:0.301587:0.301587;400:3:0.128:0.171717;300:3:0.114754:0.114754;300:3:0.153846:0.244444;400:1:0.0877193:0.114943;300:3:0.121739:0.202247, 300:1:0.0842105:0.149425;100:3:0.135417:0.163158;100:3:0.145833:0.235294, 400:3:0.192:0.192
DR_0466, 1803.0, , , , , 
DR_0467, 1250.7, 300:3:0.0883534:0.226804;300:1:0.0160643:0.150538, 200:3:0.166667:0.166667;200:3:0.2:0.2, 200:3:0.221239:0.221239;400:1:0.0123457:0.136364;400:1:0.0116279:0.122449, , 
DR_0468, 493.3, , , , , 
DR_0469, 429.0, , , , , 
DR_0470, 611.7, , , , , 
DR_0471, 584.7, , , , , 
DR_0472, 901.7, , , , , 400:1:0.0112994:1
DR_0473, 503.0, , , , , 
DR_0474, 936.3, , , , 400:3:0.166667:0.180905;100:3:0.117647:0.173267, 400:3:0.124514:0.202532
DR_0475, 1420.3, 600:3:0.205882:0.432432;600:3:0.775:0.8125, , , , 
DR_0476, 211.3, , , , , 
DR_0477, 1167.3, , , , , 
DR_0478, 804.3, , , , , 
DR_0479, 2030.7, , , 400:1:0.0615385:0.172414, , 
DR_0480, 755.0, , , , , 
DR_0481, 403.7, , , , , 
DR_0482, 772.3, , , , , 
DR_0483, 379.0, , , , , 
DR_0484, 721.0, , , , , 
DR_0485, 1202.7, , , , , 
DR_0486, 396.3, , , 400:1:0.00769231:0.127273;600:3:0.186813:0.186813, , 
DR_0487, 952.0, , , , , 
DR_0488, 387.3, , , , , 
DR_0489, 362.0, , , , , 
DR_0490, 583.0, , , 400:1:0.00826446:0.126984, , 
DR_0491, 606.3, , , , , 
DR_0492, 226.0, , , , , 
DR_0493, 719.0, , , , , 
DR_0494, 376.0, 700:3:0.118056:0.141509;600:3:0.11875:0.135135, , , , 
DR_0495, 485.0, , , , , 
DR_0496, 1153.7, 600:3:0.183206:0.546512, , , , 
DR_0497, 553.3, , , , , 
DR_0498, 1209.3, , , , , 
DR_0499, 779.7, , , , , 
DR_0500, 638.7, , , , , 
DR_0501, 822.3, , , , , 
DR_0502, 903.3, , , , , 
DR_0503, 884.0, , , , , 
DR_0504, 674.3, , , 600:3:0.121795:0.121795, , 
DR_0505, 1384.3, , , , , 
DR_0506, 370.7, , , , , 
DR_0507, 3161.0, , , 400:1:0.00657895:0.121622, , 
DR_0508, 763.3, , , , , 
DR_0509, 514.0, , , , , 
DR_0510, 440.7, 300:3:0.152381:0.162791, 300:3:0.137255:0.137255;300:3:0.145161:0.145161, 400:1:0.0803571:0.120301;300:1:0.0230769:0.157143;300:3:0.0923077:0.21831;300:3:0.101562:0.134752;400:3:0.0683761:0.146853, 600:1:0.0584416:0.159091;100:3:0.130178:0.183673;300:3:0.114458:0.19797, 100:3:0.202614:0.202614
DR_0511, 1065.0, , , , , 
DR_0512, 713.0, 100:1:0.0588235:0.192913, 100:3:0.32:0.32, 100:3:0.260274:0.28481, , 
DR_0513, 1068.3, 300:3:0.0873786:0.211429, , 300:3:0.145251:0.229508;300:3:0.141975:0.245614;400:1:0.0666667:0.132075;400:1:0.0344828:0.147541;400:1:0.0544218:0.15873;400:3:0.147887:0.147887;400:1:0.0211268:0.135135, 700:3:0.144928:0.144928, 
DR_0514, 243.3, , , , , 
DR_0515, 404.3, , , , , 
DR_0516, 422.3, 300:3:0.105263:0.185567;300:3:0.140845:0.230769, , 300:3:0.194175:0.194175;100:3:0.262136:0.329545;300:3:0.120879:0.156627;300:3:0.0978261:0.135802, 100:3:0.280488:0.295238, 400:1:0.0625:0.187943;400:3:0.0892857:0.170455
DR_0517, 252.0, , , 200:3:0.110465:0.203125, , 
DR_0518, 194.0, , , , , 
DR_0519, 173.0, , , , , 
DR_0520, 635.7, , 200:3:0.183673:0.288321;200:3:0.14:0.269231, 200:3:0.248705:0.264706;200:3:0.290155:0.290155, , 
DR_0521, 275.7, , , , , 
DR_0522, 355.0, , , , , 
DR_0523, 418.7, 400:3:0.248485:0.248485;300:3:0.187879:0.241379, 300:1:0.0909091:0.202247;400:3:0.2:0.2, 300:3:0.28:0.28;300:3:0.137255:0.137255;300:1:0.0212766:0.148148;300:3:0.163265:0.163265;600:3:0.16:0.16;300:1:0.1:0.253012, , 
DR_0524, 286.0, , , , , 
DR_0525, 401.3, , , , , 
DR_0526, 339.3, , , , , 
DR_0527, 728.0, , , , , 
DR_0528, 835.7, 300:1:0.0675:0.163399;100:3:0.16129:0.255034, 100:3:0.142857:0.256173;100:3:0.152778:0.246445, 100:3:0.22093:0.22093, , 
DR_0529, 291.7, , , , , 
DR_0530, 1964.0, , , , , 
DR_0531, 456.7, , , , , 
DR_0532, 315.0, , , , , 
DR_0533, 708.7, 200:3:0.158986:0.208333;300:1:0.0507246:0.166667, 200:3:0.130841:0.153846;200:1:0.0660377:0.113139;300:1:0.0576923:0.0851852, 400:3:0.0874525:0.0918033, , 
DR_0534, 1572.7, , , , , 
DR_0535, 1901.3, , , , , 
DR_0536, 475.0, , , , , 
DR_0537, 926.0, , , , , 
DR_0538, 2441.3, , , , , 
DR_0539, 243.7, , , , , 
DR_0540, 1168.7, , , , , 
DR_0541, 628.3, , , , , 
DR_0542, 598.0, , , , , 
DR_0543, 524.7, , , , , 
DR_0544, 634.3, , , 100:2:1:1, , 
DR_0545, 195.7, , , , , 
DR_0546, 372.0, , , , , 
DR_0547, 1088.7, , , , , 
DR_0548, 699.7, , , , , 
DR_0549, 1001.7, , , , , 
DR_0550, 555.0, , 500:3:0.125:0.125, , , 
DR_0551, 1054.3, , , , , 
DR_0552, 544.3, , , , , 
DR_0553, 1094.7, 700:1:0.0316456:0.129032, , , , 
DR_0554, 546.0, 700:1:0.0211864:0.113636, , , , 
DR_0555, 1108.7, 100:3:0.142157:0.189655, 300:3:0.133333:0.170732;400:1:0.0833333:0.156627;400:1:0.0816327:0.105882, 600:3:0.118644:0.118644;300:3:0.134615:0.216867;300:3:0.150943:0.150943, 300:3:0.150943:0.192661;100:3:0.169811:0.247059;700:3:0.0961538:0.0961538, 
DR_0556, 322.0, , , , , 
DR_0557, 604.7, , , , , 400:1:0.0702703:0.145833
DR_0558, 844.0, , , , , 
DR_0559, 1276.3, , 200:3:0.166667:0.166667, , , 
DR_0560, 938.7, 700:3:0.0322581:0.148936;700:3:0.0549451:0.119565;700:3:0.0581818:0.11828;300:3:0.176871:0.213675, , 400:1:0.00990099:0.133333, , 
