Identifier, Size, 2P1, 2P2, 2P3, 2P4, 2P5
FFI16_RS00270, 365.7, , , , , 
FFI16_RS00275, 1668.3, , 700:3:0.138889:0.151515;500:1:0.0405405:0.148936, 400:3:0.25:0.25;400:3:0.222222:0.222222, , 
FFI16_RS00280, 883.0, , 500:1:0.0526316:0.136364, , , 
FFI16_RS00285, 697.7, , , , , 
FFI16_RS00300, 347.7, , , , , 
FFI16_RS00315, 188.3, , , , , 
FFI16_RS00320, 1841.3, , , , , 
FFI16_RS00325, 316.7, , , , , 
FFI16_RS00330, 372.0, , , , , 
FFI16_RS00335, 497.7, , , , , 
FFI16_RS00345, 213.3, , , , , 
FFI16_RS00350, 155.3, , , , , 
FFI16_RS00355, 314.3, , , , , 
FFI16_RS00365, 457.0, , , , , 
FFI16_RS00370, 720.0, , , , , 
FFI16_RS00375, 844.7, , , , , 
FFI16_RS00380, 553.0, , , , , 
FFI16_RS00385, 197.7, , , , , 
FFI16_RS00390, 641.3, , , , , 
FFI16_RS00395, 142.0, , , , , 
FFI16_RS00400, 684.0, , , , , 
FFI16_RS00405, 344.3, , , , , 
FFI16_RS00420, 993.7, , , , , 
FFI16_RS00440, 71.3, , , , , 
FFI16_RS00455, 510.7, , , , , 
FFI16_RS00460, 162.0, , , , , 
FFI16_RS00465, 929.7, , , , , 
FFI16_RS00470, 814.7, , , , , 
FFI16_RS00475, 940.0, , , , , 
FFI16_RS00480, 71.0, , , , , 
FFI16_RS00485, 355.7, , , , , 
FFI16_RS00490, 794.0, , , , , 
FFI16_RS00495, 1096.7, , , , , 
FFI16_RS00500, 441.0, , , , , 
FFI16_RS00505, 489.3, , , , , 
FFI16_RS00510, 737.3, , , , , 
FFI16_RS00515, 1653.0, , , , , 
FFI16_RS00520, 1050.7, , , , , 
FFI16_RS00525, 1200.7, , , , , 
FFI16_RS00530, 761.0, , , , , 
FFI16_RS00535, 141.0, , , , , 
FFI16_RS00540, 941.3, , 500:1:0.0512821:0.151515, 700:3:0.111111:0.166667, , 
FFI16_RS00545, 648.7, , 500:1:0.0526316:0.176471, , , 
FFI16_RS00550, 681.7, , , , , 
FFI16_RS00555, 428.7, , , , , 
FFI16_RS00560, 1282.0, , , , , 
FFI16_RS00565, 467.3, , , , , 
FFI16_RS00570, 1060.0, , , , , 
FFI16_RS00575, 382.3, , , , , 
FFI16_RS00580, 1615.0, , , , , 
FFI16_RS00585, 174.7, , , , , 
FFI16_RS00590, 823.0, , 500:1:0.0819672:0.134328;400:1:0.0483871:0.183333, 400:1:0.056338:0.163265, , 
FFI16_RS00595, 1049.0, , , , , 
FFI16_RS00600, 2984.0, , , , , 
FFI16_RS00605, 1368.7, , 500:1:0.047619:0.1875, , , 
FFI16_RS00610, 1124.7, , 500:1:0.0833333:0.1875, 700:1:0.0645161:0.178571;300:1:0.0645161:0.157895;300:3:0.1:0.210526;300:1:0.133333:0.285714;600:1:0.0285714:0.227273, , 
FFI16_RS00615, 425.3, , , , , 
FFI16_RS00620, 358.3, , , , , 
FFI16_RS00625, 323.3, , , , , 
FFI16_RS00630, 1483.3, , , , , 
FFI16_RS00635, 470.7, , , , , 
FFI16_RS00640, 1957.0, , 700:1:0.0666667:0.131148, , , 
FFI16_RS00645, 351.0, , , , , 
FFI16_RS00650, 1462.3, , , , , 
FFI16_RS00655, 437.3, , 500:1:0:0.130435, , , 
FFI16_RS00660, 1197.0, , , , , 
FFI16_RS00665, 851.7, , , , , 
FFI16_RS00670, 531.3, , , , , 
FFI16_RS00675, 530.3, , , , , 
FFI16_RS00680, 233.7, , , , , 
FFI16_RS00685, 649.3, , , , , 
FFI16_RS00690, 1297.7, , , , , 
FFI16_RS00695, 885.7, , , , , 
FFI16_RS00700, 658.7, , , , , 
FFI16_RS00705, 1324.3, , , 300:3:0.157143:0.269231;300:1:0.0285714:0.230769, , 
FFI16_RS00710, 848.3, , , , , 
FFI16_RS00715, 885.0, , , , , 
FFI16_RS00720, 1024.3, , , , , 
FFI16_RS00725, 681.7, , , , , 
FFI16_RS00730, 348.0, , , , , 
FFI16_RS00735, 660.7, , , , , 
FFI16_RS00740, 1074.0, , , , , 
FFI16_RS00745, 871.7, 300:3:0.0789474:0.162162, 600:1:0.125:0.166667, , , 
FFI16_RS00750, 302.3, , , , , 
FFI16_RS00755, 1344.7, , , , , 
FFI16_RS00760, 831.0, , , , , 
FFI16_RS00765, 308.7, , , , , 
FFI16_RS00775, 304.0, , , , , 
FFI16_RS00780, 498.0, , , , , 
FFI16_RS00785, 310.3, , , , , 
FFI16_RS00790, 2204.7, , , , , 
FFI16_RS00795, 1395.3, , , , , 
FFI16_RS00800, 682.7, , , , , 
FFI16_RS00805, 465.7, , , , , 
FFI16_RS00810, 400.7, , , , , 
FFI16_RS00815, 216.3, , , , , 
FFI16_RS00820, 493.3, , , , , 
FFI16_RS00825, 314.0, , , , , 
FFI16_RS00830, 1371.0, , , , , 
FFI16_RS00835, 537.3, , , , , 
FFI16_RS00840, 1564.3, , , 400:1:0.0333333:0.142857, , 
FFI16_RS00845, 963.0, , , , , 
FFI16_RS00850, 609.7, , , , , 
FFI16_RS00855, 965.0, , , , , 
FFI16_RS00860, 2557.3, , 400:1:0.0266667:0.15873;400:1:0.0266667:0.144068;400:1:0.0128205:0.133333;400:1:0.025641:0.15;400:1:0.0253165:0.15;400:1:0.025974:0.15;400:1:0.04:0.16129;400:1:0.0533333:0.169492;400:1:0.0405405:0.186441, 600:1:0.0617284:0.138462, , 
FFI16_RS00865, 361.7, , , , , 
FFI16_RS00870, 329.7, , , , , 
FFI16_RS00875, 343.7, , , , , 
FFI16_RS00880, 507.3, , , , , 
FFI16_RS00885, 1563.3, , , , , 
FFI16_RS00890, 641.3, , , , , 
FFI16_RS00895, 1029.7, , , , , 
FFI16_RS00900, 636.0, , , , , 
FFI16_RS00905, 289.7, , , , , 
FFI16_RS00910, 108.0, , , , , 
FFI16_RS00915, 173.0, , , , , 
FFI16_RS00920, 481.3, , , , , 
FFI16_RS00925, 1171.7, , , , , 
FFI16_RS00930, 1925.3, , 500:1:0.04:0.116279, , , 
FFI16_RS00935, 407.3, , , , , 
FFI16_RS00940, 692.0, , , , , 
FFI16_RS00945, 304.3, , , , , 
FFI16_RS00950, 1682.0, , , , , 
FFI16_RS00955, 547.3, , , 400:3:0.046875:0.133333;300:1:0:0.115385;300:3:0.05:0.146341, , 
FFI16_RS00960, 2297.0, , , , , 
FFI16_RS00965, 820.0, , , , , 
FFI16_RS00970, 671.0, , , , , 
FFI16_RS00975, 1541.3, , , , , 
FFI16_RS00980, 1344.3, , , , , 
FFI16_RS00985, 638.3, , , , , 
FFI16_RS00990, 712.7, , , , , 
FFI16_RS00995, 371.0, , , , , 
FFI16_RS01000, 1147.3, , , , , 
FFI16_RS01005, 1087.7, , 500:1:0.122449:0.153846, , , 
FFI16_RS01010, 2233.0, , , , , 
FFI16_RS01015, 191.7, , , , , 
FFI16_RS01020, 765.3, , , , , 
FFI16_RS01025, 432.0, , , , , 
FFI16_RS01030, 985.0, , , , , 
FFI16_RS01035, 535.7, , , , , 
FFI16_RS01040, 336.0, , , , , 
FFI16_RS01045, 705.3, , , , , 
FFI16_RS01050, 745.7, , , , , 
FFI16_RS01055, 569.7, , , , , 
FFI16_RS01060, 307.3, , , , , 
FFI16_RS01065, 353.7, , , , , 
FFI16_RS01070, 1274.7, , , , , 
FFI16_RS01075, 1775.3, , , , , 
FFI16_RS01080, 558.7, , , , , 
FFI16_RS01085, 255.3, , , , , 
FFI16_RS01090, 1429.0, , , , , 
FFI16_RS01095, 369.3, , , , , 
FFI16_RS01100, 825.0, , , , , 
FFI16_RS01105, 746.7, , , , , 
FFI16_RS01110, 846.7, , , , , 
FFI16_RS01115, 462.7, , , , , 
FFI16_RS01125, 1639.0, , , , , 
FFI16_RS01130, 178.0, , , , , 
FFI16_RS01135, 86.0, , , , , 
FFI16_RS01140, 3017.0, , , , , 
FFI16_RS01145, 217.0, , , , , 
FFI16_RS01150, 2737.0, , , , , 
FFI16_RS01155, 2785.0, , , , , 
FFI16_RS01160, 1547.3, , , , , 
FFI16_RS01165, 523.7, , , , , 
FFI16_RS01170, 941.7, , , , , 
FFI16_RS01175, 369.3, , , , , 
FFI16_RS01185, 353.7, , , , , 
FFI16_RS01190, 727.7, , , , , 
FFI16_RS01195, 717.0, , , , , 
FFI16_RS01200, 323.0, , , , , 
FFI16_RS01205, 812.7, , , , , 
FFI16_RS01210, 1178.3, , , , , 
FFI16_RS01215, 681.7, , , , , 
FFI16_RS01220, 361.3, , , , , 
FFI16_RS01225, 591.7, , , , , 
FFI16_RS01230, 656.7, , , , , 
FFI16_RS01235, 1138.7, , , , , 
FFI16_RS01240, 779.7, , , , , 
FFI16_RS01245, 361.7, , , , , 
FFI16_RS01250, 1137.0, , , , , 
FFI16_RS01255, 862.0, , , , , 
FFI16_RS01260, 768.7, , , , , 
FFI16_RS01265, 864.7, , , , , 
FFI16_RS01270, 239.3, , , , , 
FFI16_RS01275, 750.3, , , , , 
FFI16_RS01280, 458.7, , , , , 
FFI16_RS01285, 996.7, , , , , 
FFI16_RS01295, 1165.7, , , , , 
FFI16_RS01300, 731.3, , , , , 
FFI16_RS01305, 644.3, , , , , 
FFI16_RS01310, 562.0, , , , , 
FFI16_RS01315, 710.0, , , , , 
FFI16_RS01320, 771.7, , , , , 
FFI16_RS01325, 1166.3, , , , , 
FFI16_RS01330, 392.7, , , , , 
FFI16_RS01335, 1126.7, , , , , 
FFI16_RS01340, 681.0, , , , , 
FFI16_RS01345, 1104.7, , , , , 
FFI16_RS01350, 314.7, , , , , 
FFI16_RS01355, 1532.0, , , , , 
FFI16_RS01360, 1371.7, , , , , 
FFI16_RS01365, 1202.0, , , , , 
FFI16_RS01370, 790.3, , , , , 
FFI16_RS01375, 1016.3, , , , , 
FFI16_RS01380, 565.3, , , , , 
FFI16_RS01385, 302.7, , , , , 
FFI16_RS01390, 356.7, , , , , 
FFI16_RS01395, 835.7, , , , , 
FFI16_RS01400, 341.0, , , , , 
FFI16_RS01405, 232.7, , , , , 
FFI16_RS01410, 1034.3, , , , , 
FFI16_RS01415, 930.3, , 300:3:0.09375:0.3, 300:3:0.153846:0.185185, , 
FFI16_RS01420, 366.3, , , , , 
FFI16_RS01425, 471.3, , , , , 
FFI16_RS01430, 939.7, , , , , 
FFI16_RS01435, 929.0, , , , , 
FFI16_RS01440, 693.7, , 500:1:0.0178571:0.122449, , , 
FFI16_RS01450, 827.0, , , , , 
FFI16_RS01455, 339.0, , , , , 
FFI16_RS01460, 146.0, , , , , 
FFI16_RS01465, 287.0, , , , , 
FFI16_RS01470, 442.7, , , , , 
FFI16_RS01475, 589.7, , , , , 
FFI16_RS01480, 530.0, , , , , 
FFI16_RS01485, 829.7, , , , , 
FFI16_RS01490, 519.0, , , , , 
FFI16_RS01495, 449.3, , , , , 
FFI16_RS01500, 366.3, , , , , 
FFI16_RS01505, 758.7, , , , , 
FFI16_RS01510, 287.0, , , , , 
FFI16_RS01515, 491.0, , , , , 
FFI16_RS01520, 700.0, , 400:1:0.0363636:0.15, , , 
FFI16_RS01525, 693.0, , , , , 
FFI16_RS01530, 794.3, , , , , 
FFI16_RS01535, 1467.7, , , , , 
FFI16_RS01540, 1066.7, , , , , 
FFI16_RS01545, 1979.3, , , , , 
FFI16_RS01550, 747.3, , , , , 
FFI16_RS01555, 712.3, , , , , 
FFI16_RS01560, 1257.3, , , , , 
FFI16_RS01565, 940.3, , , , , 
FFI16_RS01570, 476.3, , , , , 
FFI16_RS01580, 824.3, , , , , 
FFI16_RS01585, 1546.3, , , , , 
FFI16_RS01590, 483.7, , , , , 
FFI16_RS01595, 259.7, , , , , 
FFI16_RS01600, 679.7, , , , , 
FFI16_RS01605, 641.7, , , , , 
FFI16_RS01610, 680.7, , , , , 
FFI16_RS01615, 549.3, , , , , 
FFI16_RS01620, 1117.3, , , , , 
FFI16_RS01625, 911.0, , , , , 
FFI16_RS01630, 605.7, , , , , 
FFI16_RS01635, 453.0, , , , , 
FFI16_RS01640, 199.7, , , , , 
FFI16_RS01645, 301.0, , , , , 
FFI16_RS01650, 1636.7, , , , , 
FFI16_RS01655, 1038.0, , , , , 
FFI16_RS01660, 879.3, , , , , 
FFI16_RS01665, 866.3, , , , , 
FFI16_RS01670, 248.7, , , , , 
FFI16_RS01675, 306.7, , , , , 
FFI16_RS01680, 1537.7, , , , , 
FFI16_RS01685, 232.3, , , , , 
FFI16_RS01690, 1671.7, , , , , 
FFI16_RS01695, 566.0, , , , , 
FFI16_RS01700, 392.3, , , , , 
FFI16_RS01705, 366.3, , , , , 
FFI16_RS01710, 1610.0, , , , , 
FFI16_RS01715, 474.7, , , , , 
FFI16_RS01720, 1044.3, , , , , 
FFI16_RS01725, 594.7, , , , , 
FFI16_RS01730, 1032.7, , 600:1:0.0634921:0.137931, , , 
FFI16_RS01735, 379.3, , , , , 
FFI16_RS01740, 180.7, , 400:1:0.105263:0.132653;400:1:0.027027:0.136842, , , 
FFI16_RS01745, 952.3, , , , , 
FFI16_RS01750, 447.0, , , , , 
FFI16_RS01760, 339.7, , , , , 
FFI16_RS01765, 578.7, , , , , 
FFI16_RS01770, 631.0, , , , , 
FFI16_RS01775, 519.0, , , , , 
FFI16_RS01780, 311.0, , , , , 
FFI16_RS01790, 1639.0, , , , , 
FFI16_RS01795, 3017.0, , , , , 
FFI16_RS01800, 217.0, , , , , 
FFI16_RS01805, 309.0, , , , , 
FFI16_RS01810, 481.0, , , , , 
FFI16_RS01815, 269.3, , , , , 
FFI16_RS01820, 856.0, , 500:1:0.0285714:0.148936, , , 
FFI16_RS01825, 997.0, , , , , 
FFI16_RS01830, 683.3, , , 700:1:0.0784314:0.152174, , 
FFI16_RS01835, 824.7, , , , , 
FFI16_RS01840, 849.0, , , , , 
FFI16_RS01845, 807.0, , 500:1:0:0.111111, , , 
FFI16_RS01850, 235.7, , , , , 
FFI16_RS01855, 752.3, , , , , 
FFI16_RS01865, 337.7, , , , , 
FFI16_RS01870, 186.0, , , , , 
FFI16_RS01875, 809.7, , , , , 
FFI16_RS01880, 860.7, , , , , 
FFI16_RS01885, 300.7, , , , , 
FFI16_RS01890, 1462.7, , , , , 
FFI16_RS01895, 693.3, , , , , 
FFI16_RS01900, 508.0, , , , , 
FFI16_RS01905, 715.7, , , , , 
FFI16_RS01910, 627.3, , , , , 
FFI16_RS01915, 600.7, , , , , 
FFI16_RS01920, 478.0, , , , , 
FFI16_RS01925, 973.0, , , , , 
FFI16_RS01930, 399.7, , , , , 
FFI16_RS01935, 280.3, , , , , 
FFI16_RS01940, 411.7, , , , , 
FFI16_RS01945, 1438.7, , , , , 
FFI16_RS01950, 271.3, , , , , 
FFI16_RS01955, 173.0, , , , , 
FFI16_RS01960, 412.3, , , , , 
FFI16_RS01965, 916.7, , , , , 
FFI16_RS01970, 587.3, , , , , 
FFI16_RS01975, 743.0, , , , , 
FFI16_RS01980, 830.7, , , , , 
FFI16_RS01985, 1003.7, , , , , 
FFI16_RS01990, 528.3, , , , , 
FFI16_RS01995, 853.0, , , , , 
FFI16_RS02000, 1226.0, , , , , 
FFI16_RS02005, 1172.7, , 700:3:0.0888889:0.145833;500:1:0.0227273:0.145455, 500:1:0.0408163:0.128571, , 
FFI16_RS02010, 876.7, , , , , 
FFI16_RS02015, 598.0, , , , , 
FFI16_RS02020, 1344.0, , , , , 
FFI16_RS02030, 622.3, , , , , 
FFI16_RS02035, 1052.7, , , , , 
FFI16_RS02040, 769.7, , , , , 
FFI16_RS02045, 570.0, , , , , 
FFI16_RS02050, 531.7, , , , , 
FFI16_RS02055, 1203.0, , , , , 
FFI16_RS02060, 1290.3, , , , , 
FFI16_RS02065, 2700.0, , , , , 
FFI16_RS02070, 631.0, , , , , 
FFI16_RS02075, 1181.7, , , , , 
FFI16_RS02080, 1396.7, , , , , 
FFI16_RS02085, 1021.0, , 400:1:0.0196078:0.152174, , , 
FFI16_RS02095, 1971.7, , , , , 
FFI16_RS02100, 205.7, , , , , 
FFI16_RS02105, 1181.3, , , , , 
FFI16_RS02110, 3080.0, , , , , 
FFI16_RS02115, 244.7, , , , , 
FFI16_RS02120, 308.7, , , , , 
FFI16_RS02125, 1332.0, , , , , 
FFI16_RS02130, 1921.3, , , , , 
FFI16_RS02135, 762.3, , , , , 
FFI16_RS02140, 828.7, , , , , 
FFI16_RS02145, 671.0, , , , , 
FFI16_RS02150, 416.3, , , , , 
FFI16_RS02155, 518.3, , 500:1:0:0.125;700:3:0.137931:0.137931;500:1:0.0545455:0.117647, , , 
FFI16_RS02160, 499.7, , , , , 
FFI16_RS02165, 438.0, , , , , 
FFI16_RS02170, 165.7, , , , , 
FFI16_RS02175, 431.3, , , , , 
FFI16_RS02180, 953.0, , , , , 
FFI16_RS02185, 1097.3, , 500:1:0:0.125, , , 
FFI16_RS02190, 952.3, , , , , 
FFI16_RS02195, 727.3, , , , , 
FFI16_RS02200, 1155.7, , , , , 
FFI16_RS02205, 290.7, , , , , 
FFI16_RS02210, 419.0, , , , , 
FFI16_RS02215, 573.0, 500:3:0.159574:0.159574;500:3:0.157895:0.157895;500:3:0.208333:0.208333, 400:3:0.170732:0.170732;400:3:0.0909091:0.16, 400:3:0.037037:0.130435;400:3:0.0784314:0.193548;400:3:0.0566038:0.129032, , 
FFI16_RS02220, 312.0, , , , , 
FFI16_RS02225, 394.0, , , , , 
FFI16_RS02230, 1511.0, , , , , 
FFI16_RS02235, 687.3, , , , , 
FFI16_RS02240, 656.7, , , , , 
FFI16_RS02245, 1076.7, , , , , 
FFI16_RS02250, 1143.0, , , , , 
FFI16_RS02255, 312.7, , , , , 
FFI16_RS02260, 655.0, , , , , 
FFI16_RS02265, 999.0, , , , , 
FFI16_RS02270, 463.7, , , , , 
FFI16_RS02275, 1357.0, , , , , 
FFI16_RS02280, 961.7, , , , , 
FFI16_RS02285, 2119.3, , , , , 
FFI16_RS02290, 178.0, , , , , 
FFI16_RS02295, 178.0, , , , , 
FFI16_RS02300, 910.3, , , , , 
FFI16_RS02305, 737.3, , 400:3:0.321429:0.321429;500:3:0.103448:0.190476, , , 
FFI16_RS02310, 1395.3, , , , , 
FFI16_RS02315, 1214.0, , , , , 
FFI16_RS02320, 371.7, , , , , 
FFI16_RS02325, 828.3, , , , , 
FFI16_RS02330, 664.0, , , , , 
FFI16_RS02335, 417.7, , , , , 
FFI16_RS02340, 324.0, , , , , 
FFI16_RS02345, 1283.0, , , , , 
FFI16_RS02350, 370.0, , , , , 
FFI16_RS02355, 985.0, , , , , 
FFI16_RS02360, 599.0, , , , , 
FFI16_RS02365, 1590.3, , , , , 
FFI16_RS02370, 611.0, , , , , 
FFI16_RS02375, 961.7, , , , , 
FFI16_RS02380, 626.7, , , 300:1:0.0972222:0.216216, , 
FFI16_RS02385, 561.3, , , , , 
FFI16_RS02390, 169.0, , , , , 
FFI16_RS02395, 1252.7, , , , , 
FFI16_RS02400, 1199.7, , , , , 
FFI16_RS02405, 823.0, , 400:3:0.15493:0.15493;400:3:0.153846:0.153846;400:3:0.0869565:0.142857, , , 
FFI16_RS02410, 817.3, , , , , 
FFI16_RS02415, 1164.7, , , , , 
FFI16_RS02420, 457.3, , , , , 
FFI16_RS02425, 1705.0, , , , , 
FFI16_RS02430, 410.0, , 500:1:0.0714286:0.384615;500:1:0.153846:0.176471;500:1:0.166667:0.3125, 400:3:0.222222:0.5, , 
FFI16_RS02435, 564.0, , , , , 
FFI16_RS02440, 1976.7, , 500:1:0.0714286:0.125, , , 
FFI16_RS02445, 796.3, , , , , 
FFI16_RS02450, 492.7, , , , , 
FFI16_RS02455, 851.7, , , , , 
FFI16_RS02460, 1484.7, , , , , 
FFI16_RS02465, 718.7, , , , , 
FFI16_RS02470, 660.0, , 300:3:0.189189:0.258621, 300:3:0.166667:0.416667;600:3:0.177778:0.222222, , 
FFI16_RS02475, 1091.3, , , , , 
FFI16_RS02480, 797.7, , 400:1:0:0.195122;400:3:0.302326:0.302326;400:3:0.244444:0.244444;400:3:0.159091:0.159091;400:3:0.25:0.261905;400:3:0.227273:0.227273;400:3:0.25:0.25;400:3:0.227273:0.227273;800:3:0.162791:0.162791;800:3:0.139535:0.139535;400:3:0.238095:0.238095, 700:3:0.075:0.121951;400:3:0.0810811:0.230769, , 
FFI16_RS02485, 368.7, , , , , 
FFI16_RS02490, 229.7, , , , , 
FFI16_RS02495, 576.0, , , , , 
FFI16_RS02500, 651.7, , , , , 
FFI16_RS02505, 1105.7, , , , , 
FFI16_RS02510, 1007.7, , , , , 
FFI16_RS02515, 1425.7, , , , , 
FFI16_RS02520, 1244.3, , , , , 
FFI16_RS02525, 798.0, , 800:3:0.153846:0.153846, , , 
FFI16_RS02530, 593.7, , , , , 
FFI16_RS02535, 1184.7, , , , , 
FFI16_RS02540, 359.3, , , , , 
FFI16_RS02545, 385.0, , , , , 
FFI16_RS02550, 1016.3, , , , , 
FFI16_RS02555, 757.3, , , , , 
FFI16_RS02560, 877.3, , , , , 
FFI16_RS02565, 1160.0, , , , , 
FFI16_RS02570, 740.0, , , , , 
FFI16_RS02575, 631.7, , , , , 
FFI16_RS02580, 1161.3, , , , , 
FFI16_RS02585, 388.0, , , , , 
FFI16_RS02590, 139.0, , , , , 
FFI16_RS02595, 653.0, , , , , 
FFI16_RS02600, 1529.7, , , 400:1:0.0350877:0.121212, , 
FFI16_RS02605, 1204.0, , , , , 
FFI16_RS02610, 448.0, , , , , 
FFI16_RS02615, 2212.3, , , , , 
FFI16_RS02620, 1014.3, , , , , 
FFI16_RS02625, 727.3, , , , , 
FFI16_RS02630, 115.0, , , 600:3:0.185185:0.341463;700:3:0.111111:0.243902;600:3:0.192308:0.192308;300:1:0.0357143:0.222222, , 
FFI16_RS02635, 410.3, , , 400:1:0.0784314:0.181818, , 
FFI16_RS02640, 1587.0, , , 400:1:0.0138889:0.117647, , 
FFI16_RS02645, 791.7, , , , , 
FFI16_RS02650, 403.7, , , , , 
FFI16_RS02655, 731.7, , , , , 
FFI16_RS02660, 1051.0, , , , , 
FFI16_RS02665, 426.0, , , , , 
FFI16_RS02670, 164.0, , , , , 
FFI16_RS02675, 567.0, , , , , 
FFI16_RS02680, 463.7, , , , , 
FFI16_RS02685, 361.0, , , , , 
FFI16_RS02690, 277.3, , , , , 
FFI16_RS02695, 1458.3, , , , , 
FFI16_RS02700, 672.3, , , , , 
FFI16_RS02710, 496.0, , , , , 
FFI16_RS02715, 526.3, , , , , 
FFI16_RS02720, 790.7, , , , , 
FFI16_RS02725, 446.7, , , , , 
FFI16_RS02730, 524.7, , , , , 
FFI16_RS02735, 369.0, , , , , 
FFI16_RS02740, 839.7, , , , , 
FFI16_RS02745, 983.3, , , , , 
FFI16_RS02750, 428.3, , , , , 
FFI16_RS02755, 640.0, , , , , 
FFI16_RS02760, 595.0, , , , , 
FFI16_RS02765, 514.3, , , , , 
FFI16_RS02770, 139.0, , , , , 
FFI16_RS02775, 1021.3, , , , , 
FFI16_RS02780, 1009.0, , , , , 
FFI16_RS02785, 1080.3, , , , , 
FFI16_RS02790, 734.0, , , , , 
FFI16_RS02795, 1035.7, , , , , 
FFI16_RS02800, 780.3, , 400:1:0.0588235:0.159091, , , 
FFI16_RS02805, 689.7, , , , , 
FFI16_RS02810, 680.3, , 500:1:0:0.130435, 300:3:0.126582:0.233333, , 
FFI16_RS02815, 1211.7, , , , , 
FFI16_RS02820, 913.7, , , , , 
FFI16_RS02825, 698.7, , , , , 
FFI16_RS02830, 797.3, , , , , 
FFI16_RS02835, 1042.3, , , , , 
FFI16_RS02840, 732.7, , , , , 
FFI16_RS02845, 755.0, , , , , 
FFI16_RS02850, 578.7, , , , , 
FFI16_RS02855, 675.0, , , , , 
FFI16_RS02860, 813.3, , , , , 
FFI16_RS02865, 855.3, , , , , 
FFI16_RS02870, 3701.3, , , , , 
FFI16_RS02875, 1369.0, , , , , 
FFI16_RS02880, 1080.7, , , , , 
FFI16_RS02885, 1205.3, , , , , 
FFI16_RS02890, 911.7, , , , , 
FFI16_RS02895, 464.3, , , , , 
FFI16_RS02900, 266.3, , , , , 
FFI16_RS02905, 891.3, , , , , 
FFI16_RS02910, 1132.7, , 500:1:0.027027:0.148936;400:1:0.047619:0.161765;400:3:0.0540541:0.142857, 400:1:0.0412371:0.142857;400:3:0.1:0.205128, , 
FFI16_RS02915, 2120.0, , 500:1:0.0877193:0.136364, 500:3:0.133333:0.133333;600:3:0.12963:0.12963, , 
FFI16_RS02920, 394.3, , , , , 
FFI16_RS02925, 1234.3, , , , , 
FFI16_RS02930, 288.0, , , , , 
FFI16_RS02935, 796.0, , 500:1:0:0.125;500:1:0.0740741:0.130435;400:3:0.0833333:0.173913;500:1:0.0681818:0.163265;500:1:0.0222222:0.14;500:3:0.186047:0.215686, , , 
FFI16_RS02940, 768.3, , , , , 
FFI16_RS02945, 968.3, , , , , 
FFI16_RS02950, 1212.7, , , , , 
FFI16_RS02955, 1166.7, , , , , 
FFI16_RS02960, 636.7, , , , , 
FFI16_RS02965, 1042.3, , , , , 
FFI16_RS02970, 1071.7, , , , , 
FFI16_RS02975, 450.0, , , , , 
FFI16_RS02980, 515.3, , , , , 
FFI16_RS02985, 408.0, , , , , 
FFI16_RS02990, 228.0, , , , , 
FFI16_RS02995, 552.3, , 500:1:0.03125:0.133333, , , 
