Identifier, Size, 0F1, 0F2, 0F3, 0F4, 0F5
FFJ24_RS00915, 1993.7, , , , , 
FFJ24_RS00920, 1663.3, , 300:3:0.908497:0.908497, , , 
FFJ24_RS00925, 1184.3, , , , , 
FFJ24_RS00930, 1083.7, 400:2:0.990476:0.990476, , , , 
FFJ24_RS00935, 800.3, , , , , 
FFJ24_RS00940, 974.7, , , , , 
FFJ24_RS00945, 1402.0, , , , , 
FFJ24_RS00950, 1031.7, , , , , 
FFJ24_RS00955, 779.7, , , , , 
FFJ24_RS00960, 1942.3, , , , , 
FFJ24_RS00965, 1949.3, , , , , 
FFJ24_RS00970, 1550.7, , , , , 
FFJ24_RS00975, 1716.7, , 600:1:0.0147059:0.132231, , 400:1:0:0.612903, 
FFJ24_RS00980, 1139.7, , , , , 
FFJ24_RS00985, 2156.3, , , , , 
FFJ24_RS00990, 962.7, , , , , 
FFJ24_RS00995, 972.7, 300:2:0.97541:0.977941, , , , 
FFJ24_RS01000, 3353.7, , , , , 
FFJ24_RS01005, 1644.7, , , , , 
FFJ24_RS01010, 2434.0, , , , , 
FFJ24_RS01015, 1501.3, , , , , 
FFJ24_RS01020, 2385.3, , , , , 
FFJ24_RS01025, 2392.0, , , , , 
FFJ24_RS01030, 1022.3, , , , , 
FFJ24_RS01035, 972.7, , , , , 
FFJ24_RS01040, 480.3, , , , , 
FFJ24_RS01045, 557.0, , 600:3:0.911917:0.911917, , 600:1:0.0240964:0.195122, 
FFJ24_RS01050, 468.0, , , , , 
FFJ24_RS01055, 680.3, , , , , 
FFJ24_RS01060, 261.0, , , , , 
FFJ24_RS01065, 1868.0, , , , , 
FFJ24_RS01070, 680.3, , , , , 
FFJ24_RS01075, 2579.3, , 500:1:0.00943396:0.148148, , , 
FFJ24_RS01080, 1237.7, , , , , 
FFJ24_RS01085, 496.3, , , , , 
FFJ24_RS01090, 697.3, , , , , 
FFJ24_RS01095, 370.0, , , , , 
FFJ24_RS01100, 720.0, , , , , 
FFJ24_RS01105, 936.0, , , , , 
FFJ24_RS01110, 1107.0, , , , , 
FFJ24_RS01115, 756.7, , 300:3:0.0875912:0.244898;500:1:0.0230769:0.16, , 100:3:0.105263:0.243243, 300:1:0.0113636:0.106383
FFJ24_RS01120, 987.7, , , , , 
FFJ24_RS01125, 2019.0, , 200:3:0.1:0.241379;200:1:0.0588235:0.266667;200:1:0.0888889:0.266667;200:1:0.0729927:0.222222;200:3:0.0948905:0.433333, , 200:1:0.0810811:0.222222;200:3:0.108108:0.342105, 700:3:0.0854701:0.153846;600:3:0.126126:0.285714
FFJ24_RS01130, 2486.3, , , , , 
FFJ24_RS01135, 1125.7, , , , , 
FFJ24_RS01140, 1699.7, , , , , 
FFJ24_RS01145, 1344.7, , , , , 
FFJ24_RS01150, 360.0, , , , , 
FFJ24_RS01155, 1144.7, , , , , 
FFJ24_RS01160, 2022.7, , , , , 
FFJ24_RS01165, 1415.7, , , , , 
FFJ24_RS01170, 587.7, , , , , 
FFJ24_RS01175, 506.0, , , , , 
FFJ24_RS01180, 1755.0, , , , , 
FFJ24_RS01185, 216.0, , , , , 
FFJ24_RS01190, 466.0, , , , , 
FFJ24_RS01195, 966.7, , , , , 
FFJ24_RS01200, 699.3, , , , , 
FFJ24_RS01205, 321.0, , , , , 
FFJ24_RS01210, 636.0, , , , , 
FFJ24_RS01215, 609.0, , , , , 
FFJ24_RS01220, 414.0, , , , , 
FFJ24_RS01225, 1521.7, , , , , 
FFJ24_RS01230, 1947.3, , , , , 
FFJ24_RS01235, 1080.3, , , , , 
FFJ24_RS01240, 245.7, , , , , 
FFJ24_RS01245, 1958.0, 700:3:0.152941:0.271605, , , , 
FFJ24_RS01250, 619.3, , , , , 
FFJ24_RS01255, 533.3, , , , , 
FFJ24_RS01260, 706.3, , , , , 
FFJ24_RS01265, 882.3, , , , , 
FFJ24_RS01270, 407.3, , , , , 
FFJ24_RS01275, 426.3, , , , , 
FFJ24_RS01280, 514.0, , , , , 
FFJ24_RS01285, 432.7, , , , , 
FFJ24_RS01290, 357.7, , , , , 
FFJ24_RS01295, 1580.0, , 200:3:0.73:0.73, , , 
FFJ24_RS01300, 488.0, , , , , 
FFJ24_RS01305, 623.3, , , , , 
FFJ24_RS01310, 357.3, , , , , 
FFJ24_RS01315, 1579.0, , , , , 
FFJ24_RS01320, 523.3, , , , , 
FFJ24_RS01325, 481.7, , , , , 
FFJ24_RS01330, 485.7, , , , , 
FFJ24_RS01335, 793.3, , , , , 
FFJ24_RS01340, 863.3, , , , , 
FFJ24_RS01345, 394.7, , , , , 
FFJ24_RS01350, 189.0, , , , , 
FFJ24_RS01355, 452.7, , , , , 
FFJ24_RS01360, 655.7, , , , , 
FFJ24_RS01365, 2596.7, , , , , 
FFJ24_RS01370, 1327.0, , , , , 
FFJ24_RS01375, 2617.7, , , , , 
FFJ24_RS01380, 1496.7, , , , , 
FFJ24_RS01385, 566.3, , , , , 
FFJ24_RS01390, 867.7, , , , , 
FFJ24_RS01395, 923.3, , , , , 
FFJ24_RS01400, 882.3, , , , , 
FFJ24_RS01405, 1563.7, , , , , 
FFJ24_RS01410, 1301.0, , , , 600:1:0:0.230769, 
FFJ24_RS01415, 809.7, , , , , 
FFJ24_RS01420, 351.3, , , , , 
FFJ24_RS01425, 794.7, , , , , 
FFJ24_RS01430, 568.3, , , , , 
FFJ24_RS01435, 662.3, , , , , 
FFJ24_RS01440, 1882.3, , , , , 
FFJ24_RS01445, 458.0, , , , , 
FFJ24_RS01450, 567.7, , , , , 
FFJ24_RS01455, 421.7, , , , , 
FFJ24_RS01460, 567.3, , , , , 
FFJ24_RS01465, 501.3, , , , , 
FFJ24_RS01470, 334.7, , , , , 
FFJ24_RS01475, 1895.0, , , , , 
FFJ24_RS01480, 692.7, , , , , 
FFJ24_RS01485, 1065.0, , , , , 
FFJ24_RS01490, 645.0, , , , , 
FFJ24_RS01495, 865.0, , , , , 
FFJ24_RS01500, 399.3, 300:1:0:0.2, , , , 
FFJ24_RS01505, 445.7, , , , , 
FFJ24_RS01510, 938.7, , , , , 
FFJ24_RS01515, 1316.7, , , , , 
FFJ24_RS01520, 467.0, , , , , 
FFJ24_RS01525, 705.0, , , , , 
FFJ24_RS01530, 334.7, , , , , 
FFJ24_RS01535, 1632.7, , , , , 
FFJ24_RS01540, 1240.7, , , , 700:3:0.1:0.128571;800:3:0.190476:0.190476, 
FFJ24_RS01545, 969.7, , , , , 
FFJ24_RS01550, 1159.0, , 300:1:0.0238095:0.169811, , 400:1:0.0625:0.294118, 
FFJ24_RS01555, 925.7, , , , , 
FFJ24_RS01565, 966.7, , , , , 
FFJ24_RS01570, 1126.0, , , , , 
FFJ24_RS01575, 956.0, , , , , 
FFJ24_RS01580, 1069.0, , , , , 
FFJ24_RS01585, 1377.0, , , , , 
FFJ24_RS01590, 1078.7, , , , , 
FFJ24_RS01595, 243.0, , , , , 
FFJ24_RS01600, 882.3, , , , , 
FFJ24_RS01605, 483.3, , , , , 
FFJ24_RS01610, 1090.0, , , , , 
FFJ24_RS01615, 771.0, , , , , 
FFJ24_RS01620, 1689.3, , , , , 
FFJ24_RS01625, 311.7, , , , , 
FFJ24_RS01630, 501.3, , , , , 
FFJ24_RS01635, 640.3, , , , , 
FFJ24_RS01640, 1057.3, , , , , 
FFJ24_RS01645, 374.7, , , , , 
FFJ24_RS01650, 2544.7, , , , 600:3:0.120482:0.366667;300:3:0.1875:0.1875, 500:1:0.0481928:0.1875
FFJ24_RS01655, 1491.0, , , , 600:3:0.756098:0.756098, 
FFJ24_RS01660, 2394.3, , , , , 
FFJ24_RS01665, 1393.3, , , , , 
FFJ24_RS01670, 785.0, , , , 600:3:0.107143:0.205128, 
FFJ24_RS01675, 1334.3, , 200:2:0.996032:1, , , 
FFJ24_RS01680, 3349.7, , , , , 
FFJ24_RS01685, 1302.7, , , , , 
FFJ24_RS01690, 407.0, , , , , 
FFJ24_RS01695, 584.7, , , , , 
FFJ24_RS01700, 942.7, , , , , 
FFJ24_RS01705, 358.7, , , , , 
FFJ24_RS01710, 350.0, , , , , 
FFJ24_RS01715, 351.7, , , , , 
FFJ24_RS01720, 369.7, , , , , 
FFJ24_RS01725, 793.7, , , , , 
FFJ24_RS01730, 288.0, , , , , 
FFJ24_RS01735, 2025.0, , , , , 
FFJ24_RS01740, 2360.0, , , , , 
FFJ24_RS01750, 594.7, , , , , 
FFJ24_RS01755, 2081.3, , , , , 
FFJ24_RS01760, 1624.3, , , , 300:1:0:0.533333, 
FFJ24_RS01765, 1773.7, , , , , 
FFJ24_RS01770, 573.0, , , , , 
FFJ24_RS01775, 754.7, , , , , 
FFJ24_RS01780, 786.7, , , , , 
FFJ24_RS01785, 379.3, , , , , 
FFJ24_RS01790, 1062.0, , , , 700:3:0.585366:0.585366, 
FFJ24_RS01795, 777.0, , , , , 
FFJ24_RS01800, 669.7, , , , , 
FFJ24_RS01805, 868.3, , , , , 
FFJ24_RS01810, 554.7, , , , , 
FFJ24_RS01815, 783.0, , , , , 
FFJ24_RS01820, 903.0, , , , , 
FFJ24_RS01825, 1279.7, , , , , 
FFJ24_RS01830, 559.7, , , , , 500:1:0.00719424:0.125
FFJ24_RS01835, 2179.3, , , , , 
FFJ24_RS01840, 474.0, , , , , 
FFJ24_RS01845, 811.7, , , , , 
FFJ24_RS01850, 281.3, , , , , 
FFJ24_RS01855, 464.7, , , , , 
FFJ24_RS01860, 428.0, , , , , 
FFJ24_RS01865, 436.3, , , , , 
FFJ24_RS01870, 779.7, , , , , 
FFJ24_RS01875, 404.0, , , , , 
FFJ24_RS01880, 515.3, , , , , 
FFJ24_RS01885, 525.7, , 300:3:0.0758621:0.294118;300:3:0.1:0.228571;300:3:0.134615:0.27907;300:1:0.0379747:0.184211;300:3:0.11875:0.189189;200:3:0.124183:0.361111;300:3:0.083871:0.243243;300:1:0.0974026:0.171429;300:3:0.0844156:0.210526;300:3:0.0945946:0.21875;300:1:0.0392157:0.228571;300:1:0.0628931:0.225806, , 200:3:0.148936:0.253968;200:3:0.232558:0.328125;200:3:0.152174:0.25;200:3:0.204545:0.204545;700:1:0.0666667:0.190476;300:3:0.1:0.257143, 600:3:0.0819672:0.234043;600:3:0.139344:0.204082;500:3:0.131387:0.291667;300:3:0.15493:0.25;500:3:0.12766:0.1875;600:3:0.129496:0.229167;600:1:0.0724638:0.126984
FFJ24_RS01890, 471.7, , , , , 
FFJ24_RS01895, 722.7, , , , , 
FFJ24_RS01900, 486.3, , , , , 
FFJ24_RS01905, 186.0, , , , , 
FFJ24_RS01910, 759.7, , , , , 
FFJ24_RS01915, 503.0, , , , , 
FFJ24_RS01920, 336.3, , , , , 
FFJ24_RS01925, 389.7, , , , , 
FFJ24_RS01930, 375.0, , , , , 
FFJ24_RS01935, 1697.3, , , , , 
FFJ24_RS01940, 1118.7, , , , , 
FFJ24_RS01945, 557.7, , , , , 
FFJ24_RS01950, 1065.3, 300:1:0:0.130435, , , , 
FFJ24_RS01955, 1071.0, , , , , 
FFJ24_RS01960, 1822.0, , , , , 
FFJ24_RS01965, 431.0, , , , , 
FFJ24_RS01970, 1530.7, , , , , 
FFJ24_RS01975, 639.3, , , , , 
FFJ24_RS01980, 640.3, , , , , 
FFJ24_RS01985, 1923.7, , , , , 
FFJ24_RS01990, 824.7, , , , , 
FFJ24_RS01995, 522.7, , , , , 
FFJ24_RS02000, 382.3, , , , , 
FFJ24_RS02005, 209.3, , , , , 
FFJ24_RS02010, 358.0, , , , , 
FFJ24_RS02015, 574.7, , , , , 
FFJ24_RS02020, 746.3, , , , , 
FFJ24_RS02025, 666.0, , , , , 
FFJ24_RS02030, 1988.3, , , , , 
FFJ24_RS02035, 228.0, , , , , 
FFJ24_RS02040, 432.3, , , , , 
FFJ24_RS02045, 390.7, , , , , 
FFJ24_RS02050, 1386.7, , , , , 
FFJ24_RS02055, 1040.7, , , , , 
FFJ24_RS02060, 734.0, , , , , 
FFJ24_RS02065, 1118.3, , , , , 
FFJ24_RS02070, 174.0, , , , , 
FFJ24_RS02075, 1270.0, , , , , 
FFJ24_RS02080, 174.0, , , , , 
FFJ24_RS02085, 442.3, , , , , 
FFJ24_RS02090, 1336.3, , , , , 
FFJ24_RS02095, 537.0, , , , , 
FFJ24_RS02100, 321.7, , , , , 
FFJ24_RS02105, 377.7, , , , , 
FFJ24_RS02110, 2008.7, , , , , 
FFJ24_RS02115, 902.0, , , , , 
FFJ24_RS02120, 655.3, , , , , 
FFJ24_RS02125, 472.0, , , , , 
FFJ24_RS02130, 681.7, , , , , 
FFJ24_RS02135, 953.7, 300:1:0.0133333:0.208333, , , , 
FFJ24_RS02140, 1684.0, , , , , 
FFJ24_RS02145, 1110.3, , , , , 
FFJ24_RS02150, 1105.7, , , , , 
FFJ24_RS02155, 851.0, 700:2:0.984375:0.984375, , , , 
FFJ24_RS02160, 293.3, , , , , 
FFJ24_RS02165, 227.0, , , , , 
FFJ24_RS02170, 2712.0, , , , , 
FFJ24_RS02175, 685.3, , , , , 
FFJ24_RS02180, 839.0, , , , , 
FFJ24_RS02185, 300.7, , , , , 
FFJ24_RS02190, 225.0, , , , , 
FFJ24_RS02195, 554.0, , , , , 
FFJ24_RS02200, 1064.7, , , , , 
FFJ24_RS02205, 974.0, 100:3:0.169231:0.175676;100:3:0.166667:0.213333, 500:1:0.0520231:0.163265;300:3:0.155689:0.303571;300:1:0.0542169:0.1875;500:1:0.097561:0.22449;300:3:0.191358:0.391304;200:3:0.136646:0.293103, , 500:1:0.1:0.184783, 500:3:0.119048:0.240385
FFJ24_RS02210, 1580.3, , , , , 
FFJ24_RS02215, 400.3, , , , , 
FFJ24_RS02220, 731.3, , , , , 
FFJ24_RS02225, 890.7, , , , , 
FFJ24_RS02230, 1291.3, , , , 600:3:0.121212:0.25, 
FFJ24_RS02235, 559.0, , , , , 
FFJ24_RS02240, 302.0, , , , , 
FFJ24_RS02245, 612.0, , , , 200:2:1:1, 
FFJ24_RS02250, 762.3, , , , , 
FFJ24_RS02255, 595.7, , , , , 
FFJ24_RS02260, 1126.3, , , , , 
FFJ24_RS02265, 149.7, , , , , 
FFJ24_RS02270, 162.3, , , , , 
FFJ24_RS02275, 1978.7, , , , , 
FFJ24_RS02280, 264.3, , , , , 
FFJ24_RS02285, 264.3, , , , , 
FFJ24_RS02290, 1333.7, , , , , 
FFJ24_RS02295, 497.0, , , , , 
FFJ24_RS02300, 2296.3, , , , , 
FFJ24_RS02305, 1113.7, 400:2:0.969697:1, , , , 
FFJ24_RS02310, 1364.0, , , , , 
FFJ24_RS02315, 1023.7, , , , , 
FFJ24_RS02320, 343.3, , , , , 
FFJ24_RS02325, 316.3, , , , , 
FFJ24_RS02330, 1031.0, , , , , 
FFJ24_RS02335, 734.7, , 500:1:0.00980392:0.175, , , 
FFJ24_RS02340, 1478.3, , , , , 
FFJ24_RS02345, 715.0, , , , , 
FFJ24_RS02350, 1003.0, , , , , 
FFJ24_RS02355, 407.7, , , , , 
FFJ24_RS02360, 220.3, , , , , 
FFJ24_RS02365, 790.3, , , , , 
FFJ24_RS02370, 296.3, , , , , 
FFJ24_RS02375, 174.0, , , , , 
FFJ24_RS02380, 122.0, , , , , 
FFJ24_RS02385, 157.0, , , , , 
FFJ24_RS02390, 151.0, , , , , 
FFJ24_RS02395, 1016.0, , , , , 
FFJ24_RS02400, 155.0, , , , , 
FFJ24_RS02405, 255.7, , , , , 
FFJ24_RS02410, 440.3, , , , , 
FFJ24_RS02415, 483.0, , , , , 
FFJ24_RS02425, 1319.0, , 500:1:0.00833333:0.135135;300:1:0.046875:0.166667;500:1:0:0.136364, , 300:1:0:0.217391;600:1:0:0.136364, 
FFJ24_RS02430, 515.7, , , , , 
FFJ24_RS02435, 286.3, , , , , 
FFJ24_RS02440, 604.3, , , , , 
FFJ24_RS02445, 447.0, , , , , 
FFJ24_RS02450, 555.3, , , , , 
FFJ24_RS02455, 409.0, , , , , 
FFJ24_RS02460, 356.3, , , , , 
FFJ24_RS02465, 3074.3, , 500:2:0.925926:0.925926, , , 
FFJ24_RS02470, 3436.3, , 500:3:0.868217:0.868217, , , 
FFJ24_RS02475, 292.0, , , , , 
FFJ24_RS02480, 346.0, , , , , 
FFJ24_RS02485, 1016.3, , , , , 
FFJ24_RS02490, 1001.3, , , , , 
FFJ24_RS02495, 786.0, , , , , 
FFJ24_RS02500, 629.0, , , , , 500:1:0.0512821:0.176471
FFJ24_RS02505, 1210.3, , , , , 
FFJ24_RS02510, 536.7, , , , , 
FFJ24_RS02515, 618.0, , , , , 
FFJ24_RS02520, 541.0, , , , , 
FFJ24_RS02525, 537.0, , , , , 
FFJ24_RS02530, 975.7, , , , , 
FFJ24_RS02535, 737.0, , , , , 
FFJ24_RS02540, 413.3, , , , , 
FFJ24_RS02545, 719.7, , , , , 
FFJ24_RS02550, 1517.0, , , , , 
FFJ24_RS02555, 480.3, , , , , 
FFJ24_RS02560, 577.3, , , , , 
FFJ24_RS02565, 1635.7, , , , , 
FFJ24_RS02570, 751.3, , , , , 
FFJ24_RS02575, 503.7, , , , , 
FFJ24_RS02580, 1069.0, , , , , 
FFJ24_RS02585, 629.3, , , , , 
FFJ24_RS02590, 495.7, , , , , 
FFJ24_RS02595, 320.7, , , , , 
FFJ24_RS02600, 389.3, , , , , 
FFJ24_RS02605, 389.3, , , , , 
FFJ24_RS02610, 1509.0, , , , , 
FFJ24_RS02615, 723.7, , , , , 
FFJ24_RS02620, 824.0, , , , , 
FFJ24_RS02625, 419.0, , , , , 
FFJ24_RS02630, 655.3, , , , , 
FFJ24_RS02635, 3597.0, , 300:3:0.864583:0.883333, , 600:3:0.0454545:0.181818, 
FFJ24_RS02640, 355.0, , , , , 
FFJ24_RS02645, 1969.0, , , , , 
FFJ24_RS02650, 1048.0, , , , , 
FFJ24_RS02655, 672.7, , , , , 
FFJ24_RS02660, 417.7, , , , , 
FFJ24_RS02665, 833.7, , , , , 
FFJ24_RS02670, 442.7, , , , , 
FFJ24_RS02675, 422.7, , , , , 
FFJ24_RS02680, 1465.0, , , , , 
FFJ24_RS02685, 997.0, , , , , 
FFJ24_RS02690, 1028.7, , , , , 
FFJ24_RS02695, 895.0, , , , , 
FFJ24_RS02700, 794.7, , , , , 
FFJ24_RS02705, 511.0, , , , , 
FFJ24_RS02710, 525.0, , , , , 
FFJ24_RS02715, 328.7, , , , , 
FFJ24_RS02720, 609.7, , , , , 
FFJ24_RS02725, 301.7, , , , , 
FFJ24_RS02730, 217.7, 300:1:0.0447761:0.1875, , , , 
FFJ24_RS02735, 1513.7, , , , , 
FFJ24_RS02740, 483.3, , , , , 
FFJ24_RS02745, 651.0, , , , , 
FFJ24_RS02750, 672.0, , , , , 
FFJ24_RS02755, 426.0, , , , , 
FFJ24_RS02760, 675.7, , , , , 
FFJ24_RS02765, 651.7, , , , , 
FFJ24_RS02770, 1429.7, 300:1:0.00934579:0.12, , , 600:1:0:0.157895, 
FFJ24_RS02775, 832.0, , , , , 
FFJ24_RS02780, 639.3, , , , , 
FFJ24_RS02785, 421.7, , , , , 
