Identifier, Size, 1B1, 1B2, 1B3, 1B4, 1B5
B4U62_RS00565, 462.7, , , , , 
B4U62_RS00570, 856.0, , , , , 
B4U62_RS00575, 1873.3, , , , , 400:1:0.00840336;400:1:0
B4U62_RS00580, 1139.3, , , , , 400:1:0;400:1:0.0134228
B4U62_RS00585, 848.0, , , , , 400:1:0.0190476
B4U62_RS00590, 958.7, , , , , 
B4U62_RS00595, 558.3, , , , , 
B4U62_RS00600, 361.3, , , , , 
B4U62_RS00605, 1236.0, , , 400:3:0.126761, , 400:3:0.0721649
B4U62_RS00610, 245.0, , , , , 
B4U62_RS00620, 1211.7, , , , , 400:1:0
B4U62_RS00625, 337.3, , , , , 
B4U62_RS00630, 562.3, , , , , 
B4U62_RS00635, 407.0, , , , , 
B4U62_RS00640, 584.7, , , , , 
B4U62_RS00645, 212.3, , , , , 
B4U62_RS00650, 175.0, , , , , 
B4U62_RS00655, 520.3, , , , , 
B4U62_RS00660, 425.3, , , , , 
B4U62_RS00665, 631.3, , , , , 
B4U62_RS00670, 485.7, , , , , 
B4U62_RS00675, 328.0, , , , , 
B4U62_RS00680, 566.3, , , , , 
B4U62_RS00685, 2866.3, , , 800:3:0.555556, , 
B4U62_RS00690, 2827.3, , 300:3:0.0595238, , , 400:1:0;400:1:0.0136986
B4U62_RS00695, 289.0, , , , , 
B4U62_RS00700, 417.3, , , , , 
B4U62_RS00705, 407.7, , , , , 
B4U62_RS00710, 1661.0, , , , , 400:1:0.00584795
B4U62_RS00715, 1017.0, , , , , 
B4U62_RS00720, 848.3, , , , , 400:1:0.0104167
B4U62_RS00725, 339.3, , , , , 
B4U62_RS00730, 523.7, , , , , 
B4U62_RS00735, 500.0, , , , , 
B4U62_RS00740, 225.3, , , , , 
B4U62_RS00745, 665.7, , , , , 400:1:0
B4U62_RS00750, 276.7, , , , , 
B4U62_RS00755, 276.3, , , , , 
B4U62_RS00760, 506.3, , , , , 
B4U62_RS00765, 335.0, , , , , 
B4U62_RS00770, 147.0, , , , , 
B4U62_RS00775, 229.3, , , , , 
B4U62_RS00780, 320.7, , , , , 
B4U62_RS00785, 279.0, , , , , 
B4U62_RS00790, 445.7, , , , , 
B4U62_RS00795, 169.7, , , , , 
B4U62_RS00800, 339.0, , , , , 
B4U62_RS00805, 437.3, , , , , 400:1:0.0078125
B4U62_RS00810, 306.7, , , , , 
B4U62_RS00815, 399.0, , , , , 
B4U62_RS00820, 151.7, , , , , 
B4U62_RS00825, 363.7, , , , , 
B4U62_RS00830, 995.7, , , , , 
B4U62_RS00835, 564.0, , , , , 
B4U62_RS00840, 578.0, , , , , 
B4U62_RS00845, 213.7, , , , , 
B4U62_RS00850, 217.3, , , , , 
B4U62_RS00855, 126.0, , , , , 
B4U62_RS00860, 298.0, , , , , 500:1:0.0447761
B4U62_RS00865, 313.7, , , , , 
B4U62_RS00870, 829.3, , , , , 
B4U62_RS00875, 356.0, , , , , 
B4U62_RS00880, 757.3, , , , , 400:1:0.046875
B4U62_RS00885, 655.3, , , , , 400:1:0.046875;400:1:0.0265487
B4U62_RS00890, 607.7, , , , , 
B4U62_RS00895, 588.0, , , , , 
B4U62_RS00900, 439.7, , , , , 
B4U62_RS00905, 313.3, , , , , 
B4U62_RS00910, 703.7, , , , , 400:1:0.0168067
B4U62_RS00915, 459.3, , , , , 
B4U62_RS00920, 616.7, , , , , 
B4U62_RS00925, 913.0, , , , , 400:1:0.017094
B4U62_RS00930, 555.0, , , , , 
B4U62_RS00935, 476.7, , , , , 
B4U62_RS00940, 712.3, , , , , 400:1:0.0078125;400:1:0.0166667
B4U62_RS00945, 1655.0, , , , , 
B4U62_RS00950, 3034.0, , , , , 
B4U62_RS00955, 167.0, , , , , 
B4U62_RS00960, 120.0, , , , , 
B4U62_RS00965, 75.0, , , , , 
B4U62_RS00970, 131.0, , , , , 
B4U62_RS00975, 108.0, , , , , 
B4U62_RS00980, 104.0, , , , , 400:1:0.0434783
B4U62_RS00985, 84.0, , , , , 400:1:0;400:1:0.0192308
B4U62_RS00990, 1655.0, , , , , 
B4U62_RS00995, 3034.0, , , , , 
B4U62_RS01000, 167.0, , , , , 
B4U62_RS01005, 1655.0, , , , , 
B4U62_RS01010, 3034.0, , , , , 
B4U62_RS01015, 167.0, , , , , 
B4U62_RS01020, 292.7, , , , , 
B4U62_RS01025, 1199.0, 400:3:0.166667;400:3:0.19697;500:3:0.241935;500:3:0.126984;700:3:0.112903;400:3:0.161765;600:3:0.138462;800:1:0.046875;500:3:0.209677;900:3:0.171429;400:3:0.183099;500:3:0.0857143;500:3:0.180556;800:3:0.0649351, 400:3:0.126582;800:1:0.0735294;700:3:0.109375;600:3:0.106667;700:3:0.118421, , 700:1:0.0588235, 700:3:0.134328;400:1:0
B4U62_RS01030, 802.3, , , , , 
B4U62_RS01035, 590.3, , , , , 400:1:0.010989
B4U62_RS01040, 807.3, , , , , 
B4U62_RS01045, 815.3, , , , , 
B4U62_RS01050, 865.3, , , , , 400:1:0.00847458
B4U62_RS01055, 1371.3, , , , , 
B4U62_RS01060, 1016.7, , , , , 400:1:0.0107527
B4U62_RS01065, 1572.3, , , , , 400:1:0.026087
B4U62_RS01070, 1112.0, , , , , 
B4U62_RS01075, 1129.7, , , , , 400:1:0.0172414
B4U62_RS01080, 696.7, 400:3:0.0897436, , 500:1:0, , 400:1:0.0338983;400:1:0.015625
B4U62_RS01085, 838.0, , , , , 
B4U62_RS01090, 397.0, , , , , 
B4U62_RS01095, 465.3, , , , , 
B4U62_RS01100, 154.0, , , , , 
B4U62_RS01105, 79.0, , , , , 
B4U62_RS01110, 77.0, , , , , 
B4U62_RS01115, 107.0, , , , , 
B4U62_RS01120, 79.0, , , , , 
B4U62_RS01125, 545.3, , , , , 
B4U62_RS01130, 512.3, , , , , 
B4U62_RS01135, 734.3, , , , , 
B4U62_RS01140, 1130.3, , , , , 
B4U62_RS01145, 1054.3, , , , , 
B4U62_RS01150, 1486.0, , , , , 
B4U62_RS01155, 834.0, , , , , 
B4U62_RS01160, 614.3, , , , , 
B4U62_RS01165, 405.7, , , , , 
B4U62_RS01170, 1253.7, , , , , 400:1:0
B4U62_RS01175, 2064.3, , , , , 400:1:0.008
B4U62_RS01180, 495.0, , , , , 
B4U62_RS01185, 298.7, , , , , 
B4U62_RS01190, 351.0, , , , , 400:1:0.0133333
B4U62_RS01195, 339.3, , , , , 
B4U62_RS01200, 987.3, , , , , 400:1:0
B4U62_RS01205, 342.3, , , , , 
B4U62_RS01210, 234.3, , , , , 
B4U62_RS01215, 1045.7, , , , , 400:1:0;400:1:0
B4U62_RS01220, 1159.3, , , , , 400:1:0.00833333
B4U62_RS01225, 579.7, , , , , 
B4U62_RS01230, 1104.7, , 200:3:0.104839;200:3:0.104839;200:1:0.0425532, , , 400:1:0.0238095
B4U62_RS01235, 454.0, , , , , 
B4U62_RS01240, 349.0, , , , , 
B4U62_RS01245, 873.3, , , , , 400:1:0.0147059
B4U62_RS01250, 536.0, , , , , 
B4U62_RS01255, 782.3, , , , , 
B4U62_RS01260, 253.0, , , , , 400:1:0
B4U62_RS01265, 681.3, , , , , 
B4U62_RS01270, 783.3, , , , , 400:1:0.0103093
B4U62_RS01275, 964.3, , 300:1:0.00591716, , , 
B4U62_RS01280, 1168.0, , , , , 
B4U62_RS01285, 304.0, , , , , 
B4U62_RS01290, 173.0, , , , , 
B4U62_RS01295, 739.7, , , , , 
B4U62_RS01300, 1053.7, , , , , 
B4U62_RS01305, 308.3, , , , , 
B4U62_RS01310, 1338.7, , , , , 
B4U62_RS01315, 803.3, 600:1:0.0731707;600:1:0.025;400:3:0.243902;400:3:0.0888889;600:3:0.102041;800:3:0.107143, 400:3:0.152174, , 400:1:0.0677966, 400:3:0.0714286
B4U62_RS01320, 1065.3, , , , , 
B4U62_RS01325, 147.3, , , , , 
B4U62_RS01330, 293.3, , , , , 
B4U62_RS01335, 817.7, , , , , 
B4U62_RS01340, 934.7, , , , , 
B4U62_RS01345, 335.7, , , , , 
B4U62_RS01350, 841.3, , , , , 
B4U62_RS01355, 1831.7, , , , , 400:1:0;400:1:0.00934579;400:1:0;400:1:0.00970874
B4U62_RS01360, 741.7, , , , , 
B4U62_RS01365, 753.0, , , , , 
B4U62_RS01370, 988.7, , , , , 400:1:0.0175439
B4U62_RS01375, 825.0, , , , , 
B4U62_RS01380, 281.3, , , , , 
B4U62_RS01385, 794.3, , , , , 
B4U62_RS01390, 517.0, , , , , 400:1:0
B4U62_RS01395, 375.7, , , , , 
B4U62_RS01400, 602.3, , , , , 
B4U62_RS01405, 278.3, , , , , 
B4U62_RS01410, 1161.3, , , , , 400:1:0.0134228
B4U62_RS01415, 809.3, , , , , 
B4U62_RS01420, 875.7, , , , , 
B4U62_RS01425, 1110.0, , , , , 
B4U62_RS01430, 1526.3, 500:1:0.0138889, , , , 400:1:0
B4U62_RS01435, 701.3, , , , , 
B4U62_RS01440, 651.7, , , , , 
B4U62_RS01445, 244.7, , , , , 
B4U62_RS01450, 924.7, , , , , 
B4U62_RS01455, 1224.0, , , , , 
B4U62_RS01460, 750.3, , , , , 
B4U62_RS01465, 94.7, , , , , 
B4U62_RS01470, 1174.0, , , , , 400:1:0.0107527;300:1:0
B4U62_RS01475, 870.3, , , , , 
B4U62_RS01480, 1056.7, , , , , 400:1:0
B4U62_RS01485, 749.0, , , , , 
B4U62_RS01490, 174.3, , , , , 
B4U62_RS01495, 733.7, , , , , 
B4U62_RS01500, 1156.7, , , , , 
B4U62_RS01505, 1120.7, , , , , 
B4U62_RS01510, 1092.7, , , , , 400:1:0.00636943
B4U62_RS01515, 617.3, 600:1:0, , , , 400:1:0
B4U62_RS01520, 1253.3, , , , , 
B4U62_RS01525, 817.0, , , , , 
B4U62_RS01530, 228.0, , , , , 
B4U62_RS01535, 734.0, , , , , 
B4U62_RS01540, 628.3, , , , , 
B4U62_RS01545, 730.0, , , , , 
B4U62_RS01550, 813.3, , , , , 
B4U62_RS01555, 547.3, , , , , 
B4U62_RS01560, 383.3, , , , , 
B4U62_RS01565, 437.0, , , , , 
B4U62_RS01570, 676.0, , , , , 
B4U62_RS01575, 222.7, , , , , 
B4U62_RS01580, 1386.7, , , , , 
B4U62_RS01585, 172.3, , , , , 
B4U62_RS01590, 618.0, , , , , 400:1:0.0148148
B4U62_RS01595, 588.0, , , , , 
B4U62_RS01600, 853.7, , , , , 
B4U62_RS01605, 1203.3, , , , , 
B4U62_RS01610, 537.0, , , , , 400:1:0.0268456;400:1:0.0211268
B4U62_RS01615, 961.7, , , , 400:1:0.0253165, 
B4U62_RS01620, 592.0, , , , , 
B4U62_RS01625, 415.7, , , , , 
B4U62_RS01630, 952.7, , , , 700:1:0.0104167, 400:1:0
B4U62_RS01635, 769.7, , , , , 
B4U62_RS01640, 651.7, , , , , 
B4U62_RS01645, 622.0, , , , , 
B4U62_RS01650, 899.7, , , , , 
B4U62_RS01655, 826.7, , , , , 
B4U62_RS01660, 879.3, , , , , 
B4U62_RS01665, 1190.3, , , , , 
B4U62_RS01675, 1175.7, , , 600:3:0.79661, , 
B4U62_RS01680, 497.7, , , , , 
B4U62_RS01685, 926.3, , , , , 
B4U62_RS01690, 704.7, , , , , 400:1:0
B4U62_RS01695, 1377.3, , , , , 
B4U62_RS01700, 863.7, , , , , 
B4U62_RS01705, 604.0, , , , 800:1:0.020202, 
B4U62_RS01710, 594.7, , , , , 
B4U62_RS01715, 888.0, , , , , 400:1:0.0060241;400:1:0
B4U62_RS01725, 551.7, , , , , 
B4U62_RS01730, 486.0, , , , , 
B4U62_RS01735, 652.0, , , , , 
B4U62_RS01740, 1353.3, , , , , 400:1:0.023622
B4U62_RS01745, 880.7, 800:1:0.0169492, , , , 
B4U62_RS01750, 1009.3, , , , , 
B4U62_RS01760, 1017.3, , , , , 
B4U62_RS01765, 344.7, , , , , 
B4U62_RS01770, 1077.0, , , , , 
B4U62_RS01775, 641.3, , , , , 
B4U62_RS01780, 693.3, , , , , 
B4U62_RS01785, 1010.3, , , , , 400:1:0.0184332;400:1:0.0201005
B4U62_RS01790, 1131.7, , , , , 
B4U62_RS01795, 553.7, , , , , 
B4U62_RS01800, 1644.3, , , , , 
B4U62_RS01805, 859.3, , , , , 
B4U62_RS01810, 1258.7, , , , , 
B4U62_RS01815, 1325.7, , , , , 
B4U62_RS01820, 366.0, , , , , 
B4U62_RS01825, 558.0, , , , , 
B4U62_RS01830, 672.0, , , , , 
B4U62_RS01835, 1175.0, , , , , 
B4U62_RS01840, 500.3, 600:3:0.410405, , , , 
B4U62_RS01845, 741.3, , , , , 
B4U62_RS01850, 567.3, , , , , 
B4U62_RS01855, 150.7, , , , , 
B4U62_RS01860, 434.7, , , , , 
B4U62_RS01865, 698.3, , , , , 
B4U62_RS01870, 767.3, , , , , 
B4U62_RS01875, 818.3, , , , , 
B4U62_RS01880, 705.3, , , , , 400:1:0.00588235
B4U62_RS01885, 827.3, , , , , 
B4U62_RS01890, 1216.3, , , , , 
B4U62_RS01895, 1190.0, , , , , 400:1:0.0158103;400:1:0.0321285
B4U62_RS01900, 1087.0, , , , , 
B4U62_RS01905, 686.0, , , , , 
B4U62_RS01910, 808.3, , , , , 
B4U62_RS01915, 781.7, , , , , 400:1:0.0327273
B4U62_RS01920, 843.0, , , , , 
B4U62_RS01925, 1202.3, , , , , 
B4U62_RS01930, 287.3, , , , , 
B4U62_RS01935, 2005.7, , , , , 
B4U62_RS01940, 1681.7, , , , , 400:1:0.0176211;400:1:0.0128755
B4U62_RS01945, 1909.7, , , , , 400:1:0
B4U62_RS01950, 988.7, , , , , 
B4U62_RS01955, 819.3, , , 800:3:0.231003, , 400:1:0.0199005
B4U62_RS01960, 460.0, , , , , 
B4U62_RS01965, 238.7, , , , , 
B4U62_RS01970, 966.7, , , , , 
B4U62_RS01975, 548.7, , , , , 
B4U62_RS01980, 783.7, , , , , 
B4U62_RS01985, 367.0, , , , , 
B4U62_RS01990, 346.3, , , , , 
B4U62_RS01995, 1239.0, , , , , 
B4U62_RS02000, 350.0, , , , , 
B4U62_RS02005, 457.3, , , , , 
B4U62_RS02010, 1485.3, , , , , 400:1:0;400:1:0
B4U62_RS02015, 450.7, , , , , 
B4U62_RS02020, 615.7, , , , , 
B4U62_RS02025, 392.3, , , , , 
B4U62_RS02030, 8424.3, 400:1:0, , , , 400:1:0.00680272
B4U62_RS02035, 8326.7, , , , , 400:1:0.0111524;400:1:0
B4U62_RS02040, 3012.7, 900:3:0.15625, , , , 400:1:0.00588235
B4U62_RS02045, 598.3, , , , , 
B4U62_RS02050, 1040.7, , , , , 
B4U62_RS02055, 508.0, , , , , 
B4U62_RS02060, 850.0, , , , , 
B4U62_RS02065, 1062.0, , , , , 
B4U62_RS02070, 619.7, , , , , 
B4U62_RS02075, 617.3, 500:3:0.0900901;500:3:0.158416;500:3:0.176471;500:3:0.152381;500:3:0.111111;500:3:0.141593;500:3:0.141593;500:3:0.101695, , , , 400:3:0.115741
B4U62_RS02080, 592.0, , , , , 
B4U62_RS02085, 565.0, , , , , 
B4U62_RS02090, 738.7, , , , , 
B4U62_RS02095, 785.3, , , , , 
B4U62_RS02100, 474.3, , , , , 
B4U62_RS02105, 1111.3, , , , , 
B4U62_RS02110, 199.0, , , , , 
B4U62_RS02115, 358.3, , , , , 
B4U62_RS02120, 733.7, , , , , 
B4U62_RS02125, 1288.7, , 300:1:0, , , 400:1:0.00425532
B4U62_RS02130, 1455.0, , , , , 
B4U62_RS02135, 281.0, , , , , 
B4U62_RS02140, 1284.3, , , , , 
B4U62_RS02145, 948.3, , , , , 400:1:0
B4U62_RS02150, 889.7, , , , , 
B4U62_RS02155, 555.3, , , , , 
B4U62_RS02160, 1265.3, , , , , 
B4U62_RS02165, 643.3, , , , , 
B4U62_RS02170, 1111.7, , , , , 
B4U62_RS02175, 1025.3, , , , , 
B4U62_RS02180, 80.3, , , , , 
B4U62_RS02185, 155.7, , , , , 
B4U62_RS02190, 191.3, , , , , 
B4U62_RS02195, 1177.7, , , , , 400:1:0.00653595
B4U62_RS02200, 825.7, , , , , 400:1:0.0156863
B4U62_RS02205, 724.0, , , , , 400:1:0.0135747;400:1:0.00543478
B4U62_RS02210, 591.3, , , , , 400:1:0.00892857
B4U62_RS02215, 769.3, 400:1:0.0752688, , , , 
B4U62_RS02220, 1156.0, , , , , 
B4U62_RS02225, 793.0, , , , , 
B4U62_RS02230, 613.0, , , , , 
B4U62_RS02235, 339.3, , , , , 
B4U62_RS02240, 282.3, , , , , 
B4U62_RS02245, 1220.3, , , , , 
B4U62_RS02250, 1016.0, , , , , 
B4U62_RS02255, 1135.7, , , , , 
B4U62_RS02260, 752.0, , , , , 
B4U62_RS02265, 632.7, , , , , 
B4U62_RS02270, 498.3, , , , , 
B4U62_RS02275, 1329.7, , , , , 
B4U62_RS02280, 543.7, , , , , 
B4U62_RS02285, 336.0, , , , , 
B4U62_RS02290, 1201.0, 600:3:0.0555556, 600:3:0.0930233, 800:3:0.128049, 800:1:0.00829876, 400:1:0.00775194
B4U62_RS02295, 365.7, , , , , 
B4U62_RS02300, 862.0, , , , , 
B4U62_RS02305, 916.0, , , , , 
B4U62_RS02310, 545.3, , , , , 
B4U62_RS02315, 569.7, , , , , 
B4U62_RS02320, 303.3, , , , , 
B4U62_RS02325, 228.0, , , , , 
B4U62_RS02330, 621.7, , , , , 
B4U62_RS02335, 695.3, , , , , 
B4U62_RS02340, 922.7, , , , , 
B4U62_RS02345, 610.7, , , , , 
B4U62_RS02350, 600.0, , , , , 
B4U62_RS02355, 771.3, , , , , 400:1:0.00990099;400:1:0.0107527
B4U62_RS02360, 592.3, , , , , 
B4U62_RS02365, 562.3, , , , , 
B4U62_RS02370, 291.0, , , , , 
B4U62_RS02375, 329.3, , , , , 
B4U62_RS02380, 1632.7, , , , , 400:1:0.0111732;400:1:0.00666667
B4U62_RS02385, 804.3, , , , , 
B4U62_RS02390, 1734.0, , , , , 400:1:0.0146628
B4U62_RS02395, 1275.0, , , , , 
B4U62_RS02400, 527.3, , , , , 400:1:0.00408163
B4U62_RS02405, 766.3, , , , , 
B4U62_RS02410, 412.7, , , , , 
B4U62_RS02415, 517.0, , , , , 
B4U62_RS02420, 412.7, , , , , 
B4U62_RS02425, 710.0, , , , , 
B4U62_RS02430, 334.3, , , , , 
B4U62_RS02435, 424.3, , , , , 400:1:0.0108108
B4U62_RS02440, 1758.3, , , , , 400:1:0
B4U62_RS02445, 960.3, , , , , 400:1:0;200:1:0.00396825
B4U62_RS02450, 644.0, , , , , 
B4U62_RS02455, 1342.7, , , , , 
B4U62_RS02460, 994.7, , , , , 
B4U62_RS02465, 1642.0, , , , , 
B4U62_RS02470, 1484.3, , , , , 
B4U62_RS02475, 403.3, , , , , 
B4U62_RS02480, 1408.0, 200:3:0.138728;400:3:0.141447, 200:3:0.166008;200:3:0.208889, , , 400:1:0.00835655
B4U62_RS02485, 190.0, 400:3:0.151376;400:3:0.142202;400:3:0.156682, 200:3:0.0564103, 100:3:0.100917, , 400:1:0.0564516
B4U62_RS02490, 317.3, , , , , 
B4U62_RS02495, 1123.7, 700:3:0.161017;900:3:0.521429;100:3:0.188525, 300:3:0.117871, , , 
B4U62_RS02500, 280.3, , , , , 
B4U62_RS02505, 460.3, , , , , 
B4U62_RS02510, 655.3, , , , , 
B4U62_RS02515, 406.7, 700:3:0.0629371;600:1:0.048951;600:3:0.0930233;800:1:0.064;400:3:0.0991736;400:3:0.0826446;400:3:0.191304;400:3:0.112069;400:3:0.0990099;500:3:0.0645161;400:1:0.0470588;700:3:0.141026;400:1:0.0769231;400:3:0.192308;400:3:0.197368;400:1:0.0810811;400:3:0.135135;400:3:0.0810811;400:3:0.171875;400:1:0.078125;400:3:0.157895;500:3:0.1;400:3:0.123596;400:3:0.0408163;400:3:0.0967742;400:3:0.0714286;400:3:0.111111;400:3:0.0791367;400:3:0.0652174;400:3:0.0909091;400:3:0.0986842, 400:3:0.0869565;500:1:0.103448;600:3:0.0847458;400:1:0.0142857;700:3:0.084507;400:1:0.0394737;400:3:0.0638298, 400:3:0.0512821, 800:1:0.0138889, 
B4U62_RS02520, 370.7, , , , , 
B4U62_RS02525, 283.7, , , , , 
B4U62_RS02530, 735.3, , , , , 
B4U62_RS02535, 906.0, , , , , 
B4U62_RS02540, 1249.3, , , , , 
B4U62_RS02545, 523.0, , , , , 
B4U62_RS02550, 1075.0, , , , , 
B4U62_RS02555, 919.7, , , , , 
B4U62_RS02560, 822.0, , , , , 
B4U62_RS02565, 588.7, , , , , 
B4U62_RS02570, 354.7, , , , , 
B4U62_RS02575, 984.3, , , , , 
B4U62_RS02580, 141.3, , , , , 
B4U62_RS02585, 191.3, , , , , 
B4U62_RS02590, 769.3, 400:1:0.0141844, , , , 
B4U62_RS02595, 360.7, , , , , 
B4U62_RS02600, 900.0, , , , , 
B4U62_RS02605, 1137.3, , , , , 
B4U62_RS02615, 1244.3, , , , , 
B4U62_RS02620, 468.3, , , , , 
B4U62_RS02625, 1142.7, , , , , 
B4U62_RS02630, 579.0, , , , , 
B4U62_RS02635, 287.0, , , , , 
B4U62_RS02640, 903.0, , , , , 
B4U62_RS02645, 1009.3, , , , , 
B4U62_RS02650, 320.3, , , , , 
B4U62_RS02655, 276.7, , , , , 
B4U62_RS02660, 738.3, , , , , 
B4U62_RS02665, 286.3, , , , , 
B4U62_RS02670, 311.7, , , , , 
B4U62_RS02675, 814.7, , , , , 
B4U62_RS02680, 317.0, , , , , 
B4U62_RS02685, 376.7, , , , , 
B4U62_RS02690, 591.0, , , , , 
B4U62_RS02695, 469.7, , , , , 
B4U62_RS02705, 252.3, , , , , 
B4U62_RS02710, 345.7, , , , , 
B4U62_RS02715, 335.7, , , , , 
B4U62_RS02720, 1770.0, , , , , 
B4U62_RS02725, 369.3, , , , , 
B4U62_RS02730, 176.0, , , , , 
B4U62_RS02735, 95.0, , , , , 
B4U62_RS02740, 101.0, , , , , 
B4U62_RS02745, 86.0, , , , , 
B4U62_RS02750, 102.0, , , , , 
B4U62_RS02755, 93.0, , , , , 
B4U62_RS02760, 167.0, 400:1:0.035503, 400:3:0.071066;400:3:0.106383, , , 
B4U62_RS02765, 910.3, , , , , 
B4U62_RS02770, 426.3, , , , , 
B4U62_RS02775, 404.7, , , , , 
B4U62_RS02780, 258.7, , , , , 
B4U62_RS02785, 201.3, , , , , 
B4U62_RS02790, 267.0, , , , , 
B4U62_RS02795, 336.0, , , , , 
B4U62_RS02800, 1186.7, , , , , 
B4U62_RS02805, 840.0, , , , , 
B4U62_RS02810, 318.3, , , , , 
B4U62_RS02815, 252.7, , , , , 
B4U62_RS02820, 261.3, , , , , 
B4U62_RS02825, 850.7, , , , , 
B4U62_RS02830, 208.7, , , , , 
B4U62_RS02835, 433.3, , , , , 
B4U62_RS02840, 1901.7, , , , , 
B4U62_RS02845, 279.0, , , , , 
B4U62_RS02850, 1919.3, , , , , 
B4U62_RS02855, 775.3, , , , , 
B4U62_RS02860, 418.0, , , , , 
B4U62_RS02865, 372.7, , , , , 
B4U62_RS02870, 757.3, , , , , 
B4U62_RS02875, 1059.0, , , , , 
B4U62_RS02880, 59.0, , , , , 
B4U62_RS02885, 854.3, , , , , 
B4U62_RS02890, 929.7, , , , , 
B4U62_RS02895, 431.7, , , , , 
B4U62_RS02900, 470.7, , , , , 
B4U62_RS02905, 441.7, , , , , 
B4U62_RS02910, 708.0, , , , , 
B4U62_RS02915, 1078.3, , , , , 
B4U62_RS02920, 240.3, , , , , 
B4U62_RS02925, 569.3, , , , , 
B4U62_RS02930, 248.3, , , , , 
