Position, Gene, Allele, Annotation, Test statistic, P-value, Deletion index, Fold reduction, Deletion P-value, Duplication index, Fold increase, Duplication pvalue, Passed?, AC:100, DP:100, AC:200, DP:200, AC:300, DP:300, AC:400, DP:400, AC:600, DP:600, AC:700, DP:700
12775, FFI16_RS00050, C->A, missense, 0.418930937314, 0.1867, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 51.0, 0.0, 23.0, 1.0, 68.0, 5.0, 29.0, 3.0, 34.0, 3.0, 62.0
12794, FFI16_RS00050, A->C, missense, 0.420190118176, 0.2528, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 60.0, 0.0, 29.0, 0.0, 77.0, 8.0, 44.0, 7.0, 43.0, 8.0, 77.0
12819, FFI16_RS00050, T->G, synonymous, -0.0184633431548, 0.3813, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 77.0, 0.0, 30.0, 1.0, 87.0, 9.0, 59.0, 3.0, 61.0, 7.0, 107.0
17582, FFI16_RS00080, T->G, missense, 0.457339368616, 0.2029, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 45.0, 0.0, 16.0, 1.0, 56.0, 2.0, 24.0, 5.0, 37.0, 13.0, 60.0
17591, FFI16_RS00080, C->G, missense, -0.405058440706, 0.3803, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 41.0, 0.0, 15.0, 0.0, 54.0, 2.0, 24.0, 3.0, 34.0, 9.0, 55.0
19951, FFI16_RS00090, A->C, missense, -3.61714123419, 0.4163, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 132.0, 0.0, 51.0, 0.0, 115.0, 0.0, 162.0, 3.0, 128.0, 4.0, 156.0
31807, FFI16_RS29995, C->A, missense, -0.918429691264, 0.3706, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 37.0, 0.0, 16.0, 3.0, 34.0, 4.0, 21.0, 5.0, 63.0, 3.0, 67.0
31818, FFI16_RS29995, A->C, synonymous, -3.14229249012, 0.4107, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 42.0, 0.0, 21.0, 1.0, 39.0, 4.0, 23.0, 3.0, 64.0, 3.0, 72.0
34628, FFI16_RS00165, A->T, missense, 0.915033306482, 0.1489, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 105.0, 0.0, 44.0, 0.0, 63.0, 2.0, 26.0, 4.0, 47.0, 9.0, 50.0
34635, FFI16_RS00165, C->G, missense, 0.566070162816, 0.236, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 95.0, 0.0, 44.0, 0.0, 62.0, 4.0, 27.0, 3.0, 46.0, 5.0, 53.0
34651, FFI16_RS30010, A->T, missense, 0.426770485935, 0.177, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 90.0, 0.0, 45.0, 0.0, 78.0, 7.0, 26.0, 4.0, 46.0, 3.0, 54.0
34654, FFI16_RS30010, T->G, synonymous, 0.964559917982, 0.0972, 7, 1, 1, 1, 1, 1, PASS, 0.0, 83.0, 0.0, 45.0, 1.0, 76.0, 6.0, 25.0, 7.0, 43.0, 6.0, 49.0
34658, FFI16_RS30010, G->C, missense, 0.920196373125, 0.1017, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 83.0, 1.0, 46.0, 0.0, 79.0, 5.0, 25.0, 10.0, 44.0, 5.0, 54.0
34662, FFI16_RS30010, A->C, missense, 0.694439881182, 0.1772, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 84.0, 0.0, 45.0, 0.0, 79.0, 4.0, 24.0, 4.0, 45.0, 8.0, 50.0
34663, FFI16_RS30010, C->G, missense, 0.585756161857, 0.1981, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 84.0, 0.0, 46.0, 0.0, 79.0, 4.0, 24.0, 3.0, 45.0, 4.0, 51.0
34672, FFI16_RS30010, A->T, synonymous, 0.263771166822, 0.2093, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 92.0, 0.0, 47.0, 1.0, 82.0, 5.0, 24.0, 3.0, 49.0, 4.0, 54.0
35357, FFI16_RS30020, A->C, synonymous, -0.348848192905, 0.3652, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 93.0, 0.0, 42.0, 3.0, 87.0, 4.0, 25.0, 2.0, 79.0, 18.0, 77.0
41256, FFI16_RS30055, T->A, missense, 0.369704064526, 0.3144, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 38.0, 0.0, 21.0, 0.0, 36.0, 3.0, 15.0, 5.0, 46.0, 8.0, 50.0
41265, FFI16_RS30055, G->T, noncoding, 0.446590253857, 0.2901, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 39.0, 0.0, 19.0, 0.0, 37.0, 2.0, 16.0, 7.0, 47.0, 11.0, 52.0
41272, FFI16_RS30055, T->G, noncoding, 0.326460461962, 0.3521, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 42.0, 0.0, 20.0, 0.0, 39.0, 3.0, 20.0, 14.0, 49.0, 14.0, 62.0
41291, FFI16_RS30055, C->A, noncoding, 0.404351349388, 0.2776, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 52.0, 0.0, 22.0, 1.0, 44.0, 2.0, 21.0, 12.0, 50.0, 11.0, 58.0
50875, FFI16_RS00245, C->A, missense, 0.130771303364, 0.382, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 114.0, 0.0, 43.0, 0.0, 107.0, 15.0, 74.0, 7.0, 90.0, 14.0, 139.0
56227, FFI16_RS00275, G->C, missense, 0.167919062236, 0.3042, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 69.0, 0.0, 21.0, 0.0, 72.0, 2.0, 43.0, 6.0, 39.0, 3.0, 39.0
65672, FFI16_RS30150, T->G, missense, -4.61979161144, 0.3885, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 124.0, 1.0, 31.0, 0.0, 116.0, 0.0, 84.0, 3.0, 84.0, 2.0, 126.0
74734, FFI16_RS30225, G->A, missense, 0.77492273203, 0.0889, 7, 1, 1, 1, 1, 1, PASS, 0.0, 187.0, 0.0, 61.0, 11.0, 142.0, 44.0, 117.0, 57.0, 89.0, 78.0, 115.0
77116, FFI16_RS30250, A->C, synonymous, 0.254132004472, 0.264, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 54.0, 0.0, 13.0, 0.0, 38.0, 2.0, 9.0, 3.0, 35.0, 4.0, 28.0
81678, FFI16_RS30300, T->G, missense, -4.63669761499, 0.3968, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 177.0, 0.0, 54.0, 0.0, 145.0, 0.0, 103.0, 2.0, 129.0, 3.0, 144.0
82433, FFI16_RS00400, C->A, missense, -0.186668368125, 0.3816, 7, 1, 1, 1, 1, 1, FAIL, 7.0, 106.0, 0.0, 51.0, 5.0, 110.0, 23.0, 78.0, 8.0, 107.0, 18.0, 130.0
82694, FFI16_RS00400, G->T, synonymous, -3.00054094622, 0.4101, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 169.0, 0.0, 50.0, 0.0, 137.0, 0.0, 105.0, 2.0, 101.0, 2.0, 86.0
85998, FFI16_RS00420, A->C, synonymous, 1.03983936658, 0.0518, 7, 1, 1, 1, 1, 1, PASS, 2.0, 174.0, 0.0, 55.0, 1.0, 200.0, 2.0, 140.0, 11.0, 123.0, 5.0, 169.0
86023, FFI16_RS00420, G->T, missense, -5.43013080594, 0.3978, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 181.0, 0.0, 58.0, 0.0, 183.0, 0.0, 140.0, 2.0, 108.0, 2.0, 155.0
88344, FFI16_RS30325, A->C, synonymous, -2.62107709437, 0.4107, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 190.0, 0.0, 65.0, 0.0, 134.0, 0.0, 95.0, 2.0, 94.0, 2.0, 101.0
90021, FFI16_RS30325, A->C, synonymous, -4.70750442466, 0.4178, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 144.0, 0.0, 55.0, 0.0, 98.0, 0.0, 111.0, 2.0, 93.0, 2.0, 118.0
90339, FFI16_RS30325, A->C, synonymous, -3.52117037313, 0.4094, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 129.0, 0.0, 42.0, 0.0, 123.0, 0.0, 116.0, 2.0, 88.0, 3.0, 81.0
93135, FFI16_RS30330, T->G, missense, -1.70001069883, 0.3734, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 143.0, 0.0, 53.0, 1.0, 116.0, 2.0, 110.0, 1.0, 71.0, 7.0, 102.0
97341, FFI16_RS00465, T->G, synonymous, -7.82466355236, 0.3936, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 183.0, 0.0, 42.0, 0.0, 169.0, 0.0, 182.0, 4.0, 141.0, 2.0, 267.0
104001, FFI16_RS00495, T->G, missense, -1.22886427447, 0.397, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 122.0, 0.0, 50.0, 3.0, 133.0, 2.0, 94.0, 4.0, 99.0, 4.0, 132.0
114082, FFI16_RS00540, T->G, missense, -0.618220075499, 0.3696, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 85.0, 0.0, 38.0, 6.0, 82.0, 0.0, 58.0, 7.0, 47.0, 3.0, 55.0
114085, FFI16_RS00540, A->C, missense, -0.103437733996, 0.4047, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 87.0, 0.0, 38.0, 2.0, 82.0, 1.0, 59.0, 9.0, 47.0, 3.0, 55.0
120529, intergenic, C->G, noncoding, 0.158239075819, 0.1996, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 77.0, 0.0, 45.0, 2.0, 108.0, 4.0, 31.0, 3.0, 70.0, 2.0, 78.0
120530, intergenic, T->G, noncoding, 0.888792717292, 0.1132, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 78.0, 0.0, 45.0, 0.0, 108.0, 3.0, 30.0, 10.0, 70.0, 4.0, 77.0
120543, intergenic, C->A, noncoding, 0.402361617831, 0.2235, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 79.0, 0.0, 43.0, 2.0, 107.0, 5.0, 29.0, 5.0, 69.0, 6.0, 76.0
120547, intergenic, C->G, noncoding, 0.539638829936, 0.1447, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 75.0, 0.0, 42.0, 1.0, 104.0, 4.0, 26.0, 4.0, 67.0, 3.0, 76.0
120552, intergenic, G->T, noncoding, 0.680657103001, 0.1295, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 70.0, 0.0, 42.0, 1.0, 100.0, 3.0, 22.0, 5.0, 65.0, 4.0, 68.0
120556, intergenic, C->G, noncoding, 0.32401340586, 0.2782, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 66.0, 0.0, 38.0, 1.0, 97.0, 4.0, 24.0, 4.0, 60.0, 7.0, 63.0
120568, intergenic, G->T, noncoding, 0.719371280084, 0.1154, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 77.0, 0.0, 38.0, 2.0, 103.0, 4.0, 28.0, 2.0, 60.0, 4.0, 59.0
120581, intergenic, C->A, noncoding, 0.823200570956, 0.118, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 81.0, 0.0, 31.0, 2.0, 101.0, 7.0, 30.0, 13.0, 54.0, 19.0, 54.0
120607, intergenic, G->T, noncoding, 0.507694922449, 0.1984, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 100.0, 0.0, 38.0, 2.0, 105.0, 5.0, 45.0, 6.0, 69.0, 11.0, 62.0
130542, FFI16_RS00605, A->C, missense, -2.76961065836, 0.4228, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 98.0, 0.0, 37.0, 0.0, 95.0, 1.0, 95.0, 1.0, 88.0, 3.0, 103.0
132319, FFI16_RS00610, G->C, missense, 0.774302882267, 0.1295, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 155.0, 0.0, 48.0, 1.0, 98.0, 4.0, 30.0, 2.0, 51.0, 3.0, 69.0
132331, FFI16_RS00610, T->G, missense, 0.646803895367, 0.1433, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 146.0, 0.0, 48.0, 1.0, 100.0, 6.0, 32.0, 2.0, 49.0, 6.0, 72.0
132335, FFI16_RS00610, G->C, synonymous, 0.703230689685, 0.1546, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 132.0, 0.0, 45.0, 0.0, 99.0, 4.0, 29.0, 3.0, 46.0, 2.0, 66.0
132339, FFI16_RS00610, C->A, synonymous, 0.0284741767069, 0.3848, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 128.0, 0.0, 44.0, 0.0, 97.0, 5.0, 29.0, 2.0, 42.0, 3.0, 63.0
132342, FFI16_RS00610, G->C, missense, 0.618206208798, 0.1406, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 132.0, 0.0, 42.0, 3.0, 95.0, 5.0, 29.0, 3.0, 44.0, 10.0, 63.0
132342, FFI16_RS00610, G->T, nonsense, 1.25099922057, 0.1043, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 132.0, 0.0, 42.0, 0.0, 95.0, 5.0, 29.0, 7.0, 44.0, 4.0, 63.0
132345, FFI16_RS00610, A->C, synonymous, 0.867221685447, 0.114, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 131.0, 0.0, 42.0, 3.0, 94.0, 9.0, 28.0, 11.0, 45.0, 11.0, 65.0
137332, FFI16_RS00630, C->A, noncoding, 0.0088527366033, 0.3819, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 90.0, 0.0, 32.0, 2.0, 105.0, 10.0, 49.0, 3.0, 67.0, 7.0, 88.0
137340, FFI16_RS00630, G->C, noncoding, -0.73771976665, 0.3854, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 83.0, 0.0, 30.0, 2.0, 110.0, 9.0, 52.0, 1.0, 68.0, 8.0, 85.0
137344, FFI16_RS00630, C->A, noncoding, -0.466128850643, 0.3738, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 84.0, 0.0, 30.0, 2.0, 110.0, 10.0, 52.0, 2.0, 68.0, 10.0, 84.0
137367, FFI16_RS00630, A->C, noncoding, -0.395702342902, 0.3882, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 77.0, 0.0, 26.0, 4.0, 99.0, 14.0, 48.0, 4.0, 65.0, 7.0, 77.0
154146, FFI16_RS00705, T->G, missense, 0.362576046518, 0.2317, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 98.0, 0.0, 28.0, 2.0, 96.0, 14.0, 69.0, 8.0, 76.0, 21.0, 93.0
154153, FFI16_RS00705, G->T, synonymous, 0.206168992335, 0.3199, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 91.0, 0.0, 30.0, 0.0, 94.0, 11.0, 66.0, 4.0, 78.0, 8.0, 91.0
154197, FFI16_RS00705, G->T, missense, -0.87260905997, 0.3697, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 105.0, 0.0, 33.0, 0.0, 107.0, 10.0, 61.0, 1.0, 69.0, 7.0, 91.0
163159, FFI16_RS00745, G->T, missense, 1.35805990447, 0.0905, 7, 1, 1, 1, 1, 1, PASS, 0.0, 108.0, 0.0, 50.0, 0.0, 75.0, 4.0, 64.0, 6.0, 37.0, 3.0, 38.0
163160, FFI16_RS00745, A->C, missense, 0.0406750347116, 0.379, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 106.0, 0.0, 49.0, 0.0, 75.0, 12.0, 65.0, 2.0, 37.0, 3.0, 38.0
163175, FFI16_RS00745, T->G, synonymous, 0.632815149769, 0.0927, 7, 1, 1, 1, 1, 1, PASS, 3.0, 104.0, 0.0, 46.0, 4.0, 69.0, 12.0, 67.0, 12.0, 37.0, 6.0, 38.0
163238, FFI16_RS00745, T->G, synonymous, 1.03736569817, 0.0795, 7, 1, 1, 1, 1, 1, PASS, 0.0, 92.0, 1.0, 33.0, 2.0, 56.0, 5.0, 46.0, 4.0, 19.0, 3.0, 19.0
163241, FFI16_RS00745, T->G, synonymous, 0.515498365974, 0.1658, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 92.0, 0.0, 34.0, 2.0, 57.0, 1.0, 46.0, 4.0, 19.0, 2.0, 19.0
164353, intergenic, T->G, noncoding, 0.468941608358, 0.1574, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 160.0, 0.0, 69.0, 5.0, 144.0, 13.0, 43.0, 11.0, 72.0, 12.0, 74.0
164357, intergenic, A->T, noncoding, 0.993384394899, 0.1013, 7, 1, 1, 1, 1, 1, FAIL, 0.0, 157.0, 0.0, 68.0, 2.0, 144.0, 6.0, 45.0, 3.0, 70.0, 6.0, 73.0
164357, intergenic, A->G, noncoding, 0.560535044971, 0.154, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 157.0, 0.0, 68.0, 2.0, 144.0, 7.0, 45.0, 3.0, 70.0, 9.0, 73.0
164360, intergenic, C->A, noncoding, 1.41016805003, 0.0654, 7, 1, 1, 1, 1, 1, PASS, 0.0, 154.0, 0.0, 67.0, 1.0, 143.0, 5.0, 45.0, 13.0, 65.0, 8.0, 72.0
164360, intergenic, C->G, noncoding, 0.472674765939, 0.1419, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 154.0, 0.0, 67.0, 4.0, 143.0, 9.0, 45.0, 6.0, 65.0, 4.0, 72.0
164363, intergenic, A->T, noncoding, 0.503880493252, 0.1472, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 160.0, 0.0, 67.0, 3.0, 144.0, 7.0, 45.0, 7.0, 65.0, 5.0, 72.0
164375, intergenic, G->A, noncoding, 0.278265150256, 0.1959, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 164.0, 0.0, 68.0, 1.0, 153.0, 10.0, 48.0, 2.0, 65.0, 5.0, 71.0
164378, intergenic, T->A, noncoding, 0.433322211978, 0.159, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 161.0, 0.0, 65.0, 2.0, 147.0, 9.0, 47.0, 2.0, 67.0, 6.0, 75.0
164378, intergenic, T->G, noncoding, 1.38502666593, 0.0844, 7, 1, 1, 1, 1, 1, PASS, 0.0, 161.0, 0.0, 65.0, 0.0, 147.0, 3.0, 47.0, 10.0, 67.0, 4.0, 75.0
164382, intergenic, T->G, noncoding, 0.805597271835, 0.1329, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 159.0, 0.0, 63.0, 1.0, 150.0, 9.0, 46.0, 9.0, 67.0, 8.0, 74.0
164384, intergenic, C->G, noncoding, 0.886043104775, 0.1148, 7, 1, 1, 1, 1, 1, FAIL, 1.0, 159.0, 0.0, 64.0, 3.0, 155.0, 8.0, 46.0, 9.0, 67.0, 9.0, 74.0
164389, intergenic, C->A, noncoding, 1.37963665402, 0.0881, 7, 1, 1, 1, 1, 1, PASS, 1.0, 165.0, 0.0, 65.0, 0.0, 170.0, 6.0, 49.0, 11.0, 67.0, 11.0, 76.0
164394, intergenic, G->T, noncoding, 0.0486619201032, 0.3681, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 164.0, 0.0, 61.0, 1.0, 170.0, 9.0, 48.0, 4.0, 67.0, 10.0, 75.0
164398, intergenic, G->T, noncoding, 0.505749701545, 0.1816, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 154.0, 0.0, 56.0, 2.0, 165.0, 10.0, 47.0, 7.0, 66.0, 7.0, 70.0
164400, intergenic, C->A, noncoding, 0.322303703717, 0.2313, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 155.0, 0.0, 57.0, 0.0, 162.0, 9.0, 47.0, 6.0, 66.0, 3.0, 70.0
164416, intergenic, C->A, noncoding, 1.12404595484, 0.1011, 7, 1, 1, 1, 1, 1, FAIL, 2.0, 177.0, 0.0, 73.0, 2.0, 178.0, 13.0, 52.0, 17.0, 71.0, 13.0, 80.0
169630, intergenic, C->A, noncoding, -0.960853960066, 0.3991, 7, 1, 1, 1, 1, 1, FAIL, 6.0, 110.0, 0.0, 42.0, 4.0, 101.0, 11.0, 36.0, 2.0, 70.0, 7.0, 129.0
169633, intergenic, G->C, noncoding, -0.570346711102, 0.3717, 7, 1, 1, 1, 1, 1, FAIL, 11.0, 108.0, 0.0, 41.0, 6.0, 99.0, 16.0, 37.0, 3.0, 70.0, 16.0, 128.0
169635, intergenic, A->C, noncoding, -0.0727671832438, 0.3872, 7, 1, 1, 1, 1, 1, FAIL, 4.0, 108.0, 0.0, 42.0, 5.0, 100.0, 9.0, 35.0, 4.0, 65.0, 15.0, 123.0
169637, intergenic, T->A, noncoding, -0.44486300345, 0.3874, 7, 1, 1, 1, 1, 1, FAIL, 8.0, 105.0, 0.0, 42.0, 3.0, 99.0, 9.0, 35.0, 3.0, 63.0, 6.0, 118.0
169641, intergenic, C->G, noncoding, -0.721585565042, 0.3831, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 106.0, 0.0, 42.0, 3.0, 98.0, 8.0, 34.0, 1.0, 65.0, 8.0, 119.0
169645, intergenic, T->G, noncoding, 0.0802973318217, 0.3817, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 110.0, 0.0, 43.0, 2.0, 97.0, 8.0, 33.0, 5.0, 65.0, 11.0, 125.0
169649, intergenic, G->T, noncoding, -0.758388725101, 0.3763, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 110.0, 0.0, 42.0, 0.0, 97.0, 5.0, 32.0, 1.0, 68.0, 12.0, 124.0
169651, intergenic, C->A, noncoding, -0.0339810566201, 0.3772, 7, 1, 1, 1, 1, 1, FAIL, 3.0, 108.0, 0.0, 42.0, 1.0, 96.0, 6.0, 32.0, 4.0, 67.0, 6.0, 123.0
169656, intergenic, C->G, noncoding, -1.1520641628, 0.3985, 7, 1, 1, 1, 1, 1, FAIL, 5.0, 110.0, 0.0, 45.0, 1.0, 96.0, 6.0, 31.0, 3.0, 65.0, 2.0, 124.0
