Identifier, Size, 2C1, 2C2, 2C3, 2C4, 2C5
CCNA_00099, 1280.0, 700:1:0.0493827:0.25;700:3:0.0569106:0.148148, 300:1:0.0689655:0.246575, , 700:1:0.0387597:0.15;300:1:0.0291262:0.173913, 700:3:0.136364:0.136364;400:1:0:0.2
CCNA_00100, 593.7, , , , , 
CCNA_00101, 1036.0, 400:1:0.0666667:0.154762;300:1:0.103448:0.227273, 300:1:0.0625:0.25;500:1:0.0434783:0.131579, , , 400:1:0.0625:0.2
CCNA_00102, 180.0, , , , , 
CCNA_00103, 1337.0, , , , , 
CCNA_00104, 614.7, , , , , 400:1:0.0192308:0.125
CCNA_00105, 516.0, , , , , 
CCNA_00106, 967.7, , 200:3:0.0821918:0.202128, , 500:1:0.0481928:0.137681, 
CCNA_00107, 155.3, , , , , 
CCNA_00108, 518.3, , , , , 
CCNA_00109, 772.7, , , , , 
CCNA_00110, 457.7, , , , , 
CCNA_00111, 585.0, , , , , 
CCNA_00112, 293.3, , , , , 
CCNA_00113, 500.7, , , , , 
CCNA_00114, 232.0, , , , , 
CCNA_00115, 2581.7, 500:3:0.153061:0.153061, 500:3:0.0736842:0.153846;500:3:0.0537634:0.206897;500:1:0.0645161:0.178571, , 500:3:0.139535:0.161017;500:1:0.0512821:0.15493, 500:3:0.142857:0.142857;400:1:0.0483871:0.136364;400:1:0.0232558:0.12963;400:1:0:0.1875
CCNA_00116, 1103.0, , , , , 
CCNA_00117, 1412.7, , , , , 
CCNA_00118, 1697.7, , , , , 
CCNA_00119, 341.3, , , , , 
CCNA_00120, 379.3, , , , , 
CCNA_00121, 348.7, , , , , 400:1:0:0.130435
CCNA_00122, 375.7, , , , , 
CCNA_00123, 590.3, , , , , 
CCNA_00124, 540.3, , , , , 
CCNA_00125, 495.0, , , , , 
CCNA_00126, 402.0, , , , , 
CCNA_00127, 253.3, , 600:3:0.123077:0.123077;600:3:0.169231:0.169231;600:3:0.153846:0.153846;600:3:0.148148:0.148148;600:3:0.192982:0.192982, , 500:1:0.0972222:0.145161, 400:1:0:0.125;400:1:0.0232558:0.166667;400:1:0.0487805:0.153846;500:1:0.0769231:0.166667;400:1:0.025641:0.184783
CCNA_00128, 1015.3, , , , , 
CCNA_00129, 268.7, , , , , 
CCNA_00130, 1582.7, , , , , 
CCNA_00131, 406.7, , , , , 
CCNA_00132, 687.0, , , , , 
CCNA_00133, 1012.7, , , , , 
CCNA_00134, 398.3, , , , , 
CCNA_00135, 622.0, , , 700:3:0.153846:0.153846, , 
CCNA_00136, 1258.0, , , , , 
CCNA_00137, 1214.3, 400:3:0.109091:0.157895;400:3:0.209677:0.209677, , , , 
CCNA_00138, 1724.7, , , , , 
CCNA_00139, 1270.0, , , , , 
CCNA_00140, 773.0, , , , , 400:1:0.0740741:0.125;400:1:0.0909091:0.171429
CCNA_00141, 593.7, , 400:3:0.0847458:0.230769, , , 
CCNA_00142, 273.0, , , , , 
CCNA_00143, 662.7, , , , , 
CCNA_00144, 839.3, , , , , 
CCNA_00145, 461.3, , , , , 400:1:0:0.181818
CCNA_00146, 436.7, , , , , 
CCNA_00147, 185.7, , , , , 
CCNA_00148, 464.3, , , , , 
CCNA_00149, 185.7, , , , , 
CCNA_00150, 811.3, 300:1:0.0165289:0.136364, 300:3:0.0769231:0.15625;300:3:0.181818:0.181818;500:3:0.0714286:0.161616, 400:1:0:0.137931, , 
CCNA_00151, 633.0, , , , , 
CCNA_00152, 823.0, , , , , 
CCNA_00153, 488.7, , , , , 700:3:0.137931:0.137931
CCNA_00154, 245.0, 100:3:0.211382:0.329114;500:1:0.0625:0.171429, 300:1:0:0.125;300:1:0:0.180328;300:1:0.0769231:0.164384, , 300:3:0.226087:0.318182, 200:3:0.285714:0.309091
CCNA_00155, 907.7, , 100:1:0.0909091:0.198473, , , 
CCNA_00156, 317.0, , , , , 
CCNA_00157, 354.3, , , , , 
CCNA_00158, 886.7, , , , , 
CCNA_00159, 1852.7, , 500:3:0.0847458:0.131148, , , 300:3:0.0547945:0.196078;300:1:0.0769231:0.166667
CCNA_00160, 948.0, , , , , 
CCNA_00161, 546.7, , 400:1:0.0246914:0.130435, , , 700:3:0.125:0.125
CCNA_00162, 1033.0, , , , , 
CCNA_00163, 1691.7, , , , , 
CCNA_00164, 1389.7, , , , , 
CCNA_00165, 566.7, , , , , 
CCNA_00166, 718.0, , , , , 
CCNA_00167, 706.0, , , , , 
CCNA_00168, 527.7, , , , , 
CCNA_00169, 1251.0, , , , , 
CCNA_00170, 2095.7, , , , , 400:1:0.0196078:0.148936
CCNA_00171, 412.0, , , , , 
CCNA_00172, 1500.3, , , , , 
CCNA_00173, 1072.3, , , , , 
CCNA_00174, 863.7, , , , , 
CCNA_00175, 349.7, , , , , 
CCNA_00176, 342.0, , , , , 
CCNA_00177, 253.7, , , , , 
CCNA_00178, 428.3, , , , , 
CCNA_00179, 721.0, , , , , 
CCNA_00180, 793.3, , , , , 
CCNA_00181, 341.7, 400:1:0.091954:0.180851, , , , 
CCNA_00182, 509.3, , , , , 
CCNA_00183, 611.0, 700:1:0.0182927:0.2;500:3:0.035503:0.153226, , 400:3:0.168317:0.168317;400:3:0.184211:0.184211;700:3:0.155844:0.155844;400:3:0.175:0.175;400:3:0.178947:0.178947;400:3:0.178947:0.178947, , 700:3:0.142857:0.142857;700:3:0.130435:0.130435;700:3:0.136364:0.136364;700:3:0.181818:0.181818
CCNA_00184, 162.3, 400:1:0.0484848:0.151899, , , , 500:1:0.0833333:0.217822;400:1:0.0740741:0.16
CCNA_00185, 1985.7, 800:3:0.157895:0.157895, , , , 
CCNA_00186, 946.7, , , , , 
CCNA_00187, 881.3, , , , , 400:1:0:0.145455
CCNA_00188, 816.3, , , , , 
CCNA_00189, 241.7, , , , , 
CCNA_00190, 328.3, , , , , 
CCNA_00191, 454.0, , , , , 
CCNA_00192, 1318.3, , , , , 
CCNA_00193, 779.7, , , , , 
CCNA_00194, 327.3, 100:1:0.0287356:0.204082;300:1:0.0304878:0.177215, 100:1:0.119266:0.263158, , 600:1:0.0182927:0.137255, 200:1:0:0.164062
CCNA_00195, 476.0, , , , , 
CCNA_00196, 1178.7, , , , , 
CCNA_00197, 300.0, , , , , 
CCNA_00198, 654.3, , , , , 
CCNA_00199, 1436.0, , , , , 
CCNA_00200, 807.3, 500:1:0.0350877:0.144928, 500:1:0:0.125, , , 
CCNA_00201, 564.3, , , , , 
CCNA_00202, 879.3, , , , , 
CCNA_00203, 800.3, , , , , 
CCNA_00204, 1375.3, , , , , 400:3:0.132075:0.132075
CCNA_00205, 440.0, , , , , 
CCNA_00206, 423.3, , , , , 
CCNA_00207, 485.3, , , , , 
CCNA_00208, 796.0, , , , , 
CCNA_00209, 1255.0, , , , , 400:1:0.0408163:0.170213;400:1:0.0487805:0.117647
CCNA_00210, 1921.3, , , , , 
CCNA_00211, 858.3, , , , , 
CCNA_00212, 669.0, , , , , 
CCNA_00213, 407.3, , , , , 
CCNA_00214, 1611.0, , 500:1:0.0888889:0.14, 400:3:0.0849673:0.150943, , 
CCNA_00215, 701.0, , , , , 
CCNA_00216, 395.7, , , , , 
CCNA_00217, 1578.0, , , , 300:3:0.0814815:0.247312, 700:3:0.230769:0.230769;700:3:0.153846:0.153846;600:3:0.153846:0.153846;400:1:0.05:0.272727
CCNA_00218, 666.3, , , , , 
CCNA_00220, 506.3, , 100:1:0.0428571:0.216216, , , 
CCNA_00221, 470.3, , , , , 
CCNA_00222, 1209.7, , , , , 
CCNA_00223, 581.3, 100:3:0.170404:0.37, , , , 100:3:0.134615:0.34434
CCNA_00224, 1647.3, , , , , 
CCNA_00225, 125.7, , , , , 
CCNA_00226, 304.7, , , , , 
CCNA_00227, 418.0, , , , , 
CCNA_00228, 558.0, , , , , 
CCNA_00229, 722.7, , , , , 
CCNA_00230, 958.7, 100:3:0.164286:0.402778, , , 600:1:0.0285714:0.117647, 700:3:0.166667:0.166667;700:3:0.210526:0.210526;400:3:0.25:0.25;700:3:0.285714:0.285714;400:1:0:0.136364
CCNA_00231, 365.0, , , , , 
CCNA_00232, 400.7, 700:1:0.025641:0.135593, 500:3:0.0625:0.176471, , 800:3:0.139535:0.139535, 400:3:0.0597015:0.142857;400:3:0.0645161:0.142857;400:1:0.031746:0.15;400:3:0.132075:0.142857;500:1:0.0566038:0.142857;400:3:0.0727273:0.205882;400:3:0.0566038:0.166667;500:3:0.0769231:0.241379
CCNA_00233, 812.7, , , , , 
CCNA_00234, 847.7, , , , , 
CCNA_00235, 265.7, , , , , 
CCNA_00236, 1364.7, 500:1:0.015748:0.169014;500:3:0.0650407:0.183099;600:1:0.0344828:0.147541;500:1:0.0517241:0.176471;500:1:0.0660377:0.147541;700:3:0.0792079:0.148148;600:1:0.029703:0.150943;500:3:0.0693069:0.263158;500:3:0.08:0.254902;500:1:0.03:0.176471;600:1:0.0505051:0.270833;500:3:0.06:0.319149;500:3:0.11:0.384615;500:1:0.0510204:0.133333;500:3:0.105263:0.205128, 500:3:0.105263:0.141176;500:1:0.105263:0.173913;300:3:0.133333:0.242857;300:3:0.0833333:0.153846;600:3:0.25:0.25;400:3:0.111111:0.133333;300:3:0.111111:0.318182;500:3:0.222222:0.222222;600:3:0.222222:0.222222;300:3:0.125:0.185185;300:3:0.166667:0.25;500:1:0.0384615:0.128205, 700:3:0.135593:0.135593;400:3:0.15:0.209302;400:3:0.3:0.3;400:3:0.166667:0.216216;100:3:0.1875:0.30303;600:3:0.1875:0.1875;400:1:0:0.192308, 500:1:0.0540541:0.139535;600:1:0.0879121:0.147059;500:1:0.0898876:0.3125;500:1:0.03:0.16129;600:1:0.06:0.166667;500:1:0.0384615:0.2;500:1:0.0980392:0.169231;600:1:0.0196078:0.12;600:1:0.02:0.208333;600:1:0.0612245:0.142857;300:1:0.0204082:0.208333;700:3:0.09375:0.4, 400:1:0.0666667:0.173913;400:1:0.0357143:0.190476;400:3:0.0833333:0.25;400:1:0.111111:0.25;400:3:0.1875:0.1875;400:3:0.214286:0.333333;400:1:0.0714286:0.269841;400:1:0.0714286:0.363636;500:3:0.285714:0.285714;400:1:0:0.222222;500:1:0.025641:0.148936
CCNA_00237, 639.7, , , , , 
CCNA_00238, 1155.3, , , , , 
CCNA_00239, 312.3, , , , , 
CCNA_00240, 384.0, , , , , 
CCNA_00241, 206.0, , , , , 
CCNA_00243, 394.7, , , , , 400:1:0.0238095:0.129032
CCNA_00244, 531.3, , , , , 
CCNA_00245, 249.0, , , , , 
CCNA_00246, 635.3, , , , , 
CCNA_00247, 481.3, , 700:3:0.141026:0.141026, 200:1:0.0101523:0.130435, , 
CCNA_00248, 1082.3, 500:1:0.0333333:0.133333;500:1:0:0.133333, 700:3:0.16129:0.16129, , , 400:1:0:0.176471
CCNA_00249, 446.7, , , , , 
CCNA_00250, 1041.3, , , 200:1:0.0212766:0.288889, , 
CCNA_00251, 572.7, , , , , 
CCNA_00252, 1572.0, , 500:3:0.142857:0.142857;500:3:0.0923077:0.153846, , 500:3:0.0508475:0.144444;500:1:0.0350877:0.134831, 400:3:0.138889:0.138889;400:3:0.142857:0.142857;400:3:0.181818:0.181818;400:3:0.151515:0.151515;400:3:0.171429:0.171429;400:3:0.205882:0.205882;400:3:0.147059:0.147059;400:3:0.212121:0.212121
CCNA_00253, 890.3, , , , , 
CCNA_00254, 760.7, , , , , 
CCNA_00255, 853.0, 100:1:0.0280374:0.166667, , , , 
CCNA_00256, 725.3, , , , , 
CCNA_00257, 1168.7, , , 200:1:0.0170455:0.115385, , 
CCNA_00259, 635.0, , , , , 
CCNA_00260, 617.0, , , , , 
CCNA_00261, 855.7, , , , , 
CCNA_00262, 738.7, 500:1:0.0746269:0.180851;300:3:0.151515:0.258065;300:3:0.285714:0.285714;300:3:0.192308:0.282609;100:3:0.196429:0.386364;500:3:0.232143:0.232143;400:1:0.0724638:0.208791;300:3:0.121622:0.174757, 300:3:0.25:0.25;300:3:0.194444:0.245714;100:3:0.342857:0.342857;100:3:0.228571:0.325;500:3:0.117647:0.210526;500:1:0.0833333:0.16092, , 600:3:0.2:0.2;300:3:0.235294:0.263889;100:3:0.289855:0.379747;800:3:0.153846:0.153846, 400:1:0:0.142857;300:3:0.107143:0.255814;400:3:0.12:0.222222;400:1:0:0.121951
CCNA_00263, 415.3, , , , , 
CCNA_00264, 1025.7, , , , , 
CCNA_00265, 1194.3, , 500:1:0.0285714:0.172414;500:1:0.0571429:0.117647;500:1:0.0428571:0.147059, , , 
CCNA_00266, 1011.7, , , , , 
CCNA_00267, 790.7, , , , , 
CCNA_00268, 1439.7, , , , , 
CCNA_00269, 353.3, 300:3:0.173077:0.363636;400:3:0.15:0.26087, 300:3:0.153846:0.285714;200:3:0.220588:0.5;500:3:0.150685:0.218045, , 500:3:0.144737:0.289855;300:1:0.0707071:0.266234, 100:3:0.3125:0.367347;300:3:0.25:0.306122;300:3:0.235294:0.265306;300:1:0.037037:0.192982;400:1:0.037037:0.140351
CCNA_00270, 533.7, , , , , 700:3:0.128205:0.128205
CCNA_00271, 221.7, , , , , 
CCNA_00272, 1019.0, , , , , 700:3:0.25:0.25
CCNA_00273, 404.3, , , , , 
CCNA_00274, 376.7, , , , , 
CCNA_00275, 1181.0, , , , , 
CCNA_00276, 424.0, , , , , 
CCNA_00277, 866.0, , , , , 
CCNA_00278, 699.0, , , , , 
CCNA_00279, 489.7, , , , , 
CCNA_00280, 556.3, , , , , 
CCNA_00281, 773.7, , , , , 
CCNA_00282, 257.0, , , , , 
CCNA_00283, 643.3, , 500:1:0.0243902:0.132075, , , 400:1:0:0.131579
CCNA_00284, 496.0, , , , , 
CCNA_00285, 780.7, , , , , 
CCNA_00286, 361.0, , , , , 
CCNA_00287, 930.3, , , , , 
CCNA_00288, 801.7, , , , , 
CCNA_00289, 285.7, , , , , 
CCNA_00290, 2496.7, , 500:1:0.0238095:0.172414, , , 
CCNA_00291, 1099.3, , , , , 400:1:0.0666667:0.142857
CCNA_00292, 1148.0, , , , , 
CCNA_00293, 950.7, , , , , 
CCNA_00294, 682.3, , , , , 
CCNA_00295, 549.3, , , , , 
CCNA_00296, 535.7, , , , , 
CCNA_00297, 603.0, , , , , 
CCNA_00298, 577.0, , , , , 
CCNA_00299, 950.0, , , , , 
CCNA_00300, 408.3, , , , , 
CCNA_00301, 923.0, , , , , 
CCNA_00302, 965.3, , , , , 
CCNA_00303, 739.3, , , , , 
CCNA_00304, 918.0, , , , , 700:3:0.176471:0.176471
CCNA_00305, 769.3, , , , , 
CCNA_00306, 528.0, , , , , 700:3:0.214286:0.214286
CCNA_00307, 1438.0, , , , , 
CCNA_00308, 568.7, , , , , 
CCNA_00309, 202.7, , , , , 400:1:0:0.15625
CCNA_00310, 578.7, , , , , 
CCNA_00311, 1025.7, , 500:1:0.0224719:0.162162, , , 
CCNA_00312, 371.0, , , , , 
CCNA_00313, 1432.7, , , , , 
CCNA_00314, 470.3, , , , , 
CCNA_00315, 1182.7, , , , , 
CCNA_00316, 827.7, , 500:1:0.0677966:0.136364;400:1:0:0.166667;300:1:0:0.192308;300:1:0:0.148148;700:3:0.133333:0.133333, , 300:1:0.14433:0.333333, 
CCNA_00317, 895.0, , , , , 
CCNA_00318, 828.3, , , , , 
CCNA_00319, 499.7, , , , , 
CCNA_00320, 232.7, , , , , 
CCNA_00321, 481.7, , , , , 400:1:0.0769231:0.145455;400:1:0.0625:0.148148
CCNA_00322, 554.3, , , , , 
CCNA_00323, 885.0, , , , , 
CCNA_00324, 449.3, , , , , 
CCNA_00326, 876.7, , , , , 
CCNA_00327, 587.7, , , , , 400:1:0:0.136364
CCNA_00328, 516.0, , , , , 700:3:0.111111:0.111111
CCNA_00329, 425.0, , , , , 
CCNA_00330, 628.3, , , , , 
CCNA_00331, 562.3, , , , , 
CCNA_00332, 476.0, , , , , 
CCNA_00333, 660.7, , , , , 
CCNA_00334, 410.3, , , , , 
CCNA_00335, 360.3, , , , , 
CCNA_00336, 1087.7, , , , , 700:3:0.125:0.125
CCNA_00337, 612.0, , , , , 
CCNA_00338, 1782.7, 300:3:0.186667:0.236842, , , , 300:3:0.267857:0.267857;400:3:0.215686:0.215686
CCNA_00339, 1032.0, , , , , 400:3:0.15625:0.15625;400:3:0.15625:0.15625;400:3:0.15625:0.15625
CCNA_00340, 1004.0, 300:3:0.147059:0.26;300:3:0.09375:0.245614, 300:3:0.213115:0.256757, , 300:3:0.190476:0.241935, 
CCNA_00341, 660.3, , , , , 
CCNA_00342, 2358.7, 400:3:0.285714:0.801282, , , , 
CCNA_00343, 953.0, 400:3:0.114943:0.236364;300:3:0.131429:0.220588, 300:1:0.0769231:0.179856, 600:1:0.0151515:0.125;200:1:0.0121212:0.1875, , 
CCNA_00344, 324.0, , , , , 300:3:0.205882:0.205882;700:3:0.133333:0.133333
CCNA_00345, 721.3, , 100:1:0.0075188:0.145455, , , 
CCNA_00346, 1154.3, , , , , 
CCNA_00347, 225.3, 300:1:0.0434783:0.142857;300:1:0.0642202:0.368421;300:1:0.0660377:0.222222, 500:3:0.12:0.166667;300:1:0.057971:0.176471;300:1:0.114286:0.555556;500:1:0.0294118:0.161765, , , 
CCNA_00348, 1597.3, , , , , 
CCNA_00349, 664.0, , , , , 
CCNA_00350, 606.0, , , , , 400:1:0:0.266667;400:1:0:0.157895
CCNA_00351, 1604.3, , , , , 400:1:0.0571429:0.142857
CCNA_00352, 696.3, , , , , 
CCNA_00353, 829.7, , , , , 
CCNA_00354, 604.7, , , , , 
CCNA_00355, 1003.0, , , , , 
CCNA_00356, 428.7, , , , , 
CCNA_00357, 1183.3, , , , , 
CCNA_00358, 748.3, , , , , 
CCNA_00359, 580.7, , , , , 
CCNA_00360, 750.0, , , , , 
CCNA_00361, 750.0, , , , , 
CCNA_00362, 401.0, , , , 800:3:0.136364:0.142857, 
CCNA_00363, 651.0, 500:1:0.0816327:0.192308;400:1:0.0526316:0.142857, , 600:1:0.0508475:0.156863, , 
CCNA_00364, 951.0, 300:1:0.0847458:0.25;300:1:0.0344828:0.25;400:3:0.258621:0.3;600:3:0.142857:0.238095;400:3:0.122807:0.214286;300:1:0.0508475:0.142857;400:3:0.157143:0.25, 700:3:0.206897:0.206897;400:3:0.12:0.2;500:1:0.0555556:0.12, , 500:1:0.0638298:0.212121;300:1:0.0487805:0.384615;300:1:0.1:0.571429;300:3:0.25641:0.5;600:3:0.147059:0.173077;800:3:0.142857:0.142857;300:3:0.2:0.375;600:1:0.0483871:0.142857, 300:3:0.1:0.235294;300:3:0.222222:0.222222
CCNA_00365, 1052.0, , , , , 400:1:0.075:0.15873;700:3:0.157895:0.157895
CCNA_00366, 689.3, , 500:1:0.021978:0.135593, , , 
CCNA_00367, 772.7, , , , , 
CCNA_00368, 628.3, , , 200:1:0.0189189:0.204545, , 
CCNA_00369, 1070.7, , 500:1:0.0744681:0.171429;500:1:0.0576923:0.154545;500:3:0.0480769:0.141593, , , 
CCNA_00370, 393.3, , , , , 400:1:0.0444444:0.12069
CCNA_00371, 500.3, , , , , 
CCNA_00372, 214.3, , , , , 
CCNA_00373, 565.3, , , , , 
CCNA_00374, 388.0, , , , , 
CCNA_00375, 403.3, , , , , 
CCNA_00376, 626.7, , , , , 
CCNA_00377, 2561.0, 500:1:0.0471698:0.105263, 700:3:0.136364:0.136364;500:1:0:0.142857, , 300:1:0.0350877:0.166667, 700:3:0.153846:0.153846;700:3:0.153846:0.153846;700:3:0.2:0.2
CCNA_00378, 452.7, , , 400:1:0:0.116883, , 
CCNA_00379, 530.7, , , , , 
CCNA_00380, 436.7, , , , , 
CCNA_00381, 778.7, , , , , 
CCNA_00382, 926.0, , , , , 
CCNA_00383, 557.3, , , , , 
CCNA_00384, 688.0, , , , , 
CCNA_00385, 1019.7, , , , , 
CCNA_00386, 554.7, , , , , 
CCNA_00387, 349.3, , , , , 
CCNA_00388, 755.0, , , , , 
CCNA_00389, 680.0, , 500:1:0:0.133333;500:1:0.0377358:0.127273;500:1:0:0.12, , , 400:1:0.0175439:0.122807
CCNA_00390, 902.0, , , , , 
CCNA_00391, 408.7, , , , , 
CCNA_00392, 1081.3, , , , , 
CCNA_00393, 892.7, 500:1:0.0925926:0.136364, , 200:1:0.0253165:0.142857, , 
CCNA_00394, 359.3, , , , , 
CCNA_00395, 1362.0, , , , , 
CCNA_00396, 585.3, , , , , 100:1:0.0416667:0.264706
CCNA_00397, 1155.0, 700:1:0.0294118:0.3, , , , 
CCNA_00398, 1142.0, , 600:3:0.133333:0.133333, 400:3:0.0847458:0.130435;400:3:0.0344828:0.133333;400:3:0.105263:0.204545;400:3:0.135593:0.186047;600:3:0.0847458:0.139535;400:3:0.196429:0.196429;400:3:0.145455:0.228571;400:3:0.0740741:0.176471;400:3:0.22:0.3;600:3:0.12:0.233333, 500:1:0.0188679:0.142857;500:1:0.0196078:0.173077;500:1:0:0.142857, 400:1:0:0.181818;400:1:0:0.258065;400:1:0:0.366667
CCNA_00399, 878.7, , , , , 
CCNA_00400, 372.7, , , , , 
CCNA_00401, 564.7, , , , , 
CCNA_00402, 303.0, , , , , 
CCNA_00403, 763.7, , , , , 
CCNA_00404, 365.7, , , , , 
CCNA_00405, 648.7, , , , , 
CCNA_00406, 271.3, 300:1:0.0232558:0.153846;500:1:0.0215054:0.16, 300:1:0.015625:0.1875;500:3:0.078125:0.161765;200:3:0.108108:0.185714, , 300:1:0.032967:0.166667;500:3:0.0882353:0.175824, 400:3:0.291667:0.291667;700:3:0.125:0.125
CCNA_00407, 350.0, , , , , 
CCNA_00408, 1010.0, , , 200:1:0.0243902:0.222222, , 400:1:0:0.129032;400:1:0:0.142857
