Identifier, Size, 0P1, 0P2, 0P3, 0P4, 0P5
FFI16_RS02020, 1392.3, , 200:2:0.903226:0.986486, , , 
FFI16_RS02030, 626.7, , , , , 
FFI16_RS02035, 1027.3, , , , , 
FFI16_RS02040, 768.3, , , , , 500:1:0.0144928:0.137255
FFI16_RS02045, 570.0, , , , , 500:1:0.0574713:0.133333
FFI16_RS02050, 531.7, , , 400:1:0.046875:0.146341, , 
FFI16_RS02055, 1203.0, , , 500:1:0.0327869:0.166667, , 
FFI16_RS02060, 1290.3, , , , , 
FFI16_RS02065, 2699.7, , 500:1:0.0408163:0.115385, 600:1:0.0352941:0.147059, , 
FFI16_RS02070, 640.3, , , , , 
FFI16_RS02075, 1181.7, , , , , 200:3:0.289655:0.479452
FFI16_RS02080, 1396.7, , , , , 
FFI16_RS02085, 1021.0, , , , , 
FFI16_RS02095, 1971.7, , , 400:1:0.0192308:0.142857, 400:1:0.0588235:0.235294, 400:1:0.0594059:0.25
FFI16_RS02100, 205.7, , , , , 
FFI16_RS02105, 1222.0, 800:3:0.121951:0.121951, , , , 
FFI16_RS02110, 3080.0, , , , , 
FFI16_RS02115, 244.7, , , , , 
FFI16_RS02120, 308.7, , , , , 
FFI16_RS02125, 1306.0, , , , 600:3:0.482143:1, 
FFI16_RS02130, 1900.0, , , 500:3:0.3375:0.666667, , 
FFI16_RS02135, 772.7, , , , , 
FFI16_RS02140, 819.0, , , , , 
FFI16_RS02145, 668.3, , , , , 
FFI16_RS02150, 429.0, , , , , 
FFI16_RS02155, 521.3, , , , , 
FFI16_RS02160, 499.7, , , , , 200:3:0.329412:0.358491
FFI16_RS02165, 438.0, , , , , 
FFI16_RS02170, 165.7, , , , , 
FFI16_RS02175, 431.3, , , , , 
FFI16_RS02180, 953.0, , , , , 
FFI16_RS02185, 1067.7, , 500:1:0.00917431:0.15625, , 600:3:0.16:0.16, 
FFI16_RS02190, 945.3, , , , , 400:3:0.546392:0.571429
FFI16_RS02195, 696.7, , , , , 
FFI16_RS02200, 1155.7, , , , , 
FFI16_RS02205, 290.7, , , , , 
FFI16_RS02210, 419.0, , , , , 
FFI16_RS02215, 573.0, 700:3:0.135135:0.140845;700:3:0.157895:0.157895, 700:3:0.158416:0.178571;700:3:0.0970874:0.155172;700:3:0.147059:0.2;700:3:0.16:0.23913, , 600:3:0.129032:0.157895;700:3:0.133333:0.133333;600:3:0.137931:0.157895, 
FFI16_RS02220, 312.0, , , , , 
FFI16_RS02225, 394.0, , , , , 
FFI16_RS02230, 1432.7, , , , , 
FFI16_RS02235, 687.3, , , , , 
FFI16_RS02240, 656.7, , , , , 
FFI16_RS02245, 1076.7, , , 300:3:0.134615:0.4, 300:3:0.125:0.229167, 300:1:0.0235294:0.214286;300:1:0.0277778:0.157895
FFI16_RS02250, 1143.0, , , , , 
FFI16_RS02255, 312.7, , , , , 
FFI16_RS02260, 662.0, , , , 600:1:0.0543478:0.157895, 
FFI16_RS02265, 1014.0, , 400:3:0.325:0.325;500:3:0.172414:0.208333, , , 
FFI16_RS02270, 463.7, , , , , 
FFI16_RS02275, 1357.0, , , , , 
FFI16_RS02280, 981.0, , , , , 
FFI16_RS02285, 2043.0, , , , 600:1:0.0175439:0.1875, 
FFI16_RS02290, 178.0, , , , , 
FFI16_RS02295, 178.0, , , , , 400:3:0.366667:0.568182
FFI16_RS02300, 910.3, , , , , 
