Identifier, Size, 2D1, 2D2, 2D3, 2D4, 2D5
DR_0417, 258.7, , , , , 
DR_0418, 210.3, , , , , 
DR_0419, 301.0, , , , , 
DR_0420, 1773.3, , , , , 
DR_0421, 288.0, , , , , 
DR_0422, 672.7, , , , , 
DR_0423, 507.7, , , , , 
DR_0424, 543.0, , , , , 
DR_0425, 669.3, , , , , 
DR_0426, 472.3, , , , , 
DR_0427, 652.7, , , , , 
DR_0428, 415.3, , , , , 
DR_0429, 614.3, , , , , 
DR_0430, 1163.3, , , , , 
DR_0431, 593.3, , , , , 
DR_0432, 491.3, , , , , 
DR_0433, 704.7, , , , , 
DR_0434, 871.0, , , , , 
DR_0435, 495.7, , , , , 
DR_0436, 1000.3, , , , , 
DR_0437, 229.3, , , , , 
DR_0438, 314.0, , , , , 
DR_0439, 420.7, , , , , 
DR_0440, 496.3, , , , , 
DR_0441, 373.0, , , , , 
DR_0442, 906.0, , , , , 
DR_0443, 1068.7, , , , , 
DR_0444, 845.7, , , , , 
DR_0445, 533.0, , , , , 
DR_0446, 265.7, , , , , 
DR_0447, 479.3, , , , , 
DR_0448, 152.7, , , , , 
DR_0449, 586.7, , , , , 
DR_0450, 691.3, , , , , 
DR_0451, 1069.0, , , , , 
DR_0452, 298.3, , , , , 
DR_0453, 441.3, , , , , 
DR_0454, 663.7, , , , , 
DR_0455, 625.0, , , , , 
DR_0456, 576.0, , , , , 
DR_0457, 316.0, , , , , 
DR_0458, 1853.3, , , , , 
DR_0459, 606.0, , , , , 
DR_0460, 1520.7, , , , , 
DR_0461, 611.7, , , , , 
DR_0462, 662.3, , , , , 
DR_0463, 2251.3, , , , , 
DR_0464, 1414.7, , 300:3:0.230769;300:3:0.166667, , , 
DR_0465, 519.0, , , , , 100:3:0.205645
DR_0466, 1760.7, , , , , 
DR_0467, 1270.0, , , , , 
DR_0468, 493.7, , , , , 
DR_0469, 420.0, , , , , 
DR_0470, 587.0, , , , , 
DR_0471, 584.7, , , , , 
DR_0472, 901.7, , , , , 
DR_0473, 503.7, , , , 600:3:0.22, 
DR_0474, 962.3, , 300:3:0.225352, , , 
DR_0475, 1449.3, , , , , 
DR_0476, 211.3, , , , , 
DR_0477, 1167.3, , , , , 
DR_0478, 804.3, , , , , 
DR_0479, 2004.7, 500:3:0.128205, , , , 
DR_0480, 755.0, , , , , 
DR_0481, 407.3, , , , , 
DR_0482, 757.3, , , , , 
DR_0483, 354.3, , , , , 
DR_0484, 712.0, , , , , 
DR_0485, 1202.7, , , , , 
DR_0486, 395.0, , , , , 
DR_0487, 984.7, , , , , 
DR_0488, 389.0, , , , , 
DR_0489, 360.7, , , , , 
DR_0490, 579.7, , , , , 
DR_0491, 606.3, , , , , 
DR_0492, 226.0, , , , , 
DR_0493, 719.0, , , , , 
DR_0494, 376.0, , , , , 
DR_0495, 485.0, , , , , 
DR_0496, 1153.7, , , , , 
DR_0497, 553.3, , , , , 
DR_0498, 1209.3, , , , , 
DR_0499, 779.7, , , , , 
DR_0500, 638.7, , , , , 
DR_0501, 843.3, , , , , 
DR_0502, 903.3, , 700:3:0.129032, , , 
DR_0503, 887.0, , , , , 
DR_0504, 658.0, , , , , 
DR_0505, 1384.3, , , , , 
DR_0506, 373.3, , , , , 
DR_0507, 3005.7, , , , , 
DR_0508, 755.3, , , , , 
DR_0509, 532.7, , , , , 
DR_0510, 440.7, 500:3:0.231707, , , , 
DR_0511, 1122.3, , , , , 
DR_0512, 763.3, , , , , 
DR_0513, 1071.3, , , 500:1:0.0509259, , 
DR_0514, 242.7, , , , , 
DR_0515, 413.7, , , , , 
DR_0516, 422.3, , , , , 
DR_0517, 252.0, , , , , 
DR_0518, 194.0, , , , , 
DR_0519, 173.0, , , , , 
DR_0520, 635.7, , , , , 
DR_0521, 275.7, , , , , 
DR_0522, 355.0, , , , , 
DR_0523, 418.7, 500:3:0.163934, , 300:3:0.25;600:3:0.333333, , 
DR_0524, 286.0, , , , , 
DR_0525, 401.3, , , , , 
DR_0526, 341.0, , , , , 
DR_0527, 717.3, , , , , 
DR_0528, 824.3, , , , , 
DR_0529, 292.7, , , , , 
DR_0530, 1976.0, , , , , 
DR_0531, 456.7, , , , , 
DR_0532, 319.0, , , , , 
DR_0533, 727.7, , 300:3:0.234043, , , 
DR_0534, 1599.0, , , , , 
DR_0535, 1942.3, , , , , 
DR_0536, 474.3, , , , , 
DR_0537, 926.0, , , , , 
DR_0538, 2396.0, , , , , 
DR_0539, 260.0, , , , , 
DR_0540, 1183.7, , , , , 
DR_0541, 614.3, , , , , 
DR_0542, 617.7, , , , , 
DR_0543, 524.7, , , , , 
DR_0544, 634.3, , , , , 
DR_0545, 195.7, , , , , 
DR_0546, 383.7, , , , , 
DR_0547, 1088.7, , , , , 
DR_0548, 699.0, , , , , 
DR_0549, 1001.7, , , , , 
DR_0550, 555.0, , , , , 
DR_0551, 1018.3, , , , , 
DR_0552, 544.3, , , 500:3:0.0574713, , 
DR_0553, 1062.0, , , , , 
DR_0554, 546.0, , , , , 
DR_0555, 1108.7, , , , , 
DR_0556, 322.0, , , , , 
DR_0557, 626.3, , , , , 
DR_0558, 801.3, , , , , 
DR_0559, 1251.7, , , , , 
DR_0560, 927.0, , , , , 
DR_0561, 1005.0, , , , , 
DR_0562, 1141.3, , , , , 
DR_0563, 1004.3, , , , , 
DR_0564, 703.0, , , , , 
DR_0565, 522.3, , , , , 
DR_0566, 441.3, , , , , 
DR_0567, 1255.7, , , , , 
DR_0568, 507.0, , , , , 
DR_0569, 863.3, , , , , 
DR_0570, 305.3, , , , , 
DR_0571, 977.7, , , , , 
DR_0572, 924.3, , , , , 
DR_0573, 2147.0, , 600:3:0.142857, , 400:3:0.138211;500:3:0.134921, 
DR_0574, 826.3, , , , , 
DR_0575, 2028.7, , , , , 
DR_0576, 676.7, , , , , 
DR_0577, 1348.0, , , , , 
DR_0578, 387.0, , , , , 
DR_0579, 1029.3, , , , , 
DR_0580, 681.0, , , , , 
DR_0581, 382.7, , , , , 
DR_0582, 536.7, , , , , 
DR_0583, 1483.3, , , , , 
DR_0584, 722.7, , , , , 
DR_0585, 840.0, , , , , 
DR_0586, 290.3, , , , , 
DR_0587, 692.7, , , , , 
DR_0588, 1634.3, , , , , 
DR_0589, 419.7, , , , , 
DR_0590, 329.7, , , , , 
DR_0591, 633.7, , , , , 
DR_0592, 375.7, , , , , 
DR_0593, 491.3, , , , , 
DR_0594, 1047.7, , , , , 
DR_0595, 470.3, , , , , 
DR_0596, 803.7, , , , , 
DR_0597, 545.7, , , , , 
DR_0598, 432.7, , , , , 
DR_0599, 724.3, , , , , 
DR_0600, 279.3, , , , , 
DR_0601, 1392.0, , , , , 
DR_0602, 442.0, , , , , 
DR_0603, 1216.7, , , , , 
DR_0604, 427.0, , , , , 
DR_0605, 608.0, , , , , 
DR_0606, 320.3, , , , , 
DR_0607, 1315.3, , , , , 
DR_0608, 554.3, , , , , 
DR_0609, 455.7, , , , , 
DR_0610, 186.7, , , , , 
DR_0611, 815.3, , , , , 
DR_0612, 1236.3, , , , , 
DR_0613, 482.7, , , , , 
DR_0614, 626.7, , , , , 
DR_0615, 789.0, , , , , 
DR_0616, 425.0, , , , , 
DR_0617, 2316.3, , , , , 
DR_0618, 658.7, , , , , 
DR_0619, 346.7, , , , , 
DR_0620, 2174.3, , , , , 
DR_0621, 808.0, , , , , 
DR_0622, 400.7, , , , , 
DR_0623, 927.7, , , , , 
DR_0624, 535.7, , , , , 
DR_0625, 626.3, , , , , 
DR_0626, 971.7, , , , , 
DR_0627, 1053.7, , , , , 
DR_0628, 643.7, , , , , 
DR_0629, 731.3, , , , , 
DR_0630, 1160.0, , 500:1:0.0746269, , , 
DR_0631, 923.0, , , , , 
DR_0632, 833.3, , 700:3:0.172414, , , 
DR_0633, 503.7, , , , , 
DR_0634, 213.0, , , , , 
DR_0635, 743.0, , , , , 
DR_0636, 705.7, , , , , 
DR_0637, 248.7, , , , , 
DR_0638, 316.3, , , , , 
DR_0639, 221.7, , , , , 
DR_0640, 1023.0, , , , , 
DR_0641, 577.0, , , , , 
DR_0642, 407.3, , , , , 
DR_0643, 505.0, , , , , 
DR_0644, 554.7, , , , , 
DR_0645, 462.7, , , , , 
DR_0646, 697.3, , , , , 
DR_0647, 993.3, , , , , 
DR_0648, 554.0, , , , , 
DR_0649, 478.3, , , , , 
DR_0650, 253.7, , , , , 
DR_0651, 759.7, , , , , 
DR_0652, 1050.3, , , , , 
DR_0653, 475.7, , , , , 
DR_0654, 801.7, , , , , 
DR_0655, 391.0, , , , , 
DR_0656, 1004.0, , , , , 
DR_0657, 622.7, , , , , 
DR_0658, 854.3, , , , , 
DR_0659, 651.0, , , , , 
DR_0660, 492.0, , , , , 
DR_0661, 300.0, , , , , 
DR_0662, 251.3, , , , , 
DR_0663, 477.7, , 300:3:0.122302;300:3:0.152174;300:3:0.214876, , , 500:3:0.140992
DR_0664, 388.0, , , , , 
DR_0665, 594.3, , , , , 
DR_0666, 934.0, , , , , 
DR_0667, 416.0, , , , , 
DR_0668, 2377.3, , , , , 
DR_0669, 650.7, , , , , 
DR_0670, 428.7, , , , , 
DR_0671, 829.3, , 500:3:0.192308, , , 
DR_0672, 418.3, , , , , 
DR_0673, 453.0, , , , , 
DR_0674, 1030.3, , , , , 
DR_0675, 324.3, , , , , 
DR_0676, 340.0, , , , , 
DR_0677, 375.3, , , , , 
DR_0678, 1198.7, , , , , 
DR_0679, 241.0, , , , , 
DR_0680, 247.7, , , , , 
DR_0681, 396.7, , , , , 
DR_0682, 443.0, , , , , 
DR_0683, 437.7, , , , , 
DR_0684, 1007.3, , , , , 
DR_0685, 1701.7, , 500:1:0.0227273, , , 
DR_0686, 2303.3, , , , , 
DR_0687, 3692.0, , , , , 
DR_0688, 1968.0, , , , , 
DR_0689, 667.7, , , , , 
DR_0690, 795.0, , , , , 
DR_0691, 569.3, , , , , 
DR_0692, 411.3, , , , , 
DR_0693, 965.3, , , , , 
DR_0694, 341.3, , , , , 
DR_0695, 1534.7, , , , , 
DR_0696, 236.0, , , , , 
DR_0697, 419.0, , , , , 
DR_0698, 736.7, , , , , 
DR_0699, 252.7, , , , , 
DR_0700, 1415.3, , , , , 
DR_0701, 1064.0, , , , , 
DR_0702, 605.7, , , , , 
DR_0703, 424.7, , , , , 
DR_0704, 462.7, , , , , 
DR_0705, 677.0, , , , , 
DR_0706, 556.7, , , , , 
DR_0707, 1654.0, , , , , 
DR_0708, 1678.0, , , , , 
DR_0709, 673.7, , , , , 
DR_0710, 633.0, , , , , 
DR_0711, 711.7, , , , , 
DR_0712, 1104.7, , , , , 
DR_0713, 1223.7, , , , , 
DR_0714, 588.0, , , , , 
DR_0715, 442.7, , , , , 
DR_0716, 534.0, , , , , 
DR_0717, 1071.0, , , , , 
DR_0718, 275.7, , , , , 
DR_0719, 1109.0, , , , , 
DR_0720, 482.3, , , , , 
DR_0721, 169.7, , , , , 
DR_0722, 191.7, , , , , 
DR_0723, 1478.3, , , , , 
DR_0724, 1349.7, , , , , 
DR_0725, 243.0, 500:3:0.0164474, , , , 
DR_0726, 965.0, , , , , 100:1:0.0261194
DR_0727, 394.3, , , , , 
DR_0728, 750.7, , , , , 
DR_0729, 577.7, , , , , 
DR_0730, 550.0, , , , , 
DR_0731, 410.3, , , , , 
DR_0732, 620.7, , , , , 
DR_0733, 534.3, , , , , 
DR_0734, 212.3, , , , , 
DR_0735, 493.0, , , , , 
DR_0736, 333.0, , , , , 
DR_0737, 561.7, , , , , 
DR_0738, 870.3, , , , , 100:3:0.189076
DR_0739, 964.0, , , 500:3:0.0784314, , 
DR_0740, 2565.7, , , , , 
DR_0741, 321.3, , , , , 
DR_0742, 391.0, , , , , 
DR_0743, 618.0, , , , , 
DR_0744, 1282.3, , , , , 
DR_0745, 889.0, , , , , 
DR_0746, 229.0, , , , , 
DR_0747, 658.0, , , , , 
DR_0748, 544.7, , , , , 
DR_0749, 454.7, , , , , 
DR_0750, 2158.3, , , , , 
DR_0751, 214.0, , , , , 
DR_0752, 639.3, , , , , 
DR_0753, 597.0, , , , , 
DR_0754, 354.7, , , , , 
DR_0755, 480.3, , , , , 
DR_0756, 456.3, , , , , 
DR_0757, 950.7, , , , , 
DR_0758, 716.7, , , , , 
DR_0759, 864.3, , , , , 
DR_0760, 754.3, , , , , 
DR_0761, 673.7, , , , , 
DR_0762, 291.0, , , , , 
DR_0763, 356.3, , , , , 
DR_0764, 687.0, , , , , 
DR_0765, 814.7, , , , , 
DR_0766, 1058.3, , , , , 
DR_0767, 366.0, , , , , 
DR_0768, 985.3, , , , , 
DR_0769, 608.7, , , , , 
DR_0770, 975.3, , , , , 
DR_0771, 531.7, , , , 500:3:0.0284091, 
DR_0772, 479.3, , , , , 
DR_0773, 1362.3, , , , , 
DR_0774, 1669.3, , , , , 
DR_0775, 960.3, , , , , 
DR_0776, 542.7, , , , , 
DR_0777, 760.3, , , , , 
DR_0778, 430.0, , , , , 
DR_0779, 715.7, , , , , 
DR_0780, 244.0, , , , , 
DR_0781, 606.0, , , , , 
DR_0782, 715.0, , , , , 
DR_0783, 357.7, , , , , 
DR_0784, 397.0, , , , , 
DR_0785, 669.3, , , , , 
DR_0786, 454.7, , , , , 
DR_0787, 552.3, , , , , 
DR_0788, 943.3, , , , , 
DR_0789, 803.0, , , , , 
DR_0790, 1331.0, , , , , 
DR_0791, 789.0, , , , , 
DR_0792, 1076.0, , , , , 
DR_0793, 502.3, , , , , 
DR_0794, 1025.3, , , , , 
DR_0795, 451.3, , , , , 
DR_0796, 460.0, , , , , 
DR_0797, 390.7, , , , , 
DR_0798, 469.0, , , , , 
DR_0799, 912.0, , , , , 
DR_0800, 182.3, , , , , 
DR_0801, 984.3, , , , , 
DR_0802, 390.7, , , , , 
DR_0803, 175.7, , , , , 
DR_0804, 722.7, , , , , 
DR_0805, 365.0, , , , , 
DR_0806, 636.0, , 500:3:0.102564;500:1:0.0769231;500:1:0.05;500:3:0.0425532, , , 
DR_0807, 812.3, , , , , 
DR_0808, 1181.0, , , , , 
DR_0809, 735.0, , , , , 
DR_0810, 957.3, , , , , 
DR_0811, 368.7, , , , , 
DR_0812, 1376.3, , , , , 
DR_0813, 1273.3, , , , , 
DR_0814, 736.3, , , , , 
DR_0815, 597.7, , , , , 
DR_0816, 381.7, 500:3:0.173228, , , , 500:1:0.0265487
DR_0817, 408.7, , , , , 
DR_0818, 432.0, , , , , 
DR_0819, 647.3, , , , , 
DR_0820, 306.0, , , , , 
DR_0821, 1003.3, , , , , 
DR_0822, 455.7, , , , , 
DR_0823, 628.0, , , , , 
DR_0824, 977.3, , , , , 
DR_0825, 232.7, , , , , 
DR_0826, 829.3, , , , , 
DR_0827, 487.0, , , , , 
DR_0828, 1177.7, , , , , 
DR_0829, 762.7, , , , , 
DR_0830, 686.0, , , , , 
DR_0831, 418.0, , , , , 
DR_0832, 674.3, , , , , 
DR_0833, 766.0, , , , , 
DR_0834, 571.3, , , , , 
DR_0835, 730.7, , , , , 
DR_0836, 882.0, , , , , 
DR_0837, 1380.7, , , , , 
DR_0838, 488.7, , , , , 
DR_0839, 393.3, , , , , 
DR_0840, 1136.0, , , , , 
DR_0841, 429.3, , , , , 
DR_0842, 438.0, , , , , 
DR_0843, 756.3, , , , , 
DR_0844, 1554.0, , , , , 
DR_0845, 509.3, , , , , 
DR_0846, 396.7, , , , , 
DR_0847, 366.3, , , , , 
DR_0848, 824.3, , , , , 
DR_0849, 404.7, , , , , 
DR_0850, 236.7, , , , , 
DR_0851, 790.7, , , , , 
DR_0852, 396.7, , , , , 
DR_0853, 540.7, , , , , 
DR_0854, 366.0, , , , , 
DR_0855, 1409.7, , , , , 
DR_0856, 541.7, , , , , 
DR_0857, 709.7, , , , , 
DR_0858, 584.7, , , , , 
DR_0859, 387.3, , , , , 
DR_0860, 919.3, , , , , 
DR_0861, 1322.0, , , , , 
DR_0862, 810.3, , , , , 
DR_0863, 689.0, , , , , 
DR_0864, 662.3, , , , , 
DR_0865, 390.7, , , , , 
DR_0866, 812.7, , , , , 
DR_0867, 666.0, , , , , 
DR_0868, 1254.3, , , , , 
DR_0869, 520.7, , , , , 
DR_0870, 1044.3, , , , , 
DR_0871, 533.3, , , , , 
DR_0872, 738.0, , , , , 
DR_0873, 1267.7, , , , , 
DR_0874, 644.7, , , , , 
DR_0875, 1046.7, , , , , 
DR_0876, 450.7, , , , , 
DR_0877, 287.7, , , , , 
DR_0878, 406.7, , , , , 
DR_0879, 257.7, , , , , 
DR_0880, 1741.0, , , , , 
DR_0881, 391.3, , , , , 
DR_0882, 324.0, , , , , 
DR_0883, 627.7, , , , , 
DR_0884, 467.3, , , , , 
DR_0885, 183.3, , , , , 
DR_0886, 296.3, , , , , 
DR_0887, 345.7, , , , , 
DR_0888, 580.7, , 500:3:0.137931, , , 500:3:0.188889
DR_0889, 264.3, , , , , 
DR_0890, 321.0, , , , , 
DR_0891, 432.0, , , , , 
DR_0892, 917.0, , , , , 
DR_0893, 614.7, , , , , 
DR_0894, 1203.7, , , , , 
DR_0895, 270.7, , , , , 
DR_0896, 560.7, , , , , 
DR_0897, 459.0, , , , , 
DR_0898, 857.3, , , , , 
DR_0899, 512.3, , , , , 
DR_0900, 389.3, , , , , 
DR_0901, 287.3, , , , , 
DR_0902, 317.7, , 600:3:0.1875, , , 
DR_0903, 1176.7, , , , , 
DR_0904, 908.7, , , , , 
DR_0905, 1797.3, , , 500:1:0.0606936, , 
DR_0907, 313.3, , , , , 
DR_0908, 1009.3, , , , , 
DR_0909, 425.0, , , , , 
DR_0910, 1485.3, , 500:1:0.0394737, , , 
DR_0911, 3525.0, , , , , 
DR_0912, 2724.3, , , , , 
DR_0913, 357.3, , , , , 
DR_0914, 661.7, , , , , 
DR_0915, 540.7, , , , , 
DR_0916, 838.0, , , , , 
DR_0917, 1148.7, , , , , 
DR_0918, 772.7, , , , , 
DR_0919, 811.3, , , , , 
DR_0920, 316.0, , , , , 
DR_0921, 969.0, , , , , 
DR_0922, 953.3, , , , , 
DR_0923, 291.0, , , , , 
DR_0924, 492.3, , , , , 
DR_0925, 775.0, , , , , 
DR_0926, 947.7, , , , , 
DR_0927, 549.0, , , , , 
DR_0928, 757.7, , , , , 
DR_0929, 270.0, , , , , 
DR_0930, 725.0, , , , , 
DR_0931, 572.3, , , , , 
DR_0932, 794.0, , , , , 
DR_0933, 1509.0, , , , , 
DR_0934, 602.7, , , , , 
DR_0935, 776.3, , , , , 
DR_0936, 854.7, , , , , 
DR_0937, 1409.0, , , , , 
DR_0938, 840.7, , , , , 
DR_0939, 516.0, , , , , 
DR_0940, 468.7, , , , , 
DR_0941, 1074.0, , , , , 
DR_0942, 592.3, , , , , 
DR_0943, 234.0, , , , , 
DR_0944, 323.3, , , , , 
DR_0945, 432.0, , , , , 
DR_0946, 757.3, , , , , 
DR_0947, 348.3, , , , , 
DR_0948, 364.7, , , , , 
DR_0949, 452.0, , , , , 
DR_0950, 942.0, , , , , 
DR_0951, 643.0, , , , , 
DR_0952, 1357.0, , , , , 
DR_0953, 285.3, , , , , 
DR_0954, 373.0, , , , , 
DR_0955, 273.0, , , , , 
DR_0956, 685.3, , , , , 
DR_0957, 1182.7, , , , , 
DR_0958, 749.7, , , , , 
DR_0959, 883.0, , , , , 
DR_0960, 870.7, , , , , 
DR_0961, 570.3, , , , , 
DR_0962, 607.0, , , , , 500:1:0.055
