Identifier, Size, 1D1, 1D2, 1D3, 1D4, 1D5
DR_0022, 61.7, , , , , 
DR_0025, 267.7, , , , , 
DR_0027, 1058.7, , 400:1:0.0540541:0.145455, , , 
DR_0028, 1170.3, , , , , 
DR_0030, 237.3, , , , , 
DR_0032, 386.7, , , , , 
DR_0038, 431.0, 400:3:0.238636:0.238636, 400:3:0.0444444:0.184211, , , 
DR_0039, 523.3, , , , , 
DR_0042, 116.7, , , , , 
DR_0043, 110.3, , , , , 
DR_0050, 69.0, , , , , 
DR_0056, 940.3, , , , , 
DR_0058, 752.3, , , , , 
DR_0061, 594.0, , , , , 
DR_0062, 29.0, , , , , 
DR_0064, 228.0, , , , , 600:1:0.0189189:0.214286
DR_0065, 1757.7, , , , , 
DR_0066, 478.3, 300:3:0.168539:0.217822, , 300:3:0.129032:0.19697;800:3:0.179487:0.179487;300:3:0.219512:0.219512;800:3:0.166667:0.166667, 800:3:0.206294:0.206294, 300:3:0.126761:0.23913
DR_0067, 498.3, , 300:3:0.119403:0.2;400:1:0.0731707:0.25, , 800:3:0.0183486:0.214286, 
DR_0071, 948.0, , 400:1:0.0123457:0.12;400:1:0.0246914:0.136364;400:1:0:0.15, 400:3:0.215686:0.215686;800:3:0.150943:0.150943;400:1:0.0454545:0.155844, , 100:3:0.12585:0.193548
DR_0072, 194.0, , , , , 
DR_0073, 743.0, , , , , 
DR_0075, 2808.3, 400:3:0.112994:0.18239;400:3:0.122807:0.220779;400:3:0.0818713:0.2125;400:3:0.0887574:0.196203;400:1:0.048951:0.166667;400:3:0.159509:0.198347;400:3:0.0787879:0.224;400:3:0.114943:0.210784;400:3:0.152439:0.204878;400:3:0.194118:0.194118;400:3:0.115578:0.248366;300:3:0.122951:0.219512;500:3:0.166667:0.201183;500:3:0.0991736:0.221477, 400:1:0:0.12;400:1:0.0263158:0.153846;400:1:0:0.16129;800:3:0.122807:0.122807;400:1:0.0909091:0.15625;400:1:0.0416667:0.142857;400:1:0.0652174:0.184049;400:1:0.0769231:0.142857;400:3:0.190476:0.190476;400:3:0.0933333:0.244444;400:3:0.0933333:0.155556;400:3:0.121951:0.183673;400:3:0.125:0.230769;400:3:0.190476:0.235294;400:3:0.127907:0.181818;800:3:0.12766:0.12766;300:3:0.130435:0.181818;400:3:0.0869565:0.162791;600:3:0.159574:0.159574;800:3:0.133333:0.133333;400:3:0.202247:0.202247;300:1:0.0561798:0.25;400:3:0.159574:0.166667;700:3:0.132353:0.132353;800:3:0.114754:0.148148;400:1:0:0.111111;400:1:0.0754717:0.16;400:3:0.132075:0.166667;400:1:0.1:0.217391;400:1:0:0.190476;400:1:0.0980392:0.2;400:3:0.147059:0.222222;400:1:0:0.137931;400:1:0.0909091:0.176471;700:3:0.130435:0.151515;400:1:0.0943396:0.146341;400:1:0.0350877:0.12;800:3:0.155844:0.155844, 400:1:0.0172414:0.169014;400:3:0.173077:0.237113;400:3:0.119048:0.166667;800:3:0.137931:0.137931;400:1:0.0166667:0.142857;400:1:0.0315789:0.148594;800:3:0.125:0.125;400:3:0.141414:0.158371;400:1:0.0283019:0.12987;400:1:0.019802:0.120536;400:1:0.0641026:0.181818;400:3:0.0875:0.150943;400:1:0.04:0.135802;400:3:0.193548:0.193548;400:3:0.15:0.222222;400:3:0.122807:0.18;400:3:0.196078:0.196078;400:3:0.169811:0.169811;400:1:0.0555556:0.130435;400:1:0.037037:0.195652;400:1:0.0188679:0.15942;400:3:0.115385:0.115385;400:1:0.09375:0.144444;400:3:0.136364:0.191489;400:3:0.123288:0.228916;400:3:0.128571:0.168831;200:3:0.211268:0.307692;400:3:0.205479:0.205479;800:3:0.131579:0.131579;400:1:0.0361446:0.196203;400:1:0.0365854:0.125786;400:1:0.0192308:0.15;500:3:0.06:0.2;500:3:0.0851064:0.178082;400:1:0.0487805:0.338462;400:1:0.025641:0.19697;400:1:0.105263:0.183673;400:1:0.0277778:0.12766;400:3:0.176471:0.176471;500:1:0.0588235:0.233333;400:3:0.181818:0.181818;500:1:0.030303:0.135593;300:1:0.0857143:0.214286;800:3:0.166667:0.166667;800:3:0.116279:0.116279;800:3:0.126984:0.126984;400:3:0.142857:0.177083;400:3:0.169492:0.169492;100:3:0.262295:0.262295, 400:3:0.0909091:0.196532;400:3:0.178161:0.178161;400:3:0.0738636:0.134146;400:3:0.102703:0.224638;400:3:0.111111:0.171429;400:3:0.120219:0.253623;400:3:0.111111:0.262411;400:3:0.129187:0.209302;400:3:0.145161:0.177778;400:1:0.0854701:0.228916;700:3:0.0978261:0.156863, 400:3:0.0958084:0.19;400:3:0.111111:0.188889;400:3:0.115207:0.207692;400:3:0.130841:0.221053;400:3:0.15625:0.198413;400:3:0.152838:0.235294;400:3:0.0912863:0.184211;400:3:0.104869:0.17757;400:1:0.0405405:0.142857;600:1:0.0357143:0.148148;400:3:0.110345:0.190476;600:3:0.104348:0.205128;400:1:0.0566038:0.16;400:3:0.131313:0.213333;400:3:0.0940171:0.188119;400:3:0.0518519:0.156863
DR_0077, 51.7, , , , , 
DR_0082, 215.7, , , , , 
DR_0084, 155.0, , , , , 
DR_0086, 164.0, , , , , 
DR_0087, 135.0, , , , 600:3:0.636364:0.636364, 
DR_0089, 179.3, , , , , 
DR_0091, 567.7, , , , , 500:1:0.0558824:0.230769;500:3:0.0897833:0.5
DR_0093, 1168.3, , , 400:1:0:0.285714;500:1:0.0588235:0.133333;800:3:0.166667:0.166667;800:3:0.136364:0.136364;800:3:0.137931:0.137931, , 
DR_0095, 931.3, , 400:3:0.0891089:0.155172, , , 
DR_0096, 496.3, , , , , 
DR_0097, 248.3, 600:1:0:0.113924, , , , 
DR_0107, 253.7, , , , 100:1:0.0503597:0.186486, 
DR_0108, 1302.3, 400:1:0.0217391:0.14;400:1:0.0157068:0.130435, , 800:3:0.195122:0.195122;400:1:0:0.132075, , 
DR_0110, 231.7, , , , , 
DR_0112, 363.7, , , , , 
DR_0113, 237.3, , , , , 
DR_0115, 541.3, , , 300:1:0.031746:0.151786, 500:3:0.119658:0.288889, 400:3:0.0807018:0.206897;500:3:0.136842:0.25
DR_0117, 438.0, , , , , 
DR_0120, 309.3, , , , , 
DR_0121, 626.0, , , 500:3:0.115385:0.115385, , 
DR_0126, 228.3, , , , , 
DR_0129, 1371.7, , , , , 600:1:0.0307692:0.130435
DR_0130, 352.0, , , , , 
DR_0133, 373.7, , , , , 
DR_0135, 39.7, , 400:1:0:0.130435, 400:1:0:0.15, , 
DR_0136, 293.0, , , , , 
DR_0137, 48.7, , , , , 
DR_0139, 997.0, , , 800:3:0.169811:0.169811;300:1:0:0.201493, , 400:1:0.0235294:0.125
DR_0140, 108.0, , , , , 
DR_0143, 1100.7, 500:1:0.00502513:0.159722, , , 500:1:0:0.164706;500:1:0.0107527:0.141176, 
DR_0144, 173.0, , , , , 
DR_0145, 691.7, , , 800:3:0.111111:0.111111, 700:1:0.0551948:0.151515, 400:1:0.00859599:0.12
DR_0148, 1170.0, , 400:1:0.0350877:0.126582;400:1:0.0169492:0.126582;400:1:0.0322581:0.2, , , 
DR_0151, 552.3, , , , , 
DR_0153, 380.0, , , , , 
DR_0155, 525.0, 500:3:0.137097:0.212308;500:3:0.15508:0.246187;200:3:0.224215:0.399674;200:3:0.28866:0.508993;200:3:0.354839:0.569444, 100:3:0.243902:0.243902;100:3:0.319728:0.319728, 100:3:0.222222:0.33121;100:3:0.295455:0.354167;100:3:0.506579:0.506579, 100:3:0.384977:0.384977;100:3:0.404255:0.404255;100:3:0.529787:0.529787, 100:3:0.718121:0.724138
DR_0156, 155.7, , , 500:1:0:0.132653;400:1:0.0384615:0.131868;500:1:0.0153846:0.123711, , 
DR_0160, 373.3, , , , , 
DR_0163, 761.0, , , , , 
DR_0167, 338.3, 600:2:0.988764:0.988764, , , , 
DR_0168, 199.3, , , , , 
DR_0173, 697.7, , , , , 
DR_0175, 138.3, , , , , 
DR_0177, 290.3, , , , , 
DR_0178, 933.0, , , , , 
DR_0179, 240.7, , , 500:3:0.166667:0.166667, , 
DR_0182, 1071.0, , , , , 
DR_0183, 2979.0, 400:1:0.06:0.174863, , 400:1:0.0289855:0.136;400:1:0:0.131783;800:3:0.148148:0.148148;800:3:0.153846:0.153846;800:3:0.142857:0.142857;800:3:0.157895:0.157895;800:3:0.3125:0.3125, , 300:3:0.142857:0.210526
DR_0184, 407.0, , , , , 
DR_0186, 594.7, , , , , 
DR_0187, 447.7, , , , , 
DR_0189, 118.3, , , , , 
DR_0190, 258.3, , , , , 
DR_0191, 1755.7, , 400:1:0.0196078:0.130435, , , 
DR_0192, 187.3, , , 500:3:0.280899:0.280899, , 
DR_0195, 478.0, 400:1:0.0159574:0.134615, , , , 
DR_0196, 730.3, 500:3:0.1:0.38806;500:3:0.166667:0.481481;500:3:0.294118:0.338983, , 400:1:0.0333333:0.15;400:1:0.0384615:0.125;400:3:0.0740741:0.230769;500:3:0.1:0.16;300:3:0.1875:0.25;500:3:0.25:0.25;300:3:0.3:0.305556;300:3:0.444444:0.444444;400:1:0.0666667:0.176471, 400:1:0.0701754:0.185185;400:3:0.184211:0.351351;800:3:0.305556:0.5, 500:1:0.0253165:0.15873;500:1:0.0757576:0.166667;300:3:0.191489:0.288462
DR_0197, 454.3, 400:1:0.0215827:0.2, 400:1:0.0289855:0.15, , , 300:1:0.0413793:0.15625
DR_0198, 408.0, 600:2:0.971774:0.971774, , 500:3:0.261538:0.261538, , 
DR_0200, 326.3, , , , , 
DR_0201, 372.7, , 400:1:0:0.111111;400:1:0.0357143:0.130435;400:1:0:0.125, , , 
DR_0203, 514.7, , , , , 
DR_0204, 512.7, , , , , 
DR_0205, 324.0, , , , , 
DR_0207, 248.0, , , , , 
DR_0209, 614.0, , 600:1:0.0535714:0.137931, , , 
DR_0210, 250.0, , , , , 
DR_0211, 721.3, , 400:1:0.0444444:0.166667, , , 
DR_0212, 71.3, , , , , 
DR_0214, 43.7, , , 300:3:0.222222:0.222222;300:3:0.197802:0.197802, , 
DR_0216, 81.3, , , , , 
DR_0219, 907.3, , , , , 
DR_0220, 466.0, , , , , 
DR_0222, 1311.3, , , , 400:1:0.0387597:0.21875, 
DR_0223, 529.3, , , , , 
DR_0226, 541.3, , , 800:3:0.125:0.125;800:3:0.166667:0.166667, , 
DR_0227, 255.7, , , , , 
DR_0229, 938.0, , , , , 
DR_0230, 228.3, , , , , 
DR_0234, 66.3, , , , , 
DR_0235, 921.0, , , , , 600:1:0.0196078:0.1875
DR_0236, 93.7, , , , , 
DR_0238, 438.7, , , , , 
DR_0240, 469.0, , , , , 
DR_0241, 118.3, , , , , 
DR_0243, 1280.7, , , , , 
DR_0245, 105.3, , , , , 
DR_0247, 111.3, , , , , 
DR_0248, 435.0, , , , , 
DR_0249, 406.7, , , , , 
DR_0250, 1131.7, , , 200:3:0.904348:0.904348;400:1:0:0.227273, , 
DR_0253, 178.0, , , , , 
DR_0256, 987.0, , , , , 
DR_0257, 2150.3, , , , , 
DR_0258, 532.0, 400:1:0:0.202532;400:3:0.0625:0.168317, 300:3:0.117647:0.194444;600:3:0.166667:0.166667;800:3:0.181818:0.181818;800:3:0.125:0.125;600:3:0.193548:0.193548, 800:3:0.2:0.2;400:1:0:0.230769;400:1:0:0.15;500:1:0:0.128205;400:1:0:0.153846;400:1:0:0.142857;400:1:0:0.177778;500:1:0:0.133333, 700:3:0.153846:0.163934;500:3:0.137931:0.164179;700:3:0.148148:0.148148, 400:3:0.192771:0.192771;400:3:0.172414:0.207547;400:3:0.15:0.163934;400:3:0.0947368:0.185185;400:3:0.155556:0.172414;400:3:0.105263:0.166667
DR_0259, 363.0, , , , , 
DR_0260, 305.7, , , , , 
DR_0264, 1394.3, 400:3:0.0368098:0.147239, , , , 
DR_0267, 953.7, 400:3:0.0855615:0.166667, 400:3:0.0645161:0.225806;400:1:0.0543478:0.193548;600:1:0.0549451:0.193548;400:3:0.0769231:0.193548;400:3:0.0549451:0.225806;400:1:0.0879121:0.21875;400:3:0.0804598:0.212121;600:3:0.0823529:0.205882;400:1:0.0843373:0.169811;400:3:0.125:0.194444;400:3:0.0875:0.166667;400:3:0.0864198:0.146341, 400:1:0:0.127119;400:1:0.0131579:0.156522;400:1:0:0.132743;400:1:0:0.145455;400:1:0:0.144144, 400:3:0.0696517:0.166667;400:3:0.079602:0.152542;400:3:0.080402:0.148148;400:3:0.0904523:0.183486;400:3:0.111675:0.25;400:3:0.116751:0.175926, 400:3:0.081448:0.142857;400:3:0.100457:0.156463;400:3:0.106481:0.205128;400:3:0.119048:0.165517;400:3:0.113861:0.176056;400:3:0.138614:0.170213
DR_0268, 679.0, , , , , 
DR_0269, 346.0, 400:1:0.0238095:0.2;700:3:0.172131:0.172131;400:1:0.0359712:0.3;500:3:0.141791:0.161765;500:1:0.0655738:0.222222, 800:3:0.166667:0.2;400:1:0.0425532:0.333333;700:1:0.0408163:0.115385;400:1:0.0212766:0.333333, 800:3:0.176471:0.176471;500:3:0.0833333:0.152542;400:3:0.212766:0.212766;800:3:0.132075:0.132075;400:1:0.0377358:0.25;800:3:0.137255:0.137255, 500:1:0.0736842:0.3;400:1:0.0408163:0.142857;600:1:0.0186916:0.222222;800:3:0.132075:0.193548;500:1:0.05:0.222222;700:1:0.0175439:0.147059;400:1:0.00917431:0.131579;700:3:0.128788:0.285714, 500:3:0.0859375:0.25;500:3:0.0592105:0.156863;400:1:0.0535714:0.181818
DR_0271, 225.0, , , , , 
DR_0273, 197.3, , , , , 
DR_0276, 176.7, , , , , 
DR_0277, 83.3, , , , , 
DR_0279, 22.3, , , , , 
DR_0280, 832.0, , , , , 
DR_0281, 236.0, , , , , 
DR_0282, 728.3, , , , , 
DR_0283, 149.7, , 400:1:0.0204082:0.1875;400:1:0.0408163:0.230769, , , 
DR_0286, 344.7, , , , , 
DR_0287, 2159.7, , , 800:3:0.142857:0.142857, , 
DR_0288, 502.0, , , , , 600:1:0.0246914:0.136364
DR_0290, 893.3, , , , , 
DR_0291, 225.0, , , , , 
DR_0294, 369.0, , , 800:3:0.125:0.125;800:3:0.12:0.12;400:3:0.210526:0.210526, , 
DR_0295, 391.0, , , , , 
DR_0297, 381.3, , , , , 
DR_0299, 164.7, , , , , 
DR_0300, 595.7, , , , , 
DR_0302, 1202.7, , , , , 
DR_0303, 134.0, , , , , 
DR_0306, 264.0, , , , , 
DR_0307, 1315.3, , , , , 
DR_0309, 726.7, , , , , 
DR_0311, 456.7, , , , 100:1:0.027027:0.193258, 
DR_0315, 159.0, , , , , 
DR_0317, 315.3, 400:1:0.0427046:0.153846, , , , 
DR_0318, 226.7, , , , , 
DR_0325, 716.3, , , , , 
DR_0326, 351.3, , , , , 
DR_0327, 792.0, , , , , 
DR_0329, 653.0, , 400:1:0.0117647:0.138889;400:1:0.025:0.147059;400:1:0.0121951:0.125, 800:3:0.2:0.2, , 
DR_0330, 1153.0, , , , , 
DR_0331, 60.7, , , , , 
DR_0332, 842.0, , , , , 
DR_0334, 973.3, , 400:1:0.0294118:0.25, , , 
DR_0335, 884.7, 400:1:0.0242424:0.1875, , , , 
DR_0336, 964.7, , , , , 
DR_0337, 470.7, , , , , 
DR_0340, 229.0, 300:1:0.0731707:0.222222, 400:1:0.117647:0.285714;800:3:0.176471:0.2;300:3:0.382353:0.382353;700:3:0.1875:0.333333, 300:3:0.272727:0.272727;300:3:0.272727:0.4;300:3:0.3:0.333333;300:3:0.5:0.5;500:3:0.227273:0.227273;800:3:0.142857:0.142857, , 
DR_0341, 97.7, , , , , 
DR_0342, 83.7, , , , , 
DR_0343, 342.7, , , , , 
DR_0345, 382.7, , , , , 
DR_0346, 1145.3, , , , , 
DR_0348, 503.3, , 400:1:0.04:0.128205, , , 
DR_0349, 1562.7, , , 300:2:0.963636:0.963636, , 
DR_0350, 862.0, , , , , 600:1:0.0583333:0.155963
DR_0353, 1431.7, , , , , 
DR_0355, 122.7, , , , , 
DR_0357, 151.3, , , , , 
DR_0358, 663.7, , , , , 
DR_0360, 79.7, , , , , 
DR_0362, 609.3, 800:3:0.147541:0.147541, 400:3:0.135135:0.135135;400:3:0.105263:0.125;400:1:0.0833333:0.157895;800:3:0.157895:0.157895;800:3:0.102564:0.166667, 400:1:0:0.14;400:1:0:0.155556, 400:1:0.0597015:0.192308;400:1:0.0447761:0.153846;400:1:0.0441176:0.185185;500:1:0.037037:0.162162, 500:1:0.0240964:0.132075
DR_0363, 1256.3, , , , , 
DR_0364, 735.3, 400:3:0.126582:0.216667;400:3:0.115385:0.233333;400:1:0.0641026:0.205479;400:3:0.0769231:0.25;400:3:0.108108:0.211268;400:3:0.0972222:0.202899;400:3:0.111111:0.304348;400:3:0.111111:0.267857;400:3:0.15:0.320755;800:3:0.172414:0.172414, 400:3:0.190476:0.190476;400:3:0.170732:0.170732;400:3:0.125:0.146341;400:3:0.102564:0.162162;400:3:0.0882353:0.162162;400:3:0.147059:0.204082;400:3:0.176471:0.216216;400:3:0.142857:0.230769;800:3:0.133333:0.137931, 400:1:0:0.160714;400:1:0:0.2;400:1:0:0.142857;400:1:0:0.178571;400:1:0:0.145455;400:1:0:0.148148;400:1:0:0.194805;400:1:0:0.188679;400:1:0:0.234043, 400:3:0.142857:0.231293;500:3:0.107143:0.225352;400:3:0.0722892:0.198582;400:3:0.060241:0.216783;400:3:0.102564:0.221429;400:3:0.0526316:0.206349;400:3:0.142857:0.270677;400:3:0.118421:0.242424;400:3:0.140625:0.320755, 400:3:0.130952:0.192308;400:3:0.150602:0.230769;400:3:0.108434:0.179775;400:3:0.113772:0.192308;400:3:0.0939597:0.194444;400:3:0.167785:0.239437;400:3:0.0965517:0.211268;400:3:0.155039:0.274194
DR_0366, 205.7, , , , , 
DR_0367, 177.7, , , 400:1:0.0526316:0.184874;100:1:0.0512821:0.25, , 
DR_0369, 169.0, , , 300:3:0.139535:0.139535;800:3:0.177778:0.177778;300:3:0.209302:0.209302, , 
DR_0372, 1141.0, , , 400:1:0:0.12963, , 
DR_0373, 860.7, , 400:1:0:0.133333;400:1:0.0689655:0.172414;400:3:0.141176:0.141176;400:3:0.186667:0.186667;700:3:0.162162:0.162162, 400:1:0:0.155556;400:1:0:0.14876;400:1:0:0.125, , 400:1:0.018018:0.121951
DR_0375, 325.0, , , , , 
DR_0378, 154.7, , , , , 
DR_0379, 1275.3, , 400:1:0.0181818:0.178571, 400:1:0:0.125, 400:3:0.0794702:0.161765;400:3:0.0641026:0.139241, 400:3:0.0941176:0.192661
DR_0380, 281.7, , , , , 
DR_0382_2, 550.7, , , , , 
DR_0383, 362.7, , , 800:3:0.147541:0.147541, , 
DR_0386, 770.3, , , , , 
DR_0388, 332.3, , , , , 
DR_0389, 160.7, , , , , 
DR_0390, 1058.0, , , , , 
DR_0392, 786.0, , , 400:3:0.186992:0.186992, , 
DR_0393, 813.7, , , , , 
DR_0395, 687.3, , , 800:3:0.163636:0.163636, , 
DR_0397, 765.3, , , , , 
DR_0399, 776.0, , , , , 
DR_0400, 1200.3, , 400:1:0.0792079:0.230769, , , 
DR_0401, 319.7, , , , , 
DR_0403, 373.0, , , , , 
DR_0405, 1817.3, , , , , 
DR_0406, 486.3, , , , , 
DR_0408, 355.0, , , , , 
DR_0409, 366.3, , , , , 
DR_0410, 269.3, , , , , 
DR_0411, 491.7, , , , , 
DR_0412, 731.7, , , , , 
DR_0413, 154.7, , , , , 
DR_0414, 453.3, , , , , 
DR_0415, 1224.3, , 400:1:0.0568182:0.157895, 800:3:0.135135:0.135135, , 
DR_0416, 224.3, , , , , 
DR_0417, 258.7, , , , , 
DR_0418, 210.3, , , , , 
DR_0419, 301.0, , , , , 
DR_0420, 1773.3, , 400:1:0.0106383:0.176471, , , 
DR_0421, 313.7, , , , , 
DR_0422, 674.0, , , , , 
DR_0423, 525.3, , , , , 
DR_0424, 543.0, , , , , 
DR_0425, 669.3, , , , , 
DR_0426, 472.3, , , , , 
DR_0427, 652.7, , , , , 
DR_0428, 415.3, , , , , 
DR_0429, 614.3, , , 500:3:0.1875:0.1875;200:3:0.163265:0.203008;200:3:0.294118:0.294118;500:3:0.169492:0.169492, 500:3:0.183246:0.285714, 
DR_0430, 1163.3, , , , , 
DR_0431, 596.7, , , , , 
DR_0432, 491.3, , , , , 
DR_0433, 704.7, , , , , 
DR_0434, 871.0, , , , , 
DR_0435, 495.7, , , , , 
DR_0436, 1000.3, , 400:1:0:0.176471;400:1:0:0.151515;400:1:0.0277778:0.136364, , , 
DR_0437, 229.3, , , , , 
DR_0438, 314.0, , , , , 
DR_0439, 420.7, , , , , 
DR_0440, 496.3, , , , , 
DR_0441, 373.0, , , , , 
DR_0442, 920.3, , , , , 
DR_0443, 1046.7, , , , , 
DR_0444, 845.7, , , , , 
DR_0445, 533.0, , , , , 
DR_0446, 281.7, , , , , 
DR_0447, 486.0, , , , , 
DR_0448, 152.7, , , , , 
DR_0449, 586.7, , , , , 
DR_0450, 691.3, , , , , 
DR_0451, 1092.7, 400:1:0.00806452:0.166667, , , , 
DR_0452, 303.3, , , , , 
DR_0453, 449.3, , , , , 
DR_0454, 647.0, , , , , 
DR_0455, 625.0, , , , , 
DR_0456, 576.0, , 800:3:0.146341:0.146341, , , 
DR_0457, 316.0, , , , , 
DR_0458, 1853.3, , 800:3:0.208333:0.208333;800:3:0.192308:0.192308;800:3:0.230769:0.230769;800:3:0.35:0.35;800:3:0.190476:0.190476;300:3:0.285714:0.285714;800:3:0.25:0.25;800:3:0.210526:0.210526;800:3:0.3:0.3;300:1:0.05:0.114286, 300:3:0.3125:0.3125;300:3:0.352941:0.352941;500:3:0.294118:0.294118;400:3:0.368421:0.368421;500:3:0.210526:0.222222;800:3:0.235294:0.235294;400:1:0:0.307692, 500:3:0.192308:0.4;700:1:0.0408163:0.2;700:3:0.122449:0.272727, 800:3:0.114583:0.25;400:3:0.0895522:0.3
DR_0459, 606.0, , , , , 
DR_0460, 1533.0, , , , , 
DR_0461, 611.7, , 400:1:0:0.142857, , , 
DR_0462, 662.3, , , , , 
DR_0463, 2286.7, , , , , 
