Identifier, Size, 0J1, 0J2, 0J3, 0J4, 0J5
FFI39_RS00250, 408.3, , , , , 
FFI39_RS00255, 2211.3, , , , , 
FFI39_RS00260, 376.7, , , , , 
FFI39_RS00265, 779.7, , , , , 
FFI39_RS00270, 930.3, , , , , 
FFI39_RS00275, 1754.7, , , , , 
FFI39_RS00280, 175.0, , , , , 
FFI39_RS00285, 131.0, , , , , 
FFI39_RS00290, 177.0, , , , , 
FFI39_RS00295, 134.0, , , , , 
FFI39_RS00300, 856.3, , , , , 
FFI39_RS00305, 451.7, , , , , 
FFI39_RS00310, 361.3, , , , , 
FFI39_RS00315, 1308.3, , , , , 
FFI39_RS00320, 546.7, , , , , 
FFI39_RS00325, 408.0, , , , , 
FFI39_RS00330, 2183.7, , , , , 
FFI39_RS00335, 303.3, , , , , 
FFI39_RS00340, 678.0, , , , , 
FFI39_RS00345, 798.3, , , 500:3:0.12987:0.5;700:3:0.153846:0.333333;700:3:0.126761:0.333333;700:3:0.1:0.285714;700:3:0.15873:0.166667, , 
FFI39_RS00350, 764.7, , , , , 
FFI39_RS00355, 1249.3, , , , , 
FFI39_RS00360, 818.0, 700:3:0.242857:0.242857;700:3:0.180645:0.180645;700:3:0.207547:0.207547;700:3:0.150943:0.150943;700:3:0.18239:0.18239;700:3:0.179012:0.179012, , 700:3:0.150685:0.150685, , 
FFI39_RS00365, 754.3, , , , , 
FFI39_RS00370, 816.0, , , , , 
FFI39_RS00375, 927.3, , , , , 
FFI39_RS00380, 582.0, , , , , 
FFI39_RS00385, 847.7, , , , , 
FFI39_RS00390, 1781.7, , , , , 
FFI39_RS00395, 226.7, , , , , 
FFI39_RS00400, 261.0, , , , , 
FFI39_RS00405, 1709.7, , , 600:1:0.0181818:0.181818, , 
FFI39_RS00410, 1689.0, , , , , 
FFI39_RS00415, 269.7, , , , , 
FFI39_RS00420, 358.3, , , , , 
FFI39_RS00425, 271.0, , , , , 
FFI39_RS00430, 1632.0, , , , , 200:3:0.666667:0.825
FFI39_RS00435, 475.3, , , , , 
FFI39_RS00440, 898.0, , , , , 
FFI39_RS00445, 1187.0, , , , , 
FFI39_RS00450, 691.0, , , , , 
FFI39_RS00455, 1629.0, , , , , 
FFI39_RS00460, 912.3, , , , , 
FFI39_RS00465, 1559.0, , , , , 
FFI39_RS00470, 3150.3, , , , , 
FFI39_RS00475, 428.0, 300:3:0.867133:0.867133, , , , 
FFI39_RS00480, 1535.3, , , , , 
FFI39_RS00485, 391.7, , , , , 
FFI39_RS00490, 586.0, , , 500:1:0.0392157:0.153846, 500:3:0.360656:0.360656, 
FFI39_RS00495, 448.7, , , 200:3:0.145455:0.208333;500:1:0.0727273:0.208333;100:3:0.265306:0.285714, , 
FFI39_RS00500, 261.7, , , , , 
FFI39_RS00505, 293.7, , , , , 
FFI39_RS00510, 276.3, , , , , 
FFI39_RS00515, 360.3, , , , , 
FFI39_RS00520, 631.7, , , , , 
FFI39_RS00525, 640.3, , , , , 
FFI39_RS00530, 520.7, , , , , 
FFI39_RS00535, 469.7, , , , , 
FFI39_RS00540, 862.3, , , , , 
FFI39_RS00545, 697.7, , , , , 
FFI39_RS00550, 995.7, , , , , 
FFI39_RS00555, 507.0, , , , 700:3:0.25:0.25, 
FFI39_RS00560, 938.0, , , , , 
FFI39_RS00565, 239.0, , , , , 
FFI39_RS00570, 584.0, , , , , 
FFI39_RS00575, 792.7, , , , , 
FFI39_RS00580, 308.0, , , , , 
FFI39_RS00585, 544.7, , , 700:3:0.190476:0.190476;600:3:0.285714:0.285714;700:3:0.210526:0.210526;700:3:0.222222:0.222222;800:3:0.222222:0.222222;700:3:0.277778:0.277778, , 
FFI39_RS00590, 655.0, , , , , 
FFI39_RS00595, 437.3, , , , , 
FFI39_RS00600, 595.0, , , , , 
FFI39_RS00605, 705.3, , , , , 200:1:0.0833333:0.13
FFI39_RS00610, 1167.7, , , 100:1:0.0588235:0.234043, , 
FFI39_RS00615, 3610.0, 700:3:0.109756:0.184783;700:3:0.117647:0.148936;700:3:0.119048:0.138614, , 500:1:0.0666667:0.180124, , 200:3:0.130435:0.253731
FFI39_RS00620, 632.7, , , , , 
FFI39_RS00625, 618.0, , , , , 
FFI39_RS00630, 890.3, , , , , 
FFI39_RS00635, 2413.3, , , , , 
FFI39_RS00640, 392.7, , , , , 
FFI39_RS00645, 499.3, , , , , 
FFI39_RS00650, 1301.3, , , , , 
FFI39_RS00655, 534.0, , , , , 
FFI39_RS00660, 324.7, , , , , 
FFI39_RS00665, 1382.0, , , , , 
FFI39_RS00670, 1245.3, , , , , 
FFI39_RS00675, 10045.3, , , 200:3:0.169014:0.27027;500:3:0.150685:0.225, , 800:3:0.179487:0.179487;600:3:0.097561:0.277778
FFI39_RS00680, 704.0, , , 600:1:0.0789474:0.25, , 
FFI39_RS00685, 414.0, , , , , 
FFI39_RS00690, 646.0, , , , , 
FFI39_RS00695, 369.3, , , , , 
FFI39_RS00700, 1859.7, , , , , 
FFI39_RS00705, 349.7, , , , , 
FFI39_RS00710, 343.3, , , , , 
FFI39_RS00715, 450.7, , , , , 
FFI39_RS00720, 338.0, , , , , 
FFI39_RS00725, 346.3, , , , , 
FFI39_RS00730, 407.7, , , , , 
FFI39_RS00735, 1009.7, , , , , 
FFI39_RS00740, 1454.3, , , 300:3:0.166667:0.222222, , 
FFI39_RS00745, 904.7, , , , , 
FFI39_RS00750, 576.3, , , , , 
FFI39_RS00755, 902.0, , , 500:1:0.0727273:0.181818, , 100:3:0.148148:0.265625;600:1:0.04:0.136364;600:1:0.0363636:0.111111;100:3:0.0508475:0.126582;400:1:0.0697674:0.084507
FFI39_RS00760, 779.7, , , , , 
FFI39_RS00765, 893.0, , , , , 
FFI39_RS00770, 2088.7, , , , , 
FFI39_RS00775, 1453.7, , , , , 
FFI39_RS00780, 1041.7, , , , , 
FFI39_RS00785, 1135.3, , , , , 
FFI39_RS00790, 214.0, , , , , 
FFI39_RS00795, 2999.0, , , , , 
FFI39_RS00800, 99.0, , , , , 
FFI39_RS00805, 160.0, , , , , 
FFI39_RS00810, 1641.0, , , , , 
FFI39_RS00815, 561.7, , , , , 
FFI39_RS00820, 560.0, , , , , 
FFI39_RS00825, 490.3, , , , , 
FFI39_RS00830, 527.0, , , , , 
FFI39_RS00835, 714.7, , , , , 
FFI39_RS00840, 214.0, , , , , 
FFI39_RS00845, 2999.0, , , , , 
FFI39_RS00850, 99.0, , , , , 
FFI39_RS00855, 161.0, , , 600:1:0.0576923:0.130435, , 
FFI39_RS00860, 1641.0, , , , , 
FFI39_RS00865, 1133.3, , , , , 
FFI39_RS00870, 467.0, , , , , 
FFI39_RS00875, 763.7, , , , , 
FFI39_RS00880, 602.3, , , , , 
FFI39_RS00885, 815.0, , , , , 
FFI39_RS00890, 1317.7, , , , , 
FFI39_RS00895, 1051.7, , , 600:1:0.0266667:0.172414, , 
FFI39_RS00900, 765.3, , , , , 
FFI39_RS00905, 873.0, , , , , 
FFI39_RS00910, 987.0, , , , , 
FFI39_RS00915, 650.3, , , , , 
FFI39_RS00920, 1087.3, , , , , 
FFI39_RS00925, 1042.3, , , , , 
FFI39_RS00930, 419.7, , , , , 
FFI39_RS00935, 1281.0, , , , , 
FFI39_RS00940, 607.7, , , , , 
FFI39_RS00945, 1035.3, , , , , 
FFI39_RS00950, 882.3, , , , , 
FFI39_RS00955, 570.7, , , , , 
FFI39_RS00960, 843.7, , , , , 
FFI39_RS00965, 1630.7, , , , , 
FFI39_RS00970, 709.0, , , , , 
FFI39_RS00975, 697.7, , , , , 
FFI39_RS00980, 178.0, , , , , 
FFI39_RS00985, 523.0, , , , , 
FFI39_RS00990, 788.0, , , , , 
FFI39_RS00995, 955.0, , , 300:3:0.0833333:0.170455, , 100:1:0.030303:0.169811
FFI39_RS01000, 277.3, , , 100:3:0.125:0.233333, , 
FFI39_RS01005, 510.3, , , , , 
FFI39_RS01010, 502.0, , , , , 
FFI39_RS01015, 491.7, , , , , 
FFI39_RS01020, 540.0, , , , , 
FFI39_RS01025, 515.7, , , , , 
FFI39_RS01030, 404.0, , , , , 
FFI39_RS01035, 960.0, , , , , 
FFI39_RS01040, 507.3, , , , , 
FFI39_RS01045, 591.3, , , , , 
FFI39_RS01050, 314.7, , , , , 
FFI39_RS01055, 1740.0, , , , , 800:3:0.0888889:0.0888889
FFI39_RS01060, 586.3, , , , , 
FFI39_RS01065, 790.7, , , , , 
FFI39_RS01070, 607.3, , , , , 
FFI39_RS01075, 1187.0, , , , , 
FFI39_RS01080, 902.3, , , , , 
FFI39_RS01085, 315.7, , , , , 
FFI39_RS01090, 1363.7, , , , , 
FFI39_RS01095, 588.7, , , , , 
FFI39_RS01100, 779.3, , , , , 
FFI39_RS01105, 404.3, , , , , 
FFI39_RS01110, 1657.3, , , , , 
FFI39_RS01115, 1362.7, 700:3:0.0961538:0.134328, , , , 
FFI39_RS01120, 1137.0, , , , , 
FFI39_RS01125, 566.3, , , , , 
FFI39_RS01130, 1817.3, , , , , 
FFI39_RS01135, 135.0, , , , , 
FFI39_RS01140, 1183.0, , , , , 
FFI39_RS01145, 483.7, , , , , 
FFI39_RS01150, 159.7, , , , , 
FFI39_RS01155, 700.0, , , , , 
FFI39_RS01160, 1068.7, , , 800:3:0.144928:0.144928;700:3:0.135593:0.135593;700:3:0.118644:0.118644, , 
FFI39_RS01165, 461.3, , , , , 
FFI39_RS01170, 672.3, , , , , 
FFI39_RS01175, 2398.7, , , 600:1:0.0125:0.130435, , 
FFI39_RS01180, 615.0, , , 600:1:0.0588235:0.176471, , 
FFI39_RS01185, 531.7, , , , , 
FFI39_RS01190, 524.7, , , , , 
FFI39_RS01195, 663.0, , , , , 
FFI39_RS01200, 976.7, , , , , 
FFI39_RS01205, 1062.3, , , , , 200:3:0.126761:0.126761
FFI39_RS01210, 882.0, , , , , 
FFI39_RS01215, 1009.3, , , , , 400:3:0.116667:0.152542
FFI39_RS01220, 1656.3, , , , , 
FFI39_RS01225, 741.7, , , , , 
FFI39_RS01230, 852.0, , , , , 
FFI39_RS01235, 1247.0, 300:3:0.836879:0.913043, , , , 
FFI39_RS01240, 704.3, , , , , 
FFI39_RS01245, 763.7, , , , , 
FFI39_RS01250, 247.7, , , , , 
FFI39_RS01255, 1038.7, , , , , 
FFI39_RS01260, 383.3, , , , , 
FFI39_RS01265, 1024.0, , , , , 100:3:0.0869565:0.2
FFI39_RS01270, 406.0, , , , , 
FFI39_RS01275, 1150.3, , , 700:1:0.0217391:0.152542, , 
FFI39_RS01280, 2280.0, , , , , 
FFI39_RS01285, 364.0, , , , , 400:3:0.225806:0.268817
FFI39_RS01290, 755.7, , , , , 
FFI39_RS01295, 807.7, , , , , 
FFI39_RS01300, 665.0, , , , , 
FFI39_RS01305, 766.0, , , , , 
FFI39_RS01310, 935.3, , , , , 
FFI39_RS01315, 583.0, , , , , 
FFI39_RS01320, 377.7, , , , , 
FFI39_RS01325, 876.0, , , , , 
FFI39_RS01330, 2305.7, , , , , 
FFI39_RS01335, 1026.0, , , , , 
FFI39_RS01340, 464.3, , , , , 
FFI39_RS01345, 654.7, , , , , 
FFI39_RS01350, 690.3, , , , , 
FFI39_RS01355, 349.7, , , , , 
FFI39_RS01360, 424.0, , , , , 
FFI39_RS01365, 951.3, , , , , 
FFI39_RS01370, 335.3, , , , , 
FFI39_RS01375, 303.3, , , , , 
FFI39_RS01380, 1171.7, , , 200:3:0.25:0.3;200:3:0.155556:0.5;200:3:0.195122:0.434783;600:1:0.0217391:0.153846;200:3:0.137255:0.285714;300:3:0.0980392:0.25, , 
FFI39_RS01385, 693.0, , , , , 
FFI39_RS01390, 742.7, , , 700:3:0.134615:0.375, , 
FFI39_RS01395, 789.0, , , 600:1:0.0847458:0.176471, , 600:3:0.12:0.12
FFI39_RS01400, 1364.7, , , , , 
FFI39_RS01405, 383.3, , , , , 
FFI39_RS01410, 517.0, , , , , 
FFI39_RS01415, 373.3, , , , , 
FFI39_RS01420, 1919.7, , , , 500:3:0.227848:0.227848, 
FFI39_RS01425, 1349.0, , , , , 
FFI39_RS01430, 809.3, , , 600:1:0.037037:0.166667;300:1:0.0714286:0.32, 500:3:0.0851064:0.277778, 800:3:0.133333:0.133333;100:3:0.166667:0.166667
FFI39_RS01435, 803.0, , , , , 
FFI39_RS01440, 544.3, , , , , 
FFI39_RS01445, 713.3, , , , , 
FFI39_RS01450, 587.0, 400:3:0.0925926:0.2, , 600:1:0.0392157:0.15;300:3:0.0789474:0.230769;300:3:0.133333:0.21;300:3:0.106667:0.214286;300:1:0.0810811:0.163265;100:1:0.0675676:0.285714;300:1:0.0657895:0.153846;300:3:0.102564:0.210526, , 100:3:0.0512821:0.196078
FFI39_RS01455, 2540.0, , , , , 
FFI39_RS01460, 929.0, , , , , 
FFI39_RS01465, 802.7, , , , , 
FFI39_RS01470, 1174.3, , , , , 
FFI39_RS01475, 559.0, , , , , 
FFI39_RS01480, 1478.0, , , , 300:3:0.273438:0.324786, 
FFI39_RS01485, 421.3, , , , , 
FFI39_RS01490, 1127.3, , , 600:1:0.0675676:0.128205, , 
FFI39_RS01495, 659.0, , , , , 
FFI39_RS01500, 568.0, , , , , 
FFI39_RS01505, 479.0, , , , , 
FFI39_RS01510, 231.7, , , , , 
FFI39_RS01515, 550.3, , , , , 
FFI39_RS01520, 338.3, , , , , 
FFI39_RS01525, 831.3, , , , , 
FFI39_RS01530, 1263.7, , , , , 
FFI39_RS01535, 454.0, , , , , 
FFI39_RS01540, 2839.7, 300:1:0.0347826:0.236364;800:3:0.0947368:0.173913, , 500:1:0.127273:0.1875;500:1:0.0689655:0.214286, , 200:3:0.255814:0.416667;200:3:0.232558:0.28
FFI39_RS01545, 683.7, , , , , 
FFI39_RS01550, 372.0, , , , , 
FFI39_RS01555, 1342.7, , , , , 
FFI39_RS01560, 692.0, , , , , 
FFI39_RS01565, 540.7, , , , , 
FFI39_RS01570, 1004.0, , , , , 
FFI39_RS01575, 757.7, , , , , 
FFI39_RS01580, 750.3, , , , , 
FFI39_RS01585, 1617.3, , , , , 
FFI39_RS01590, 635.0, , , , , 
FFI39_RS01595, 956.3, , , , , 
FFI39_RS01600, 298.0, , , , , 
FFI39_RS01605, 352.3, , , , , 
FFI39_RS01610, 1572.7, , , , , 
FFI39_RS01615, 481.7, , , , , 
FFI39_RS01620, 688.7, , , , , 
FFI39_RS01625, 728.7, , , , , 
FFI39_RS01630, 376.7, , , , , 
FFI39_RS01635, 666.7, , , 800:3:0.142857:0.142857, , 
FFI39_RS01640, 261.3, , , , , 
FFI39_RS01645, 405.3, , , , , 
FFI39_RS01650, 411.3, , , , , 
FFI39_RS01655, 1236.7, , , , , 
FFI39_RS01660, 732.0, , , 300:3:0.194444:0.267606;300:1:0.0526316:0.157895, 500:3:0.238889:0.28972, 
FFI39_RS01665, 1086.3, , , , , 
FFI39_RS01670, 379.3, , , , , 
FFI39_RS01675, 891.3, 700:1:0.0166667:0.129032, , , , 
FFI39_RS01680, 470.3, , , , , 
FFI39_RS01685, 277.3, , , , , 
FFI39_RS01690, 137.3, , , , , 
FFI39_RS01695, 1080.3, , , , , 
FFI39_RS01700, 800.0, , , , , 800:3:0.179487:0.179487
FFI39_RS01705, 351.3, , , , , 
FFI39_RS01710, 1136.0, , , , , 
FFI39_RS01715, 1233.7, , , , , 
FFI39_RS01720, 933.0, , , , , 
FFI39_RS01725, 1261.3, , , , , 
FFI39_RS01730, 903.7, , , 800:3:0.166667:0.166667, , 
FFI39_RS01735, 964.7, , , , , 
FFI39_RS01740, 601.7, , , , , 
FFI39_RS01745, 1342.3, , , , , 
FFI39_RS01750, 843.7, , , , , 
FFI39_RS01755, 1279.3, , , , , 
FFI39_RS01760, 833.7, , , , , 
FFI39_RS01765, 942.3, , , , , 
FFI39_RS01770, 568.7, , , , , 
FFI39_RS01775, 837.3, , , , , 
FFI39_RS01780, 1307.7, , , , , 
FFI39_RS01785, 697.3, , , , , 
FFI39_RS01790, 495.0, , , , , 
FFI39_RS01795, 382.7, , , , , 
FFI39_RS01800, 649.3, , , , , 
FFI39_RS01805, 1181.7, , , , , 
FFI39_RS01810, 914.7, , , 700:3:0.171053:0.171053, , 
FFI39_RS01815, 534.3, , , , , 
FFI39_RS01820, 385.0, , , , , 
FFI39_RS01825, 1371.3, , , , , 
FFI39_RS01830, 540.0, , , , , 
FFI39_RS01835, 605.0, , , , , 
FFI39_RS01840, 685.3, , , , , 
FFI39_RS01845, 140.0, , , , , 
FFI39_RS01850, 773.3, , , , , 
FFI39_RS01855, 253.7, , , , , 
FFI39_RS01860, 2385.0, , , , , 
FFI39_RS01865, 912.7, , , , , 
FFI39_RS01870, 992.3, , , , , 
FFI39_RS01875, 413.0, , , , , 
FFI39_RS01880, 280.3, , , , , 
FFI39_RS01885, 695.3, , , , , 
FFI39_RS01890, 815.3, , , , , 
FFI39_RS01895, 517.0, , , , , 
FFI39_RS01900, 939.7, , , 600:1:0.0769231:0.136364, , 
FFI39_RS01905, 285.3, , , , , 
FFI39_RS01910, 719.3, , , , , 
FFI39_RS01915, 1029.3, , , , , 
FFI39_RS01920, 889.3, , , , , 
FFI39_RS01925, 712.7, , , , , 
FFI39_RS01930, 626.7, , , , , 
FFI39_RS01935, 1538.0, , , , , 
FFI39_RS01940, 611.3, , , , , 
FFI39_RS01945, 1424.0, , , , , 
FFI39_RS01950, 189.7, , , , , 
FFI39_RS01955, 550.3, , , , , 
FFI39_RS01960, 462.0, , , , , 
FFI39_RS01965, 611.3, , , , , 
FFI39_RS01970, 1185.0, , , , , 
FFI39_RS01975, 381.3, , , , , 
FFI39_RS01980, 530.3, 500:1:0.0609756:0.166667, , , , 200:3:0.0714286:0.166667
FFI39_RS01985, 546.7, , , , , 
FFI39_RS01990, 1355.3, , , , , 
FFI39_RS01995, 773.7, , , , , 
FFI39_RS02000, 1494.3, , , , , 
FFI39_RS02005, 443.3, , , , , 
FFI39_RS02010, 499.7, , , , , 
FFI39_RS02015, 386.3, , , , , 
FFI39_RS02020, 772.7, , , , , 
FFI39_RS02025, 633.0, , , , , 
FFI39_RS02030, 424.3, , , , , 
FFI39_RS02035, 1042.7, , , , , 
FFI39_RS02040, 573.0, , , , , 800:3:0.142857:0.142857
FFI39_RS02045, 799.7, , , 800:3:0.16:0.16, , 
FFI39_RS02050, 1282.3, , , , , 
FFI39_RS02055, 633.0, , , , , 
FFI39_RS02060, 462.3, , , , , 
FFI39_RS02065, 884.7, , , 500:1:0.0740741:0.162162, , 
FFI39_RS02070, 1032.3, , , , , 
FFI39_RS02075, 618.3, , , 200:3:0.305556:0.305556, 500:3:0.3:0.3, 200:1:0.0740741:0.190476;600:3:0.22:0.245902;100:3:0.102041:0.163934;100:3:0.183673:0.210526;800:3:0.1:0.1
FFI39_RS02080, 448.3, , , , , 
FFI39_RS02085, 189.0, , , , , 
FFI39_RS02090, 651.0, , , , , 200:3:0.666667:0.836066
FFI39_RS02095, 660.3, , , , , 
FFI39_RS02100, 1836.3, , , , , 
FFI39_RS02105, 702.3, , , , , 
FFI39_RS02110, 467.3, , , , , 
FFI39_RS02115, 993.7, , , , , 
FFI39_RS02120, 667.3, , , , , 
FFI39_RS02125, 1166.3, , , , , 
FFI39_RS02130, 504.0, , , , 300:3:0.111111:0.407407, 
FFI39_RS02135, 436.7, , , , , 
FFI39_RS02140, 800.7, , , , , 
FFI39_RS02145, 430.3, , , , , 
FFI39_RS02150, 388.7, , , , , 
FFI39_RS02155, 517.0, , , , , 
FFI39_RS02160, 1614.3, 700:3:0.0804598:0.179487;700:3:0.091954:0.175;700:3:0.0675676:0.171429;700:3:0.0833333:0.205882, , , , 
FFI39_RS02165, 1407.3, , , 800:3:0.150943:0.150943, , 
FFI39_RS02170, 942.3, , , , , 
FFI39_RS02175, 1175.0, , , , , 
FFI39_RS02180, 1694.7, , , , , 
FFI39_RS02185, 1701.0, , , , , 
FFI39_RS02190, 525.7, , , , , 
FFI39_RS02195, 175.0, , , , , 
FFI39_RS02200, 482.0, , , , , 
FFI39_RS02205, 435.3, , , , , 
FFI39_RS02210, 2117.0, , , , , 
FFI39_RS02215, 1125.7, , , , , 
FFI39_RS02220, 754.7, , , , , 
FFI39_RS02225, 837.7, , , , , 
FFI39_RS02230, 1422.7, , , , , 
FFI39_RS02235, 761.7, , , , , 
FFI39_RS02240, 1154.7, , , , , 
FFI39_RS02245, 626.7, , , , , 
FFI39_RS02250, 1297.3, , , , , 
FFI39_RS02255, 878.0, , , 600:1:0.0471698:0.162162;600:1:0.00943396:0.128205, , 
FFI39_RS02260, 834.0, , , , , 
FFI39_RS02265, 1170.0, , , , , 
FFI39_RS02270, 788.0, , , , , 
FFI39_RS02275, 711.7, , , , , 
FFI39_RS02280, 760.0, , , , , 
FFI39_RS02285, 813.3, , , , , 
FFI39_RS02290, 992.0, , , , , 200:3:0.0980392:0.12
FFI39_RS02295, 568.0, , , , , 
FFI39_RS02300, 696.0, , , , , 
FFI39_RS02305, 1131.7, 400:1:0.034188:0.230769, , 300:1:0.0434783:0.277778;600:1:0.0434783:0.166667, , 
FFI39_RS02310, 657.0, , , , , 
FFI39_RS02315, 742.3, , , , , 
FFI39_RS02320, 669.0, , , , , 
FFI39_RS02325, 1246.0, , , , , 
FFI39_RS02330, 668.3, , , , , 
FFI39_RS02335, 460.7, , , 300:1:0.0322581:0.363636, , 
FFI39_RS02340, 858.7, , , , , 
FFI39_RS02345, 1116.7, , , , , 
FFI39_RS02350, 721.7, , , , , 
FFI39_RS02355, 800.0, , , , , 
FFI39_RS02360, 897.7, , , , , 
FFI39_RS02365, 870.0, , , , , 
FFI39_RS02370, 231.3, , , , , 
FFI39_RS02375, 1350.0, , , , , 
FFI39_RS02380, 329.3, , , , , 
FFI39_RS02385, 202.0, , , , , 
FFI39_RS02390, 842.7, , , , , 
FFI39_RS02395, 552.7, , , , , 
FFI39_RS02400, 868.0, , , , , 
FFI39_RS02405, 340.7, , , , 300:3:0.211111:0.285714, 
FFI39_RS02410, 862.0, , , , , 
FFI39_RS02415, 2783.3, , , , , 
FFI39_RS02420, 805.0, , , , , 
FFI39_RS02425, 973.7, , , , , 
FFI39_RS02430, 888.3, , , , 300:3:0.238095:0.281553, 
FFI39_RS02435, 237.7, , , , , 
FFI39_RS02440, 448.3, , , , , 
FFI39_RS02445, 1115.3, , , , , 
FFI39_RS02450, 622.7, , , , , 
FFI39_RS02455, 1076.7, , , , , 
FFI39_RS02460, 241.0, , , , , 
FFI39_RS02465, 1039.3, , , , , 
FFI39_RS02470, 354.0, , , , , 
FFI39_RS02475, 436.3, , , , , 
FFI39_RS02480, 925.3, , , , , 
FFI39_RS02485, 1055.0, , , , , 
FFI39_RS02490, 727.0, , , , , 600:3:0.155556:0.2
FFI39_RS02495, 708.0, , , , , 
FFI39_RS02500, 802.7, , , , , 
FFI39_RS02505, 834.0, , , , , 
FFI39_RS02510, 753.7, , , , , 
FFI39_RS02515, 383.7, , , , , 
FFI39_RS02520, 291.3, , , , , 
FFI39_RS02525, 258.0, , , , , 
FFI39_RS02530, 346.7, , , , , 
FFI39_RS02535, 562.3, , , , , 
FFI39_RS02540, 725.0, , , , , 
FFI39_RS02545, 1106.3, , , , , 
FFI39_RS02550, 508.0, , , , , 
FFI39_RS02555, 829.3, , , , , 
FFI39_RS02560, 808.7, , , , , 
FFI39_RS02565, 1452.0, , , , , 
FFI39_RS02570, 848.7, , , , , 
FFI39_RS02575, 1594.3, , , , , 
FFI39_RS02580, 317.7, , , , , 
FFI39_RS02585, 2150.7, 400:1:0.0363636:0.15, , 500:1:0.115385:0.152542, , 800:3:0.142857:0.142857;800:3:0.130435:0.130435;400:1:0.125:0.132075
FFI39_RS02590, 526.3, , , , , 
FFI39_RS02595, 1059.0, , , , , 400:3:0.266667:0.428571
FFI39_RS02600, 332.3, , , , , 
FFI39_RS02605, 880.3, , , , , 
FFI39_RS02610, 1053.0, , , , , 
FFI39_RS02615, 553.7, , , , , 
FFI39_RS02620, 1022.0, , , , , 
FFI39_RS02625, 297.7, , , , , 
FFI39_RS02630, 310.0, , , , , 
FFI39_RS02635, 360.3, , , , , 
FFI39_RS02640, 903.7, , , , , 
FFI39_RS02645, 1442.0, , , , , 
FFI39_RS02650, 2204.7, , , , , 
FFI39_RS02655, 787.0, , , , , 
FFI39_RS02660, 506.3, , , , , 
FFI39_RS02665, 270.0, , , , , 
FFI39_RS02670, 258.7, , , , , 
FFI39_RS02675, 102.0, , , , , 
FFI39_RS02680, 479.3, , , , , 
FFI39_RS02685, 577.7, , , , , 
FFI39_RS02690, 623.0, , , , , 
FFI39_RS02695, 1086.3, , , , , 
FFI39_RS02700, 555.0, , , , , 
FFI39_RS02705, 441.7, , , , , 
FFI39_RS02710, 906.7, , , , , 
FFI39_RS02715, 558.7, , , , , 
FFI39_RS02720, 276.0, , , , , 
FFI39_RS02725, 813.7, , , 500:3:0.169811:0.227273;500:1:0.0943396:0.368421;300:1:0.0943396:0.181818, , 
FFI39_RS02730, 427.0, , , , , 
FFI39_RS02735, 479.7, , , , , 
FFI39_RS02740, 226.3, , , , , 
FFI39_RS02745, 430.0, , , 300:1:0:0.3;600:3:0.130435:0.3, , 
FFI39_RS02750, 580.7, , , , , 
FFI39_RS02755, 1188.0, , , , , 600:1:0.025641:0.108696
FFI39_RS02760, 1178.3, , , , , 
