Identifier, Size, 0C1, 0C2, 0C3, 0C4, 0C5
CCNA_00087, 928.0, 400:1:0.05:0.193548;100:3:0.089172:0.25;300:3:0.0728477:0.2;300:3:0.0791367:0.266667, 100:3:0.0895522:0.232759, , , 
CCNA_00088, 1139.7, , , , , 
CCNA_00089, 1851.7, , , , , 
CCNA_00090, 830.3, , , , , 
CCNA_00091, 648.3, , , , , 
CCNA_00092, 756.7, , , , , 
CCNA_00093, 225.3, , , , , 
CCNA_00094, 800.0, , 300:3:0.123377:0.208333;300:3:0.09375:0.2;300:3:0.0914634:0.27027, , , 
CCNA_00095, 814.7, , , , , 
CCNA_00096, 649.3, , , , , 
CCNA_00097, 384.0, , , , 300:1:0.0361446:0.25, 
CCNA_00098, 220.7, , , , , 
CCNA_00099, 1280.0, 500:3:0.230769:0.230769;500:3:0.333333:0.333333, 400:3:0.156522:0.333333;600:1:0.0625:0.142857;300:3:0.119266:0.428571;800:3:0.108911:0.166667, 400:2:0.933333:0.989247;300:1:0.0506329:0.189655, 500:3:0.0862069:0.2;700:1:0.0423729:0.5;600:3:0.108108:0.3;700:3:0.102362:0.2, 700:3:0.172414:0.172414;700:3:0.166667:0.166667;600:1:0.0322581:0.135135
CCNA_00100, 593.7, , , , , 
CCNA_00101, 1036.0, , 500:3:0.181818:0.214286;200:1:0.0657895:0.25;300:1:0.0140845:0.166667, , 600:3:0.148148:0.171875;500:3:0.148649:0.2;400:1:0.028169:0.125;300:3:0.144737:0.25, 400:1:0:0.184211
CCNA_00102, 180.0, , , , , 
CCNA_00103, 1337.0, 400:1:0.030303:0.142857;600:1:0.0344828:0.428571, , , , 
CCNA_00104, 614.7, 300:1:0.027027:0.153846, , , , 
CCNA_00105, 516.0, , , , , 
CCNA_00106, 967.7, , , , , 
CCNA_00107, 155.3, , , , , 
CCNA_00108, 518.3, , , , , 
CCNA_00109, 772.7, , , , , 
CCNA_00110, 457.7, , , , , 
CCNA_00111, 585.0, , , , , 
CCNA_00112, 293.3, , , , , 
CCNA_00113, 500.7, , , , , 
CCNA_00114, 232.0, , , , , 
CCNA_00115, 2581.7, , , 700:3:0.142857:0.142857, 700:3:0.0384615:0.181818;700:3:0.11039:0.142857;800:3:0.124183:0.124183;700:3:0.12931:0.142857;700:3:0.165217:0.178571, 
CCNA_00116, 1103.0, , , , 700:1:0.0703125:0.181818, 
CCNA_00117, 1412.7, , , , , 
CCNA_00118, 1697.7, , , , , 
CCNA_00119, 341.3, , , , , 
CCNA_00120, 379.3, , , , , 
CCNA_00121, 348.7, , , , , 
CCNA_00122, 375.7, , , , , 
CCNA_00123, 590.3, , , , , 
CCNA_00124, 540.3, , , , , 
CCNA_00125, 495.0, , , 500:3:0.778689:0.8, , 
CCNA_00126, 402.0, , , , , 
CCNA_00127, 253.3, 700:3:0.142857:0.142857, , , 700:1:0.0485437:0.195652, 
CCNA_00128, 1015.3, , , , , 
CCNA_00129, 268.7, , , , , 
CCNA_00130, 1582.7, , 600:3:0.752:0.752, , , 
CCNA_00131, 406.7, 600:1:0.02:0.190476, , , , 
CCNA_00132, 687.0, , , , , 
CCNA_00133, 1012.7, , , , , 
CCNA_00134, 398.3, , , , , 
CCNA_00135, 622.0, , , , , 
CCNA_00136, 1258.0, , , , 300:3:0.121795:0.185185;300:1:0.0503145:0.169811, 100:3:0.213333:0.213333;100:3:0.14375:0.208791
CCNA_00137, 1214.3, , 500:1:0.072:0.166667, 500:3:0.125:0.285714, , 
CCNA_00138, 1724.7, , , , , 
CCNA_00139, 1270.0, 600:1:0.0566038:0.166667;300:3:0.134021:0.173913, , , 500:3:0.0882353:0.151515, 
CCNA_00140, 773.0, , , , , 
CCNA_00141, 593.7, 400:1:0.09375:0.288462, , , , 
CCNA_00142, 273.0, , , , , 
CCNA_00143, 662.7, , , , , 
CCNA_00144, 839.3, 600:1:0.030303:0.222222, , , , 
CCNA_00145, 461.3, , , , , 
CCNA_00146, 436.7, , , , , 
CCNA_00147, 185.7, , , , , 
CCNA_00148, 464.3, , , , , 
CCNA_00149, 185.7, , , , , 
CCNA_00150, 811.3, 500:3:0.111111:0.166667;500:1:0:0.130435, 600:1:0.0559441:0.166667;500:1:0.0638298:0.15, 400:1:0.0833333:0.166667, , 
CCNA_00151, 633.0, , , , , 
CCNA_00152, 823.0, , , , , 
CCNA_00153, 488.7, , , , , 
CCNA_00154, 245.0, 400:1:0.0555556:0.272727;400:1:0.08:0.230769, 100:3:0.219298:0.333333, , 600:1:0.0333333:0.172414;500:3:0.0983607:0.222222;500:3:0.113821:0.227273;300:3:0.130081:0.238095, 600:1:0.0909091:0.148148;700:3:0.125:0.166667;100:3:0.25:0.333333;100:3:0.193548:0.195122;300:3:0.119048:0.285714
CCNA_00155, 907.7, , , , , 
CCNA_00156, 317.0, , , , , 
CCNA_00157, 354.3, , , , , 
CCNA_00158, 886.7, , , , , 
CCNA_00159, 1852.7, 700:3:0.1:0.166667;300:3:0.125:0.166667, 700:1:0.056:0.156863;700:1:0.046729:0.189189;700:1:0.0322581:0.173913;300:3:0.0736842:0.269231;300:3:0.0721649:0.25;300:1:0.0588235:0.214286;300:3:0.0693069:0.214286, 800:3:0.151515:0.151515, 700:3:0.072:0.129032;400:1:0.0545455:0.142857;500:1:0.020202:0.137931;400:1:0.0588235:0.181818, 700:3:0.134328:0.134328
CCNA_00160, 948.0, , , , , 
CCNA_00161, 546.7, , , , 800:3:0.0872093:0.103448, 
CCNA_00162, 1033.0, , , , , 
CCNA_00163, 1691.7, 300:1:0.037594:0.143836, , , , 
CCNA_00164, 1389.7, 500:3:0.62201:0.62201, , , , 
CCNA_00165, 566.7, , , , , 
CCNA_00166, 718.0, , , , , 
CCNA_00167, 706.0, , , , , 
CCNA_00168, 527.7, , , , , 
CCNA_00169, 1251.0, , , , , 
CCNA_00170, 2095.7, 600:1:0.0592105:0.173913, , , , 
CCNA_00171, 412.0, , , , , 
CCNA_00172, 1500.3, , 300:3:0.150794:0.1875, , , 
CCNA_00173, 1072.3, , , , , 
CCNA_00174, 863.7, , , , , 
CCNA_00175, 349.7, , , , , 
CCNA_00176, 342.0, 600:1:0.0662983:0.157895, , , , 
CCNA_00177, 253.7, , , , , 
CCNA_00178, 428.3, , , , , 
CCNA_00179, 721.0, , , , , 
CCNA_00180, 793.3, , , , , 
CCNA_00181, 341.7, , , , 800:3:0.142857:0.142857, 
CCNA_00182, 509.3, , , , , 
CCNA_00183, 611.0, , , , 700:1:0.0198675:0.135593;700:3:0.0408163:0.115385;700:3:0.0392157:0.155172;700:3:0.0460526:0.152542, 
CCNA_00184, 162.3, , , 600:3:0.114286:0.172414;700:3:0.0945946:0.139241, 700:1:0.0606061:0.130435;700:3:0.0819672:0.163265;600:3:0.0655738:0.136986, 
CCNA_00185, 1985.7, , , , , 
CCNA_00186, 946.7, , , , , 
CCNA_00187, 881.3, , , , , 
CCNA_00188, 816.3, , , , , 
CCNA_00189, 241.7, , , , , 
CCNA_00190, 328.3, , , , , 
CCNA_00191, 454.0, , , , , 
CCNA_00192, 1318.3, , , , , 600:3:0.0769231:0.2
CCNA_00193, 779.7, , , , , 
CCNA_00194, 327.3, 200:3:0.0930233:0.454545;300:1:0.0581395:0.274194;300:3:0.0833333:0.357143;600:1:0.0288462:0.1875;600:1:0.0186916:0.176471, 700:3:0.135714:0.169492;400:1:0.0869565:0.157895, 600:1:0.0465116:0.162791, 500:3:0.0901639:0.195652;100:3:0.152174:0.375, 
CCNA_00195, 476.0, , , , , 
CCNA_00196, 1178.7, , , , , 
CCNA_00197, 300.0, , , , , 
CCNA_00198, 654.3, , , , , 
CCNA_00199, 1436.0, , , , , 
CCNA_00200, 807.3, , 600:3:0.105556:0.173333, , , 
CCNA_00201, 564.3, , , , , 
CCNA_00202, 879.3, , , , , 
CCNA_00203, 800.3, , , , , 
CCNA_00204, 1375.3, , , , 700:1:0.00436681:0.12, 
CCNA_00205, 440.0, , , , , 
CCNA_00206, 423.3, 600:1:0.0416667:0.166667;600:1:0.0179641:0.142857, , , , 
CCNA_00207, 485.3, , , , , 
CCNA_00208, 796.0, , , , , 
CCNA_00209, 1255.0, , , , , 
CCNA_00210, 1921.3, , , , , 
CCNA_00211, 858.3, , , , 500:1:0.0438596:0.178571;400:1:0.0327869:0.217391;500:1:0.0331126:0.162791, 
CCNA_00212, 669.0, , , , , 
CCNA_00213, 407.3, , , , , 
CCNA_00214, 1611.0, , 700:1:0.04:0.178571, , , 
CCNA_00215, 701.0, , , , , 
CCNA_00216, 395.7, , , , , 
CCNA_00217, 1578.0, , , , , 
CCNA_00218, 666.3, , , , , 
CCNA_00220, 506.3, 500:3:0.0793651:0.214286, , , , 
CCNA_00221, 470.3, , , , , 
CCNA_00222, 1209.7, , , , , 
CCNA_00223, 581.3, , 700:3:0.166667:0.166667, , 300:3:0.113402:0.193548, 100:3:0.0681199:0.2
CCNA_00224, 1647.3, 600:3:0.130769:0.83871, , , , 
CCNA_00225, 125.7, , , , , 
CCNA_00226, 304.7, , , , , 
CCNA_00227, 418.0, , , , , 
CCNA_00228, 558.0, , , , , 
CCNA_00229, 722.7, , , , , 
CCNA_00230, 958.7, 600:3:0.0892857:0.1875;500:1:0.0508475:0.181818;300:1:0.101695:0.254237;200:1:0.0526316:0.262295;700:3:0.178571:0.178571, 100:3:0.264706:0.264706;100:3:0.237624:0.237624;100:3:0.212121:0.473684;300:1:0.0522388:0.222222, 100:3:0.169014:0.238095, 700:1:0.0188679:0.130435;300:1:0.00900901:0.130435;700:3:0.0810811:0.142857;400:3:0.204545:0.204545;400:3:0.253731:0.253731;100:3:0.137681:0.420455;700:3:0.0392157:0.114286;700:1:0.0736842:0.166667;700:1:0.0638298:0.166667;700:1:0.0631579:0.142857;700:1:0.0744681:0.138889;700:3:0.0804598:0.243243, 100:3:0.0892857:0.193548;100:3:0.177419:0.246154
CCNA_00231, 365.0, , , , , 
CCNA_00232, 400.7, , , , , 
CCNA_00233, 812.7, , , , , 
CCNA_00234, 847.7, , , , , 
CCNA_00235, 265.7, , , , , 
CCNA_00236, 1364.7, 500:1:0.0227273:0.125, , 800:3:0.109589:0.181818, 600:3:0.11:0.166667;300:1:0.040404:0.166667, 700:3:0.125:0.125
CCNA_00237, 639.7, , , , , 
CCNA_00238, 1155.3, , , , , 
CCNA_00239, 312.3, , , , , 
CCNA_00240, 384.0, , , , , 
CCNA_00241, 206.0, , , , , 
CCNA_00243, 394.7, , , , , 
CCNA_00244, 531.3, , , , , 
CCNA_00245, 249.0, , , , , 
CCNA_00246, 635.3, , , , , 
CCNA_00247, 481.3, , , , , 
CCNA_00248, 1082.3, 400:1:0.15:0.272727, , , , 
CCNA_00249, 446.7, , , , , 
CCNA_00250, 1041.3, , 100:3:0.134199:0.263636, , 100:3:0.123711:0.218487;100:3:0.125:0.222222;100:3:0.155172:0.252577, 
CCNA_00251, 572.7, , , , , 
CCNA_00252, 1572.0, , , 800:3:0.125:0.125;800:3:0.126582:0.126582;800:3:0.142857:0.142857, , 
CCNA_00253, 890.3, , , , , 
CCNA_00254, 760.7, , , , , 
CCNA_00255, 853.0, , 600:1:0.0833333:0.181818, 600:3:0.354839:0.8, 300:1:0.0121212:0.166667, 
CCNA_00256, 725.3, , , , , 
CCNA_00257, 1168.7, , , , , 
CCNA_00259, 635.0, , , , , 
CCNA_00260, 617.0, , , , , 
CCNA_00261, 855.7, , , , , 
CCNA_00262, 738.7, 500:3:0.109091:0.153846;500:3:0.2:0.2;400:1:0.0181818:0.2;300:3:0.26:0.26;300:3:0.133333:0.166667;300:3:0.214286:0.25;500:1:0.0952381:0.272727;100:3:0.142857:0.291667;300:1:0.116279:0.166667;400:1:0.0930233:0.269231;100:3:0.325581:0.461538;300:3:0.116279:0.25;400:1:0.0869565:0.137931;400:1:0.0652174:0.133333;300:3:0.181818:0.266667;700:3:0.175:0.175, 700:3:0.130435:0.160714;700:1:0.0677966:0.156863;200:3:0.186441:0.26087;300:1:0.0377358:0.22;300:1:0.0943396:0.2;200:3:0.185185:0.242424;300:3:0.153846:0.333333;500:1:0.0727273:0.166667;100:3:0.27451:0.5;300:3:0.156863:0.263158;100:3:0.350877:0.350877;100:3:0.0967742:0.444444, 700:3:0.105263:0.172414;400:1:0.0740741:0.184211;300:1:0.14:0.25;400:3:0.133333:0.225806;400:3:0.145833:0.272727;600:3:0.104167:0.222222;100:3:0.208333:0.352941;300:1:0.136364:0.181818, 700:3:0.156627:0.156627;100:3:0.337838:0.363636;700:3:0.169231:0.2;100:3:0.438356:0.545455;600:1:0.0909091:0.157895;700:1:0.0555556:0.25, 600:3:0.179775:0.179775;100:3:0.240506:0.240506;300:1:0.0512821:0.181818;100:3:0.166667:0.333333;100:3:0.192308:0.347826;300:3:0.130435:0.285714;400:3:0.184211:0.184211;300:3:0.0875:0.1875;400:1:0.0740741:0.263158;100:3:0.3625:0.4375;300:3:0.0875:0.212121;100:3:0.321839:0.321839
CCNA_00263, 415.3, , , , , 
CCNA_00264, 1025.7, , , , , 
CCNA_00265, 1194.3, , , , , 
CCNA_00266, 1011.7, , , , , 
CCNA_00267, 790.7, , 100:3:0.104:0.296875, , 100:3:0.116592:0.241379, 100:3:0.128571:0.230769
CCNA_00268, 1439.7, , , , 500:1:0.0653595:0.162162;500:1:0.0827068:0.166667, 
CCNA_00269, 353.3, 100:3:0.25:0.301587;400:3:0.194805:0.194805, 100:3:0.262136:0.341772;300:3:0.208333:0.333333;100:3:0.27551:0.27551, , , 100:3:0.241379:0.369048
CCNA_00270, 533.7, , 300:1:0.00540541:0.151515, , 100:3:0.0819672:0.21875, 
CCNA_00271, 221.7, , , , , 
CCNA_00272, 1019.0, , 700:1:0.0265487:0.115385, , , 
CCNA_00273, 404.3, , 300:1:0.0034965:0.304054, , , 
CCNA_00274, 376.7, , , , , 
CCNA_00275, 1181.0, , , , , 
CCNA_00276, 424.0, , , , , 300:3:0.135484:0.229508
CCNA_00277, 866.0, , , , , 
CCNA_00278, 699.0, , , , , 
CCNA_00279, 489.7, , , , , 
CCNA_00280, 556.3, , , , , 
CCNA_00281, 773.7, 300:3:0.834862:0.834862, , , , 
CCNA_00282, 257.0, , , , , 
CCNA_00283, 643.3, , , , , 
CCNA_00284, 496.0, , , , , 
CCNA_00285, 780.7, , , , , 
CCNA_00286, 361.0, , , , , 
CCNA_00287, 930.3, , , 600:1:0.0280374:0.116279, , 
CCNA_00288, 801.7, , , , , 
CCNA_00289, 285.7, , , , , 
CCNA_00290, 2496.7, , , , , 100:3:0.112782:0.234234
CCNA_00291, 1099.3, , , , , 
CCNA_00292, 1148.0, , , , , 
CCNA_00293, 950.7, , , , , 
CCNA_00294, 682.3, , , , , 
CCNA_00295, 549.3, , , , , 
CCNA_00296, 535.7, , , , , 
CCNA_00297, 603.0, , 300:3:0.105932:0.203704, , 100:3:0.15:0.245614, 
CCNA_00298, 577.0, , , , , 
CCNA_00299, 950.0, , , , , 
CCNA_00300, 408.3, , , , , 
CCNA_00301, 923.0, , , , , 
CCNA_00302, 965.3, , , , , 
CCNA_00303, 739.3, , , , , 
CCNA_00304, 918.0, , 100:3:0.121622:0.375, , , 
CCNA_00305, 769.3, , , , , 
CCNA_00306, 528.0, , , , , 
CCNA_00307, 1438.0, 600:1:0.0253165:0.172414, , , , 
CCNA_00308, 568.7, , , , , 
CCNA_00309, 202.7, , , , , 
CCNA_00310, 578.7, , , , , 
CCNA_00311, 1025.7, , , , , 
CCNA_00312, 371.0, , , , , 
CCNA_00313, 1432.7, , , , , 
CCNA_00314, 470.3, , , , , 
CCNA_00315, 1182.7, , , , , 
CCNA_00316, 827.7, , 400:3:0.12:0.333333;400:1:0.07:0.5;400:1:0.0808081:0.333333;800:3:0.136842:0.181818, , 400:3:0.0940171:0.227273;400:1:0.0245902:0.26087;400:1:0.0578512:0.227273;400:1:0.0403226:0.227273;500:1:0.00740741:0.181818;500:1:0.037037:0.136364;400:1:0.0223881:0.190476;500:1:0.0620155:0.142857;500:1:0.0378788:0.133333;400:3:0.113636:0.162162, 
CCNA_00317, 895.0, , , , , 
CCNA_00318, 828.3, , , , , 
CCNA_00319, 499.7, 400:1:0.129032:0.141176;700:3:0.169231:0.169231;300:3:0.246154:0.246154;700:3:0.151515:0.151515, , , , 
CCNA_00320, 232.7, , , , , 
CCNA_00321, 481.7, 600:1:0.0660377:0.166667, 300:1:0.0757576:0.161616;400:1:0.0521739:0.151515;600:1:0.0714286:0.164384, , 300:3:0.201439:0.201439;800:3:0.131387:0.227273;300:3:0.119403:0.190476;600:3:0.15942:0.15942;300:3:0.171429:0.214286;700:1:0.0671141:0.136364;300:1:0.0753425:0.214286;300:1:0.0680272:0.266667, 300:3:0.0898204:0.164384
CCNA_00322, 554.3, , , , , 
CCNA_00323, 885.0, , , , , 
CCNA_00324, 449.3, , , , , 
CCNA_00326, 876.7, , , , , 
CCNA_00327, 587.7, , , , , 
CCNA_00328, 516.0, , , , , 
CCNA_00329, 425.0, , , , , 
CCNA_00330, 628.3, , , , , 
CCNA_00331, 562.3, , , , , 
CCNA_00332, 476.0, , , , , 
CCNA_00333, 660.7, , , , , 
CCNA_00334, 410.3, , , , , 
CCNA_00335, 360.3, , , , , 
CCNA_00336, 1087.7, , , , , 
CCNA_00337, 612.0, , , , , 
CCNA_00338, 1782.7, , 300:3:0.178571:0.186916;400:3:0.162963:0.173077, , 400:3:0.150943:0.230769;400:3:0.198675:0.242424;400:3:0.119205:0.185185, 
CCNA_00339, 1032.0, 400:1:0:0.178571, , , 700:3:0.0588235:0.141176;700:3:0.112069:0.141176;700:3:0.0944206:0.137931;500:3:0.14881:0.188406, 
CCNA_00340, 1004.0, 100:3:0.155039:0.288462;300:3:0.168:0.291667;300:1:0.0629921:0.170213;500:1:0.0733945:0.175;300:3:0.100917:0.175, 100:3:0.153846:0.5;100:3:0.163793:0.274194;300:1:0.042735:0.184615, 400:1:0.056338:0.171429, 300:3:0.252101:0.325581;300:3:0.127119:0.3;600:1:0.0588235:0.136364;300:3:0.168067:0.2;300:3:0.151261:0.25;300:3:0.0792079:0.136364, 100:3:0.184:0.328571;100:3:0.206349:0.241935;100:3:0.149606:0.231884
CCNA_00341, 660.3, , , , , 
CCNA_00342, 2358.7, , 700:3:0.590604:0.590604, 700:3:0.169231:0.169231, , 
CCNA_00343, 953.0, 300:3:0.769231:0.769231;400:1:0:0.136364;400:3:0.111732:0.211111, , , 300:3:0.0887574:0.210526;500:3:0.11236:0.186667, 
CCNA_00344, 324.0, 300:3:0.121547:0.222222;600:1:0.0430108:0.2;300:3:0.0994764:0.25, , , , 
CCNA_00345, 721.3, , , , , 
CCNA_00346, 1154.3, , , , , 
CCNA_00347, 225.3, 300:3:0.139785:0.1875;400:1:0.0674157:0.129032;400:1:0:0.114286, 400:1:0.0697674:0.28;300:1:0.0731707:0.428571;400:1:0.0617284:0.285714, 500:1:0.030303:0.162791;300:1:0.0147059:0.352941;600:1:0.0147059:0.230769;300:1:0.0615385:0.307692, 400:1:0.0803571:0.178571;600:1:0.0454545:0.219512;600:1:0.030303:0.166667;600:1:0.04:0.153846;300:3:0.133333:0.434783, 400:1:0.0305344:0.142857;400:1:0.00840336:0.130435
CCNA_00348, 1597.3, , , 700:3:0.139535:0.139535, , 700:3:0.142857:0.157895;600:1:0.0714286:0.212121
CCNA_00349, 664.0, , , , , 
CCNA_00350, 606.0, , , , , 
CCNA_00351, 1604.3, , , , , 
CCNA_00352, 696.3, , , , , 
CCNA_00353, 829.7, 300:3:0.795082:0.795082, , , , 
CCNA_00354, 604.7, , , , , 
CCNA_00355, 1003.0, , , , , 
CCNA_00356, 428.7, , , , , 
CCNA_00357, 1183.3, , , , , 
CCNA_00358, 748.3, , , , , 
CCNA_00359, 580.7, , , , , 
CCNA_00360, 750.0, , , , , 
CCNA_00361, 750.0, , , , , 
CCNA_00362, 401.0, , , 500:1:0:0.181818, , 
CCNA_00363, 651.0, 400:1:0.0625:0.3;700:3:0.12:0.12, , , 400:3:0.111111:0.173913, 300:1:0:0.142857
CCNA_00364, 951.0, 400:1:0.1:0.333333;300:3:0.130435:0.428571;300:3:0.23913:0.333333;300:3:0.159091:0.3;300:3:0.0930233:0.210526;500:3:0.186047:0.25;300:3:0.181818:0.333333;300:3:0.159091:0.222222;300:3:0.0851064:0.25;300:3:0.163636:0.25;300:3:0.127273:0.166667;400:1:0.0769231:0.1875, 600:1:0.108696:0.2;300:1:0.0434783:0.1875;300:3:0.177778:0.4;300:3:0.121951:0.357143;700:3:0.170732:0.285714;600:1:0.047619:0.230769;300:3:0.190476:0.25;700:3:0.232558:0.232558;700:1:0.0222222:0.230769;300:3:0.166667:0.230769;300:1:0.0185185:0.230769, 400:3:0.130435:0.181818;500:3:0.2:0.4;400:3:0.2:0.5, 400:3:0.138462:0.2;400:3:0.2:0.375;700:3:0.353846:0.353846;800:3:0.155172:0.25;500:1:0.0714286:0.428571;400:3:0.222222:0.25;500:3:0.276923:0.276923, 300:1:0.0487805:0.2;300:1:0.0882353:0.222222;300:3:0.363636:0.363636;700:3:0.206897:0.25;400:1:0.0714286:0.285714;600:3:0.172414:0.238095;300:3:0.258065:0.258065;300:3:0.288889:0.288889
CCNA_00365, 1052.0, 600:3:0.0901639:0.162162;600:1:0.0597015:0.212121;300:3:0.104895:0.344828, 100:3:0.2:0.214765, , 700:3:0.0846154:0.12766, 
CCNA_00366, 689.3, , , , , 
CCNA_00367, 772.7, , , , , 
CCNA_00368, 628.3, , , , , 
