LocusTag	protein_id	Gene	Type	Size	GC	Sequence	Fold_1	Fold_2	Fold_2_S	Fold_2_V	Fold_3	Fold_4	N	S	Spore_associated
B4U62_00135	AQZ88933.1	nan	CDS	324	0.3951	Genome	225	53	53	0	5	41	262.0	62.0	False
B4U62_00140	AQZ88934.1	nan	CDS	597	0.4322	Genome	387	106	102	4	16	88	463.0	134.0	False
B4U62_00145	AQZ88935.1	nan	CDS	225	0.3778	Genome	138	66	60	6	1	20	182.33	42.67	False
B4U62_00150	AQZ88936.1	nan	CDS	264	0.3902	Genome	168	35	35	0	17	44	197.0	67.0	False
B4U62_00155	nan	nan	rRNA	1554	0.5495	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00160	nan	nan	tRNA	77	0.6234	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00165	nan	nan	tRNA	76	0.6579	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00170	nan	nan	rRNA	2933	0.5387	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00175	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00180	AQZ88937.1	nan	CDS	195	0.3231	Genome	126	42	40	2	5	22	155.67	39.33	False
B4U62_00185	AQZ88938.1	nan	CDS	615	0.3691	Genome	386	148	137	11	12	69	488.67	126.33	False
B4U62_00190	AQZ88939.1	nan	CDS	1161	0.4031	Genome	733	258	245	13	30	140	915.0	246.0	False
B4U62_00195	AQZ88940.1	nan	CDS	1443	0.4297	Genome	928	264	251	13	37	214	1116.33	326.67	False
B4U62_00200	AQZ88941.1	nan	CDS	639	0.4116	Genome	407	128	119	9	17	87	498.0	141.0	False
B4U62_00205	AQZ88942.1	nan	CDS	330	0.4182	Genome	217	56	54	2	5	52	256.0	74.0	False
B4U62_00210	AQZ88943.1	nan	CDS	441	0.3696	Genome	283	92	87	5	12	54	348.33	92.67	False
B4U62_00215	AQZ88944.1	nan	CDS	990	0.4172	Genome	632	219	207	12	20	119	784.67	205.33	False
B4U62_00220	AQZ88945.1	nan	CDS	828	0.4287	Genome	535	156	147	9	21	116	646.0	182.0	True
B4U62_00225	AQZ88946.1	nan	CDS	360	0.3778	Genome	225	94	91	3	7	34	290.0	70.0	False
B4U62_00230	AQZ88947.1	nan	CDS	744	0.4234	Genome	471	158	149	9	20	95	583.0	161.0	False
B4U62_00235	AQZ88948.1	nan	CDS	300	0.4033	Genome	194	69	64	5	2	35	240.67	59.33	False
B4U62_00240	AQZ88949.1	nan	CDS	879	0.4323	Genome	575	160	152	8	24	120	689.67	189.33	False
B4U62_00245	AQZ88950.1	nan	CDS	291	0.354	Genome	180	81	76	5	1	29	234.33	56.67	False
B4U62_00250	AQZ88951.1	nan	CDS	1995	0.4211	Genome	1309	365	357	8	39	282	1565.33	429.67	False
B4U62_00255	AQZ88952.1	nan	CDS	768	0.4232	Genome	506	143	136	7	22	97	608.67	159.33	False
B4U62_00260	AQZ88953.1	nan	CDS	1314	0.4155	Genome	860	234	229	5	28	192	1025.33	288.67	False
B4U62_00265	AQZ88954.1	nan	CDS	561	0.4617	Genome	360	107	100	7	19	75	437.67	123.33	False
B4U62_00270	AQZ88955.1	nan	CDS	879	0.4346	Genome	565	156	150	6	25	133	677.33	201.67	False
B4U62_00275	AQZ88956.1	nan	CDS	873	0.4227	Genome	561	178	163	15	22	112	687.0	186.0	True
B4U62_00280	AQZ88957.1	nan	CDS	261	0.4215	Genome	162	55	51	4	5	39	200.33	60.67	False
B4U62_00285	AQZ88958.1	nan	CDS	186	0.457	Genome	122	35	32	3	3	26	146.33	39.67	False
B4U62_00290	AQZ88959.1	nan	CDS	870	0.4805	Genome	561	156	143	13	20	133	671.67	198.33	False
B4U62_00295	AQZ88960.1	nan	CDS	858	0.4266	Genome	560	140	137	3	21	137	660.33	197.67	False
B4U62_00300	AQZ88961.1	nan	CDS	378	0.4418	Genome	248	65	63	2	8	57	294.0	84.0	False
B4U62_00305	AQZ88962.1	nan	CDS	294	0.4524	Genome	189	51	48	3	7	47	225.33	68.67	False
B4U62_00310	AQZ88963.1	nan	CDS	1371	0.4318	Genome	898	230	220	10	33	210	1062.33	308.67	False
B4U62_00315	AQZ88964.1	nan	CDS	954	0.4266	Genome	620	150	145	5	37	147	732.33	221.67	False
B4U62_00320	AQZ88965.1	nan	CDS	615	0.4618	Genome	399	103	100	3	14	99	472.33	142.67	False
B4U62_00325	AQZ88966.1	nan	CDS	567	0.4356	Genome	368	106	102	4	11	82	442.33	124.67	False
B4U62_00330	AQZ88967.1	nan	CDS	231	0.3853	Genome	151	51	49	2	3	26	186.0	45.0	False
B4U62_00335	AQZ88968.1	nan	CDS	3534	0.4516	Genome	2280	664	629	35	90	500	2752.67	781.33	False
B4U62_00340	AQZ88969.1	nan	CDS	537	0.4507	Genome	351	92	86	6	15	79	417.33	119.67	True
B4U62_00345	AQZ88970.1	nan	CDS	1599	0.4447	Genome	1014	281	267	14	39	265	1214.33	384.67	False
B4U62_00350	AQZ88971.1	nan	CDS	1470	0.4483	Genome	952	298	284	14	30	190	1160.67	309.33	False
B4U62_00355	AQZ88972.1	nan	CDS	261	0.4138	Genome	165	53	49	4	4	39	201.67	59.33	False
B4U62_00360	AQZ88973.1	nan	CDS	303	0.3927	Genome	197	67	64	3	3	36	242.67	60.33	True
B4U62_00365	AQZ88974.1	nan	CDS	636	0.3899	Genome	405	118	110	8	21	92	490.67	145.33	True
B4U62_00370	AQZ88975.1	nan	CDS	378	0.3995	Genome	233	94	85	9	6	45	297.67	80.33	False
B4U62_00375	AQZ88976.1	nan	CDS	387	0.3979	Genome	248	80	76	4	8	51	304.0	83.0	False
B4U62_00380	nan	nan	tRNA	77	0.6494	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00385	nan	nan	tRNA	72	0.6111	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00390	AQZ88977.1	nan	CDS	2484	0.4376	Genome	1603	460	436	24	68	353	1932.33	551.67	True
B4U62_00395	AQZ88978.1	nan	CDS	738	0.4621	Genome	488	115	111	4	14	121	569.33	168.67	False
B4U62_00400	AQZ88979.1	nan	CDS	1017	0.4385	Genome	661	188	179	9	22	146	793.67	223.33	False
B4U62_00405	AQZ88980.1	nan	CDS	1419	0.4405	Genome	914	285	265	20	27	193	1113.0	306.0	False
B4U62_00410	AQZ88981.1	nan	CDS	543	0.3923	Genome	351	105	102	3	17	70	426.67	116.33	False
B4U62_00415	AQZ88982.1	nan	CDS	1914	0.4598	Genome	1240	346	337	9	44	284	1485.33	428.67	False
B4U62_00420	AQZ88983.1	nan	CDS	777	0.4286	Genome	506	131	125	6	29	111	603.0	174.0	False
B4U62_00425	AQZ88984.1	nan	CDS	876	0.4441	Genome	566	150	143	7	16	144	671.33	204.67	False
B4U62_00430	AQZ88985.1	nan	CDS	894	0.4038	Genome	574	183	171	12	22	115	703.33	190.67	False
B4U62_00435	AQZ88986.1	nan	CDS	927	0.4552	Genome	611	137	136	1	25	154	710.67	216.33	False
B4U62_00440	AQZ88987.1	nan	CDS	1413	0.4275	Genome	915	264	246	18	31	203	1101.33	311.67	False
B4U62_00445	AQZ88988.1	nan	CDS	585	0.453	Genome	384	99	95	4	20	82	456.67	128.33	False
B4U62_00450	AQZ88989.1	nan	CDS	882	0.4388	Genome	566	172	160	12	23	121	688.33	193.67	False
B4U62_00455	AQZ88990.1	nan	CDS	858	0.4755	Genome	560	146	137	9	24	128	665.33	192.67	False
B4U62_00460	AQZ88991.1	nan	CDS	363	0.4353	Genome	237	67	65	2	7	52	284.0	79.0	False
B4U62_00465	AQZ88992.1	nan	CDS	504	0.4306	Genome	322	103	95	8	10	69	394.0	110.0	False
B4U62_00470	AQZ88993.1	nan	CDS	210	0.4286	Genome	133	38	34	4	8	31	161.0	49.0	False
B4U62_00475	AQZ88994.1	nan	CDS	1002	0.4481	Genome	666	168	160	8	19	149	784.33	217.67	False
B4U62_00480	AQZ88995.1	nan	CDS	1500	0.4333	Genome	976	285	275	10	37	202	1178.33	321.67	False
B4U62_00485	nan	nan	rRNA	1555	0.5498	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00490	nan	nan	rRNA	2933	0.5384	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00495	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00500	nan	nan	tRNA	76	0.6053	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00505	nan	nan	tRNA	76	0.5263	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00510	nan	nan	tRNA	76	0.4868	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00515	nan	nan	tRNA	83	0.5663	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00520	nan	nan	tRNA	75	0.6	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00525	nan	nan	tRNA	86	0.6047	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00530	nan	nan	tRNA	77	0.5714	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00535	nan	nan	tRNA	77	0.5714	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00540	nan	nan	tRNA	76	0.6579	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00545	nan	nan	rRNA	1555	0.5492	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00550	nan	nan	rRNA	2933	0.5384	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00555	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00560	AQZ88996.1	nan	CDS	465	0.3398	Genome	293	105	96	9	21	46	370.0	95.0	False
B4U62_00565	AQZ88997.1	nan	CDS	558	0.371	Genome	359	125	119	6	14	60	447.0	111.0	False
B4U62_00570	AQZ88998.1	nan	CDS	1092	0.4185	Genome	692	228	205	23	34	138	855.33	236.67	False
B4U62_00575	AQZ88999.1	nan	CDS	2433	0.4353	Genome	1568	435	408	27	57	373	1877.0	556.0	False
B4U62_00580	AQZ89000.1	nan	CDS	1377	0.4503	Genome	892	214	198	16	35	236	1046.33	330.67	False
B4U62_00585	AQZ89001.1	nan	CDS	1083	0.4035	Genome	686	223	210	13	30	144	844.67	238.33	False
B4U62_00590	AQZ89002.1	nan	CDS	1101	0.4024	Genome	704	208	201	7	43	146	857.0	244.0	False
B4U62_00595	AQZ89003.1	nan	CDS	699	0.4793	Genome	451	131	125	6	17	100	544.0	155.0	False
B4U62_00600	AQZ89004.1	nan	CDS	477	0.4654	Genome	309	81	77	4	14	73	367.67	109.33	False
B4U62_00605	AQZ89005.1	nan	CDS	1452	0.4318	Genome	948	278	274	4	36	190	1145.33	306.67	False
B4U62_00610	AQZ89006.1	nan	CDS	186	0.4677	Genome	115	42	39	3	1	28	143.33	42.67	False
B4U62_00615	nan	nan	CDS	653	0.4349	Genome	407	145	129	16	17	82	509.33	141.67	False
B4U62_00620	AQZ89007.1	nan	CDS	1401	0.4347	Genome	919	271	260	11	30	181	1109.67	291.33	False
B4U62_00625	AQZ89008.1	nan	CDS	432	0.4213	Genome	277	83	77	6	6	66	334.33	97.67	False
B4U62_00630	AQZ89009.1	nan	CDS	750	0.4747	Genome	488	127	117	10	14	121	577.33	172.67	False
B4U62_00635	AQZ89010.1	nan	CDS	513	0.4444	Genome	322	112	98	14	13	66	401.0	112.0	False
B4U62_00640	AQZ89011.1	nan	CDS	657	0.4033	Genome	414	152	144	8	20	71	522.0	135.0	False
B4U62_00645	AQZ89012.1	nan	CDS	150	0.3867	Genome	98	31	29	2	1	20	119.0	31.0	False
B4U62_00650	AQZ89013.1	nan	CDS	180	0.3111	Genome	120	29	29	0	8	23	142.0	38.0	False
B4U62_00655	AQZ89014.1	nan	CDS	534	0.412	Genome	357	89	87	2	9	79	419.33	114.67	False
B4U62_00660	AQZ89015.1	nan	CDS	426	0.4343	Genome	284	55	55	0	10	77	324.0	102.0	False
B4U62_00665	AQZ89016.1	nan	CDS	699	0.4177	Genome	470	96	96	0	10	123	537.33	161.67	False
B4U62_00670	AQZ89017.1	nan	CDS	501	0.4192	Genome	331	77	77	0	7	86	384.67	116.33	False
B4U62_00675	AQZ89018.1	nan	CDS	372	0.414	Genome	244	54	54	0	9	65	283.0	89.0	False
B4U62_00680	AQZ89019.1	nan	CDS	606	0.4125	Genome	394	117	112	5	15	80	477.0	129.0	False
B4U62_00685	AQZ89020.1	nan	CDS	3582	0.4531	Genome	2361	565	549	16	79	577	2764.0	818.0	False
B4U62_00690	AQZ89021.1	nan	CDS	3600	0.4486	Genome	2372	549	534	15	74	605	2762.67	837.33	False
B4U62_00695	AQZ89022.1	nan	CDS	249	0.4137	Genome	165	30	29	1	8	46	187.67	61.33	False
B4U62_00700	AQZ89023.1	nan	CDS	417	0.4388	Genome	275	58	58	0	7	77	316.0	101.0	False
B4U62_00705	AQZ89024.1	nan	CDS	471	0.4204	Genome	316	72	71	1	8	75	366.67	104.33	False
B4U62_00710	AQZ89025.1	nan	CDS	2079	0.4358	Genome	1394	297	295	2	45	343	1607.0	472.0	False
B4U62_00715	AQZ89026.1	nan	CDS	1191	0.4391	Genome	805	153	153	0	25	208	915.33	275.67	False
B4U62_00720	AQZ89027.1	nan	CDS	957	0.4002	Genome	620	183	174	9	23	131	749.67	207.33	False
B4U62_00725	AQZ89028.1	nan	CDS	309	0.3883	Genome	201	51	49	2	10	47	238.33	70.67	False
B4U62_00730	AQZ89029.1	nan	CDS	630	0.427	Genome	418	94	93	1	12	106	484.67	145.33	False
B4U62_00735	AQZ89030.1	nan	CDS	624	0.4231	Genome	408	91	90	1	13	112	473.0	151.0	False
B4U62_00740	AQZ89031.1	nan	CDS	288	0.3889	Genome	191	50	48	2	6	41	226.33	61.67	False
B4U62_00745	AQZ89032.1	nan	CDS	834	0.4388	Genome	559	103	103	0	20	152	634.33	199.67	False
B4U62_00750	AQZ89033.1	nan	CDS	279	0.4086	Genome	184	51	50	1	5	39	219.67	59.33	False
B4U62_00755	AQZ89034.1	nan	CDS	342	0.4386	Genome	221	54	50	4	10	57	260.33	81.67	False
B4U62_00760	AQZ89035.1	nan	CDS	657	0.4414	Genome	436	93	92	1	16	112	503.33	153.67	False
B4U62_00765	AQZ89036.1	nan	CDS	435	0.4345	Genome	291	60	59	1	9	75	334.0	101.0	False
B4U62_00770	AQZ89037.1	nan	CDS	201	0.3731	Genome	133	32	31	1	6	30	156.33	44.67	False
B4U62_00775	AQZ89038.1	nan	CDS	264	0.3636	Genome	176	44	44	0	6	38	207.33	56.67	False
B4U62_00780	AQZ89039.1	nan	CDS	369	0.4309	Genome	243	50	49	1	11	65	280.0	89.0	False
B4U62_00785	AQZ89040.1	nan	CDS	312	0.3974	Genome	210	46	46	0	4	52	242.0	70.0	False
B4U62_00790	AQZ89041.1	nan	CDS	540	0.4148	Genome	361	81	81	0	14	84	419.67	120.33	False
B4U62_00795	AQZ89042.1	rpsN	CDS	186	0.4194	Genome	125	30	30	0	4	27	146.33	39.67	False
B4U62_00800	AQZ89043.1	nan	CDS	399	0.4035	Genome	261	64	62	2	13	61	308.0	91.0	False
B4U62_00805	AQZ89044.1	nan	CDS	540	0.4278	Genome	353	79	78	1	8	100	408.33	131.67	False
B4U62_00810	AQZ89045.1	nan	CDS	363	0.4298	Genome	235	57	55	2	5	66	274.67	88.33	False
B4U62_00815	AQZ92990.1	nan	CDS	501	0.4431	Genome	324	71	71	0	11	95	375.0	126.0	False
B4U62_00820	AQZ89046.1	nan	CDS	180	0.3722	Genome	116	32	30	2	4	28	138.67	41.33	False
B4U62_00825	AQZ89047.1	nan	CDS	441	0.4399	Genome	288	66	66	0	5	82	333.67	107.33	False
B4U62_00830	AQZ89048.1	nan	CDS	1296	0.4174	Genome	850	190	183	7	54	202	994.67	301.33	False
B4U62_00835	AQZ89049.1	nan	CDS	654	0.4327	Genome	427	116	109	7	13	98	508.67	145.33	False
B4U62_00840	AQZ89050.1	nan	CDS	747	0.4431	Genome	486	131	125	6	23	107	581.0	166.0	False
B4U62_00845	AQZ89051.1	nan	CDS	225	0.3867	Genome	146	40	40	0	8	31	175.33	49.67	False
B4U62_00850	AQZ89052.1	nan	CDS	219	0.4064	Genome	142	38	37	1	6	33	169.33	49.67	False
B4U62_00855	AQZ89053.1	nan	CDS	114	0.3246	Genome	75	24	22	2	3	12	92.0	22.0	False
B4U62_00860	AQZ89054.1	nan	CDS	366	0.4317	Genome	238	51	50	1	12	65	276.0	90.0	False
B4U62_00865	AQZ89055.1	nan	CDS	396	0.4571	Genome	261	44	42	2	9	82	293.33	102.67	False
B4U62_00870	AQZ89056.1	nan	CDS	945	0.418	Genome	618	152	148	4	26	149	728.0	217.0	False
B4U62_00875	AQZ89057.1	nan	CDS	363	0.4435	Genome	240	54	52	2	9	60	279.0	84.0	False
B4U62_00880	AQZ89058.1	nan	CDS	846	0.4468	Genome	543	160	147	13	20	123	656.33	189.67	False
B4U62_00885	AQZ89059.1	nan	CDS	870	0.4506	Genome	566	155	148	7	17	132	675.0	195.0	False
B4U62_00890	AQZ89060.1	nan	CDS	798	0.4185	Genome	511	138	128	10	25	124	611.33	186.67	False
B4U62_00895	AQZ89061.1	nan	CDS	744	0.4718	Genome	478	144	133	11	13	109	578.33	165.67	False
B4U62_00900	AQZ89062.1	nan	CDS	438	0.4178	Genome	290	69	68	1	8	71	338.67	99.33	False
B4U62_00905	AQZ89063.1	nan	CDS	393	0.4555	Genome	253	57	57	0	7	76	293.33	99.67	False
B4U62_00910	AQZ89064.1	nan	CDS	768	0.4062	Genome	499	148	143	5	14	107	602.33	165.67	False
B4U62_00915	AQZ89065.1	nan	CDS	444	0.3874	Genome	288	99	94	5	10	47	357.33	86.67	False
B4U62_00920	AQZ89066.1	nan	CDS	714	0.437	Genome	450	154	141	13	15	95	557.67	156.33	False
B4U62_00925	AQZ89067.1	nan	CDS	1059	0.4438	Genome	696	172	162	10	21	170	817.67	241.33	False
B4U62_00930	AQZ89068.1	nan	CDS	558	0.371	Genome	354	128	120	8	9	67	442.33	115.67	False
B4U62_00935	AQZ89069.1	nan	CDS	597	0.3886	Genome	379	126	122	4	13	79	467.33	129.67	False
B4U62_00940	AQZ89070.1	nan	CDS	765	0.4196	Genome	465	181	165	16	12	107	589.67	175.33	False
B4U62_00945	nan	nan	rRNA	1555	0.5486	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00950	nan	nan	rRNA	2933	0.538	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00955	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00960	nan	nan	tRNA	75	0.56	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00965	nan	nan	tRNA	73	0.5616	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00970	nan	nan	tRNA	75	0.6	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00975	nan	nan	tRNA	77	0.5714	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00980	nan	nan	tRNA	77	0.5714	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00985	nan	nan	tRNA	76	0.6579	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00990	nan	nan	rRNA	1555	0.5492	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_00995	nan	nan	rRNA	2933	0.538	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01000	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01005	nan	nan	rRNA	1555	0.5492	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01010	nan	nan	rRNA	2933	0.538	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01015	nan	rrf	rRNA	116	0.5862	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01020	AQZ89071.1	nan	CDS	237	0.4008	Genome	141	58	52	6	3	35	180.67	56.33	False
B4U62_01025	AQZ89072.1	nan	CDS	1437	0.4294	Genome	941	209	202	7	51	236	1097.33	339.67	False
B4U62_01030	AQZ89073.1	nan	CDS	921	0.4463	Genome	595	146	140	6	26	154	701.0	220.0	False
B4U62_01035	AQZ89074.1	nan	CDS	753	0.4648	Genome	469	148	128	20	14	122	572.33	180.67	False
B4U62_01040	AQZ89075.1	nan	CDS	1011	0.4718	Genome	592	219	181	38	14	186	742.67	268.33	False
B4U62_01045	AQZ89076.1	nan	CDS	1005	0.4527	Genome	601	207	178	29	14	183	743.67	261.33	False
B4U62_01050	AQZ89077.1	nan	CDS	954	0.4088	Genome	585	217	196	21	12	140	733.67	220.33	False
B4U62_01055	AQZ89078.1	nan	CDS	1590	0.4258	Genome	991	348	323	25	23	228	1230.67	359.33	False
B4U62_01060	AQZ89079.1	nan	CDS	1245	0.4394	Genome	766	263	232	31	12	204	945.33	299.67	False
B4U62_01065	AQZ89080.1	nan	CDS	1929	0.4531	Genome	1158	447	393	54	14	310	1460.67	468.33	False
B4U62_01070	AQZ89081.1	nan	CDS	1326	0.4487	Genome	818	283	254	29	19	206	1013.0	313.0	False
B4U62_01075	AQZ89082.1	nan	CDS	1368	0.4737	Genome	805	296	254	42	16	251	1007.67	360.33	False
B4U62_01080	AQZ89083.1	nan	CDS	852	0.4754	Genome	523	170	154	16	11	148	640.0	212.0	False
B4U62_01085	AQZ89084.1	nan	CDS	915	0.4776	Genome	539	212	180	32	10	154	683.67	231.33	False
B4U62_01090	AQZ89085.1	nan	CDS	483	0.4555	Genome	300	96	86	10	8	79	366.67	116.33	False
B4U62_01095	AQZ89086.1	nan	CDS	456	0.4759	Genome	268	99	78	21	8	81	336.67	119.33	False
B4U62_01100	nan	nan	tRNA	75	0.6133	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01105	nan	nan	tRNA	76	0.6053	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01110	nan	nan	tRNA	73	0.5205	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01115	nan	nan	tRNA	85	0.6235	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01120	nan	nan	tRNA	75	0.5467	Genome	nan	nan	nan	nan	nan	nan	nan	nan	False
B4U62_01125	AQZ89087.1	nan	CDS	564	0.406	Genome	362	112	102	10	22	68	444.0	120.0	False
B4U62_01130	AQZ89088.1	nan	CDS	627	0.4498	Genome	418	115	110	5	11	83	498.33	128.67	False
B4U62_01135	AQZ89089.1	nan	CDS	822	0.4647	Genome	533	136	127	9	28	125	633.0	189.0	False
B4U62_01140	AQZ89090.1	nan	CDS	1452	0.4249	Genome	951	265	261	4	30	206	1137.67	314.33	False
B4U62_01145	AQZ89091.1	nan	CDS	1347	0.4759	Genome	879	225	220	5	19	224	1035.33	311.67	False
B4U62_01150	AQZ89092.1	nan	CDS	1803	0.4703	Genome	1177	289	286	3	40	297	1383.0	420.0	False
B4U62_01155	AQZ89093.1	nan	CDS	912	0.3695	Genome	562	212	202	10	27	111	712.33	199.67	False
B4U62_01160	AQZ89094.1	nan	CDS	636	0.3538	Genome	420	127	123	4	19	70	511.0	125.0	False
B4U62_01165	AQZ89095.1	nan	CDS	540	0.4167	Genome	354	90	86	4	9	87	417.0	123.0	False
B4U62_01170	AQZ89096.1	nan	CDS	1518	0.4124	Genome	967	256	244	12	42	253	1151.67	366.33	False
B4U62_01175	AQZ89097.1	nan	CDS	2616	0.4228	Genome	1701	495	474	21	48	372	2047.0	569.0	False
B4U62_01180	AQZ89098.1	nan	CDS	528	0.3617	Genome	343	107	104	3	12	66	418.33	109.67	False
B4U62_01185	AQZ89099.1	nan	CDS	291	0.3058	Genome	190	65	61	4	6	30	235.33	55.67	False
B4U62_01190	AQZ89100.1	nan	CDS	375	0.3573	Genome	239	75	71	4	13	48	293.33	81.67	False
B4U62_01195	AQZ89101.1	nan	CDS	303	0.3927	Genome	194	61	57	4	10	38	238.0	65.0	False
B4U62_01200	AQZ89102.1	nan	CDS	1173	0.4442	Genome	767	159	155	4	40	207	886.33	286.67	False
B4U62_01205	AQZ89103.1	nan	CDS	315	0.473	Genome	198	60	55	5	6	51	240.0	75.0	False
B4U62_01210	AQZ89104.1	nan	CDS	168	0.4464	Genome	116	23	21	2	3	26	132.33	35.67	True
